Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
vsARS,FW,0.23,0.46,0.08,0.0,0.38,0.0,0.77,0.31,0.77,0.46,0.62,0.0,0.0,1.54
vsARS,LW,0.08,0.23,0.0,0.0,1.08,0.46,0.46,1.08,0.62,0.46,0.54,0.0,0.0,0.77
vsARS,RW,0.0,0.08,0.08,0.0,0.92,0.42,0.75,0.67,0.67,0.42,0.58,0.0,0.0,0.25
vsAVL,FW,0.28,0.61,0.11,0.0,0.44,0.0,0.39,0.28,0.39,0.33,1.0,0.0,0.0,0.44
vsAVL,LW,0.22,0.44,0.22,0.0,1.0,0.33,0.44,1.33,0.67,0.0,1.0,0.0,0.0,0.11
vsAVL,RW,0.12,0.62,0.0,0.0,1.62,0.12,0.38,0.75,1.38,0.88,1.12,0.0,0.0,0.38
vsBHA,FW,0.44,1.0,0.0,0.0,0.56,0.06,0.5,1.56,1.06,0.5,0.94,0.0,0.0,1.06
vsBHA,LW,0.12,0.5,0.12,0.0,1.0,0.25,0.25,1.0,0.12,0.12,1.62,0.0,0.0,0.5
vsBHA,RW,0.29,0.14,0.14,0.0,1.29,0.57,0.71,1.86,1.0,0.14,0.57,0.0,0.0,0.0
vsBOU,FW,0.14,0.57,0.21,0.0,0.43,0.21,0.29,1.29,0.36,0.36,1.0,0.07,0.0,1.71
vsBOU,LW,0.3,0.5,0.2,0.0,1.0,0.6,0.5,1.4,1.8,0.3,1.0,0.0,0.0,0.9
vsBOU,RW,0.5,0.9,0.2,0.0,1.3,0.5,0.6,1.0,1.4,0.1,1.4,0.0,0.0,0.7
vsBRF,FW,0.4,0.6,0.07,0.0,0.2,0.07,0.2,0.6,0.47,1.0,1.8,0.0,0.0,1.07
vsBRF,LW,0.0,0.2,0.0,0.0,0.5,0.1,0.6,1.5,0.9,0.3,1.0,0.0,0.0,0.6
vsBRF,RW,0.1,0.7,0.1,0.0,1.0,0.3,0.5,1.1,0.6,0.6,0.4,0.1,0.0,0.6
vsBUR,FW,0.54,0.85,0.0,0.0,0.15,0.08,0.38,0.46,0.92,0.69,0.46,0.0,0.0,1.54
vsBUR,LW,0.25,0.62,0.12,0.0,1.12,0.25,0.25,1.38,1.5,0.38,0.62,0.25,0.0,0.88
vsBUR,RW,0.43,0.71,0.14,0.0,0.57,0.71,0.57,0.86,1.14,0.71,1.43,0.0,0.0,0.29
vsCHE,FW,0.14,0.29,0.07,0.0,0.43,0.07,0.64,0.64,0.57,0.5,0.86,0.0,0.0,0.93
vsCHE,LW,0.22,0.67,0.11,0.0,0.89,0.11,0.56,1.44,0.33,0.44,1.0,0.0,0.0,0.11
vsCHE,RW,0.0,0.42,0.08,0.0,0.75,0.33,0.25,0.58,0.5,0.08,0.92,0.0,0.0,0.25
vsCRY,FW,0.14,0.43,0.14,0.0,0.36,0.07,0.5,0.64,0.5,0.21,1.43,0.14,0.0,0.86
vsCRY,LW,0.09,0.36,0.09,0.0,0.55,0.18,1.18,0.82,0.45,0.36,0.73,0.0,0.0,0.73
vsCRY,RW,0.0,0.0,0.1,0.0,1.4,0.3,0.8,0.7,1.3,0.4,0.8,0.0,0.0,0.5
vsEVE,FW,0.21,0.53,0.05,0.0,0.37,0.11,0.42,0.47,0.47,0.37,1.42,0.05,0.0,1.05
vsEVE,LW,0.43,0.43,0.14,0.0,1.0,0.29,0.57,1.0,0.57,0.86,0.43,0.0,0.0,0.29
vsEVE,RW,0.2,0.6,0.2,0.0,1.4,0.0,1.8,2.8,1.2,1.2,2.2,0.0,0.0,0.2
vsFUL,FW,0.32,0.74,0.11,0.0,0.47,0.21,0.47,0.47,0.74,0.63,1.0,0.05,0.0,1.26
vsFUL,LW,0.12,0.62,0.0,0.0,0.62,0.12,0.25,1.25,0.75,0.38,0.88,0.0,0.0,0.25
vsFUL,RW,0.5,0.67,0.33,0.0,1.33,0.67,1.17,2.0,1.0,0.33,1.33,0.0,0.0,0.5
vsLIV,FW,0.07,0.5,0.07,0.0,0.5,0.07,0.57,0.79,0.43,0.36,1.21,0.0,0.0,0.36
vsLIV,LW,0.1,0.7,0.1,0.0,0.8,0.8,0.9,2.2,1.3,0.5,0.7,0.0,0.0,0.2
vsLIV,RW,0.5,1.0,0.12,0.0,1.0,0.5,0.5,1.5,1.12,0.5,0.75,0.0,0.0,0.38
vsLUT,FW,0.29,0.65,0.0,0.0,0.24,0.18,0.71,0.65,0.53,0.29,1.12,0.0,0.0,0.94
vsLUT,LW,0.0,0.3,0.1,0.0,1.2,0.4,0.4,0.6,1.0,0.5,0.8,0.0,0.0,0.6
vsLUT,RW,0.5,1.0,0.0,0.0,0.12,0.0,0.0,1.25,0.75,0.25,1.38,0.0,0.0,0.25
vsMCI,FW,0.0,0.11,0.17,0.06,0.44,0.0,0.39,0.72,0.67,0.33,0.94,0.0,0.0,0.5
vsMCI,LW,0.22,0.56,0.56,0.0,0.56,0.33,0.44,0.78,0.22,0.44,0.56,0.0,0.0,0.22
vsMCI,RW,0.0,0.0,0.25,0.0,0.88,0.5,0.88,0.5,0.25,0.38,1.25,0.0,0.0,0.25
vsMUN,FW,0.24,0.53,0.12,0.0,0.76,0.71,0.53,0.71,1.35,0.59,1.06,0.0,0.0,0.65
vsMUN,LW,0.0,0.11,0.0,0.0,0.67,0.33,0.33,1.22,0.89,0.89,0.56,0.0,0.0,0.11
vsMUN,RW,0.0,0.5,0.1,0.0,1.0,0.4,0.8,1.5,0.8,0.4,1.0,0.0,0.0,0.4
vsNEW,FW,0.31,0.75,0.31,0.0,0.56,0.19,0.5,1.19,0.56,0.31,0.88,0.0,0.0,1.0
vsNEW,LW,0.0,0.25,0.12,0.0,0.5,0.25,0.75,0.88,0.62,0.5,1.25,0.0,0.0,0.62
vsNEW,RW,0.0,0.25,0.12,0.0,0.38,0.5,1.0,1.0,1.0,0.12,1.12,0.0,0.0,0.62
vsNOT,FW,0.17,0.42,0.08,0.08,0.33,0.17,0.67,0.58,0.42,0.5,1.25,0.0,0.0,1.17
vsNOT,LW,0.0,0.14,0.14,0.0,0.57,0.14,0.43,1.86,1.14,0.43,2.0,0.14,0.0,0.29
vsNOT,RW,0.33,0.83,0.0,0.0,1.33,0.33,0.5,1.17,2.0,0.5,0.67,0.0,0.0,0.17
vsSHU,FW,0.62,1.54,0.15,0.0,0.62,0.08,0.62,1.08,1.15,0.31,1.31,0.0,0.0,1.31
