Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
ARS,D,0.02,0.12,0.12,0.02,1.07,0.74,1.0,0.29,0.45,1.45,0.19,0.0,0.0,1.0
ARS,F,0.26,0.51,0.11,0.0,1.11,0.37,0.86,1.29,1.23,0.31,1.26,0.06,0.0,0.6
ARS,M,0.14,0.43,0.14,0.0,1.49,0.54,0.92,0.41,0.73,0.46,0.84,0.05,0.0,0.54
AVL,D,0.08,0.32,0.18,0.0,1.61,0.82,1.13,0.39,0.58,2.16,0.24,0.0,0.03,0.82
AVL,F,0.28,0.56,0.09,0.0,0.47,0.16,0.59,0.69,0.91,0.31,1.09,0.06,0.0,0.41
AVL,M,0.14,0.35,0.23,0.0,1.19,0.44,0.6,0.72,0.86,0.42,0.6,0.0,0.0,0.21
BHA,D,0.05,0.21,0.24,0.0,1.55,0.92,1.05,0.32,0.63,2.05,0.24,0.0,0.03,1.13
BHA,F,0.42,0.86,0.14,0.0,1.03,0.61,0.47,0.94,0.97,0.44,0.94,0.0,0.0,0.39
BHA,M,0.07,0.33,0.21,0.0,0.95,0.35,0.81,0.58,1.19,0.53,0.63,0.02,0.0,0.28
BOU,D,0.0,0.0,0.15,0.0,1.75,0.68,1.15,0.62,0.32,2.6,0.4,0.0,0.02,0.95
BOU,F,0.12,0.5,0.1,0.0,0.67,0.26,0.52,1.05,0.64,0.48,1.21,0.0,0.0,0.45
BOU,M,0.0,0.23,0.0,0.0,1.4,0.94,1.2,0.83,0.77,0.77,0.77,0.0,0.0,0.69
BRF,D,0.0,0.06,0.19,0.0,1.34,0.81,0.81,0.51,0.45,2.81,0.47,0.0,0.0,1.62
BRF,F,0.24,0.52,0.1,0.0,0.62,0.31,0.59,0.62,0.72,0.59,0.79,0.03,0.0,1.31
BRF,M,0.11,0.32,0.13,0.0,1.55,0.63,1.08,0.16,0.97,0.76,0.42,0.03,0.0,0.61
BUR,D,0.0,0.08,0.2,0.0,1.23,0.92,1.08,0.18,0.38,2.62,0.22,0.0,0.02,1.15
BUR,F,0.13,0.39,0.05,0.05,0.68,0.08,0.61,0.95,0.45,0.45,0.74,0.0,0.0,0.37
BUR,M,0.05,0.12,0.15,0.0,1.23,0.38,0.65,0.48,0.75,0.82,0.5,0.0,0.0,0.8
CHE,D,0.02,0.2,0.2,0.02,1.34,0.63,0.9,0.44,0.66,2.41,0.27,0.0,0.0,1.66
CHE,F,0.22,0.56,0.33,0.0,0.7,0.15,0.44,1.04,0.74,0.37,1.04,0.04,0.0,0.37
CHE,M,0.07,0.29,0.19,0.0,1.4,0.5,0.88,0.81,0.71,0.52,1.0,0.02,0.0,0.55
CRY,D,0.06,0.12,0.12,0.0,1.59,0.62,1.21,0.5,0.5,4.18,0.26,0.0,0.0,1.44
CRY,F,0.1,0.61,0.1,0.0,1.32,0.32,0.48,1.23,0.9,0.68,1.87,0.0,0.0,1.16
CRY,M,0.06,0.39,0.13,0.0,2.1,1.1,1.1,1.19,0.97,1.16,1.35,0.0,0.0,1.0
EVE,D,0.03,0.17,0.23,0.0,2.06,1.11,1.31,0.34,0.69,2.69,0.34,0.0,0.0,1.66
EVE,F,0.19,0.77,0.08,0.0,0.35,0.15,0.73,0.62,0.73,0.35,1.0,0.0,0.0,1.65
EVE,M,0.07,0.4,0.05,0.0,1.88,0.47,1.09,0.77,1.07,0.37,0.72,0.0,0.0,0.93
FUL,D,0.03,0.08,0.3,0.05,1.68,1.05,0.73,0.46,0.24,3.03,0.43,0.0,0.03,1.3
FUL,F,0.1,0.48,0.08,0.0,0.57,0.15,0.68,0.5,0.62,0.35,1.02,0.0,0.0,0.78
FUL,M,0.05,0.14,0.19,0.0,1.3,0.43,0.62,0.27,0.73,0.65,0.92,0.0,0.0,0.59
LIV,D,0.02,0.12,0.12,0.02,1.41,1.05,0.85,0.29,0.95,3.22,0.2,0.0,0.02,1.54
LIV,F,0.41,0.74,0.09,0.0,0.76,0.18,0.47,0.85,0.94,0.12,0.97,0.03,0.0,0.47
LIV,M,0.02,0.15,0.2,0.07,1.32,0.56,1.27,0.71,0.63,0.68,0.73,0.05,0.0,0.32
LUT,D,0.06,0.12,0.12,0.0,1.61,0.88,1.04,0.35,0.65,2.57,0.16,0.0,0.0,1.43
LUT,F,0.12,0.28,0.08,0.0,0.44,0.2,0.4,0.6,0.76,0.84,1.04,0.0,0.0,2.32
LUT,M,0.0,0.05,0.14,0.0,1.5,0.52,0.74,0.45,0.67,0.38,0.81,0.0,0.0,0.57
MCI,D,0.03,0.25,0.08,0.0,1.28,0.72,0.72,0.31,0.53,1.53,0.33,0.0,0.03,1.03
MCI,F,0.34,0.72,0.03,0.0,0.83,0.31,0.52,1.34,1.66,0.52,0.72,0.0,0.0,0.45
MCI,M,0.15,0.5,0.22,0.02,1.08,0.18,0.57,0.57,0.98,0.42,0.62,0.02,0.0,0.22
MUN,D,0.02,0.07,0.21,0.0,1.36,0.69,0.88,0.48,0.79,2.36,0.36,0.0,0.02,0.83
MUN,F,0.11,0.56,0.06,0.0,0.5,0.31,0.39,1.08,0.81,0.36,0.97,0.03,0.0,0.47
MUN,M,0.11,0.39,0.17,0.0,1.67,0.44,1.39,0.5,1.28,0.86,0.89,0.0,0.0,0.58
NEW,D,0.06,0.11,0.14,0.0,1.33,0.64,1.19,0.31,0.94,2.22,0.28,0.0,0.0,1.89
NEW,F,0.36,0.79,0.19,0.0,0.62,0.19,0.48,0.95,0.5,0.19,0.86,0.05,0.0,0.24
NEW,M,0.09,0.31,0.23,0.0,1.4,0.31,0.89,0.66,1.0,0.51,0.83,0.0,0.0,0.37
NOT,D,0.02,0.26,0.24,0.05,1.45,0.69,1.02,0.29,0.38,3.57,0.19,0.0,0.0,1.71
NOT,F,0.16,0.25,0.03,0.0,0.56,0.06,0.38,0.84,0.91,0.41,0.62,0.0,0.0,0.78
NOT,M,0.05,0.16,0.3,0.0,1.55,0.98,0.84,0.48,0.41,1.05,0.66,0.0,0.0,0.86
SHU,D,0.02,0.1,0.2,0.0,1.16,1.0,1.38,0.42,0.22,3.5,0.46,0.0,0.0,1.1
SHU,F,0.04,0.26,0.26,0.04,0.65,0.13,1.13,0.43,0.52,0.57,1.39,0.0,0.0,1.52
SHU,M,0.05,0.28,0.21,0.0,1.85,0.64,1.08,0.41,0.59,1.26,0.74,0.0,0.0,0.74
TOT,D,0.1,0.12,0.19,0.0,1.98,0.79,1.21,0.45,0.48,2.81,0.29,0.0,0.02,1.05
TOT,F,0.24,0.73,0.16,0.0,0.65,0.46,0.43,1.05,1.54,0.24,0.92,0.0,0.0,0.46
TOT,M,0.08,0.65,0.38,0.03,1.43,0.59,0.76,1.03,1.08,0.73,0.86,0.0,0.0,0.3
WHU,D,0.06,0.08,0.22,0.03,1.53,1.25,1.53,0.22,0.56,3.89,0.17,0.03,0.0,1.39
WHU,F,0.17,0.49,0.14,0.0,0.86,0.31,0.71,1.2,0.4,0.37,1.0,0.0,0.0,0.74
WHU,M,0.2,0.43,0.23,0.0,1.74,0.94,1.17,0.43,1.03,2.03,0.71,0.0,0.0,1.37
WOL,D,0.0,0.08,0.23,0.0,1.54,0.69,1.28,0.56,0.33,3.0,0.49,0.0,0.03,1.26
WOL,F,0.16,0.41,0.09,0.0,0.84,0.22,0.59,1.22,0.78,0.31,0.94,0.0,0.0,0.34
WOL,M,0.07,0.23,0.33,0.07,1.42,0.81,0.74,1.0,0.67,1.07,0.81,0.0,0.0,0.49
