,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,pts,dpt,off,pkg,ghost points,negative fpts,home
0,ARS,CB,3,4.34,0.0,0.36,0.09,0.0,0.36,0.09,0.09,0.0,0.09,1.27,1.18,0.09,0.64,1.55,0.0,0.0,0.0,1.09,0.09,0.64,0.0,0.0,2.61,-2.41,11
1,ARS,CM,4,4.44,0.12,0.0,0.0,0.62,1.0,0.62,0.12,0.0,0.0,0.75,0.75,0.12,0.12,1.0,0.0,0.0,0.0,0.75,0.12,0.75,0.12,0.0,3.19,-0.56,8
2,ARS,FW,4,8.19,0.38,1.0,0.12,0.5,0.38,0.75,0.25,0.0,0.25,0.25,0.0,0.5,0.0,1.12,0.0,0.0,0.0,0.62,0.5,1.38,0.38,0.0,4.06,-0.88,8
3,ARS,LB,4,2.42,0.0,0.44,0.0,0.22,0.78,0.0,0.11,0.0,0.0,0.44,0.78,0.0,0.11,0.67,0.0,0.0,0.0,0.78,0.0,0.67,0.11,0.0,1.75,-1.78,9
4,ARS,LM,4,6.5,0.0,1.11,0.33,0.11,0.78,0.56,0.11,0.0,0.0,0.56,0.67,0.33,0.22,0.67,0.0,0.11,0.0,0.78,0.22,1.33,0.33,0.0,4.39,-0.5,9
5,ARS,LW,5,7.17,0.11,0.78,0.22,0.67,0.44,1.56,0.0,0.0,0.44,0.11,0.33,1.56,0.0,0.33,0.0,0.0,0.0,0.67,0.33,0.78,0.22,0.0,4.83,-0.78,9
6,ARS,RB,2,9.2,0.0,1.2,0.2,0.2,1.2,0.6,0.0,0.0,0.2,1.0,1.8,1.2,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.4,0.2,0.0,6.6,-1.5,5
7,ARS,RM,2,5.29,0.14,0.86,0.0,0.71,0.57,1.57,0.14,0.0,0.14,0.29,0.14,0.71,0.0,0.14,0.0,0.0,0.0,0.86,0.14,1.14,0.0,0.0,3.86,-1.07,7
8,ARS,RW,2,21.4,0.6,3.2,0.4,1.4,2.4,1.4,0.4,0.0,0.6,0.4,0.2,2.4,0.0,0.2,0.0,0.0,0.0,1.2,0.8,2.8,0.2,0.4,13.6,-1.5,5
9,AVL,AM,4,6.83,0.0,0.83,0.5,0.83,0.0,0.5,0.33,0.0,0.17,0.0,0.17,1.17,0.0,0.17,0.0,0.0,0.0,0.33,0.33,1.5,0.17,0.0,3.83,-0.92,6
10,AVL,CB,3,3.57,0.0,0.0,0.0,0.0,0.71,0.0,0.14,0.0,0.0,0.29,2.29,0.14,0.71,0.86,0.0,0.0,0.0,0.57,0.0,1.0,0.14,0.0,1.86,-1.43,7
11,AVL,CM,1,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,-0.25,2
12,AVL,DM,3,8.21,0.43,0.43,0.0,0.43,1.57,0.43,0.29,0.0,0.14,0.57,0.43,0.43,0.29,0.29,0.0,0.0,0.0,0.57,0.43,2.29,0.0,0.29,4.07,-0.79,7
13,AVL,FW,3,18.67,0.83,1.67,0.67,1.33,0.33,0.67,0.17,0.0,0.0,0.0,0.33,0.5,0.0,0.67,0.0,0.33,0.0,0.33,1.0,1.17,0.0,0.0,7.17,-0.67,6
14,AVL,LB,1,12.25,0.0,1.33,0.67,0.0,1.0,2.0,0.67,0.0,2.0,0.67,2.33,0.33,0.0,2.0,0.0,0.0,0.0,0.67,0.33,4.0,0.0,0.0,5.58,-3.67,3
15,AVL,LW,3,8.25,0.5,0.75,0.0,0.75,0.25,2.25,0.25,0.0,0.0,0.25,0.25,1.25,0.0,0.75,0.0,0.0,0.0,0.5,0.5,1.75,0.0,0.0,3.5,-1.62,4
16,AVL,RB,1,9.5,0.0,0.67,0.33,0.0,2.0,0.0,0.33,0.0,0.67,0.67,2.0,0.33,1.0,0.67,0.0,0.0,0.0,0.67,0.33,1.33,0.0,0.0,5.17,-2.0,3
17,AVL,RM,1,13.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,-2.5,1
18,AVL,RW,2,12.5,0.33,1.67,0.67,0.33,0.33,1.0,0.33,0.0,0.33,0.33,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.0,0.0,5.5,-1.17,3
19,BHA,AM,4,4.14,0.09,0.91,0.0,0.18,0.36,1.09,0.0,0.0,0.09,0.27,0.45,0.45,0.0,0.64,0.0,0.09,0.0,0.64,0.09,0.45,0.09,0.09,3.32,-0.55,11
20,BHA,CB,4,4.55,0.09,0.45,0.0,0.27,0.64,0.0,0.09,0.0,0.09,0.73,2.55,0.09,1.0,2.09,0.0,0.0,0.0,1.45,0.09,0.73,0.0,0.0,3.64,-3.09,11
21,BHA,CM,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,-2.0,-2.0,1
22,BHA,DM,5,10.19,0.08,2.08,0.31,0.54,0.69,0.38,0.15,0.0,0.46,0.54,0.46,0.54,0.31,0.31,0.0,0.0,0.0,1.08,0.23,1.08,0.0,0.0,7.42,-0.5,13
23,BHA,FW,3,9.0,0.57,0.43,0.0,1.57,0.14,1.14,0.14,0.0,0.0,0.0,0.71,0.43,0.0,0.29,0.0,0.0,0.0,1.14,0.57,1.43,0.14,0.0,3.86,-0.86,7
24,BHA,LB,2,13.35,0.0,2.4,0.6,0.4,1.2,0.6,0.2,0.0,1.4,1.8,1.4,0.8,0.2,1.2,0.0,0.0,0.0,1.6,0.6,1.8,0.2,0.0,9.35,-3.1,5
25,BHA,LM,1,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,-1.0,-2.0,1
26,BHA,LW,2,12.67,0.33,2.0,0.33,0.5,0.17,0.83,0.33,0.0,0.5,0.67,0.0,2.17,0.0,0.5,0.0,0.0,0.0,1.33,0.67,2.17,0.5,0.0,7.67,-1.08,6
27,BHA,RB,2,2.29,0.0,0.14,0.14,0.14,1.14,0.29,0.14,0.0,0.0,0.71,1.29,0.0,0.0,0.43,0.0,0.0,0.0,1.14,0.14,1.57,0.0,0.0,1.14,-1.86,7
28,BHA,RM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,BHA,RW,4,7.72,0.33,0.56,0.0,0.67,0.78,1.0,0.11,0.0,0.11,0.89,0.11,1.0,0.0,0.44,0.0,0.0,0.0,0.89,0.33,1.56,0.44,0.0,4.5,-0.94,9
30,BOU,AM,6,4.5,0.0,1.12,0.0,0.25,0.25,0.75,0.0,0.0,0.38,0.5,0.38,0.5,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.62,0.0,0.0,4.38,-0.38,8
31,BOU,CB,4,3.12,0.0,0.2,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.6,1.9,0.8,1.0,1.2,0.0,0.0,0.0,1.4,0.0,1.2,0.0,0.0,1.92,-3.25,10
32,BOU,DM,4,6.4,0.0,0.6,0.0,0.3,0.8,0.5,0.0,0.0,0.2,1.8,0.9,1.2,0.3,0.7,0.0,0.0,0.0,1.3,0.0,1.2,0.1,0.0,6.2,-0.25,10
33,BOU,FW,2,6.2,0.2,1.0,0.0,0.6,0.2,1.6,0.0,0.0,0.0,0.4,0.2,0.8,0.0,1.2,0.0,0.0,0.0,1.4,0.2,0.8,0.2,0.0,4.4,-0.8,5
34,BOU,LB,2,2.2,0.0,0.2,0.0,0.0,0.8,0.6,0.2,0.0,0.4,0.4,2.0,0.8,0.2,1.0,0.0,0.0,0.0,1.4,0.0,1.6,0.0,0.0,1.0,-3.5,5
35,BOU,LW,4,2.62,0.0,0.25,0.0,0.25,0.5,0.62,0.0,0.0,0.0,0.5,0.38,0.88,0.0,0.12,0.0,0.0,0.0,0.88,0.0,1.0,0.38,0.0,2.62,-0.31,8
36,BOU,RB,2,2.5,0.0,0.8,0.0,0.0,0.6,1.0,0.0,0.0,0.4,0.6,0.8,0.8,0.2,0.2,0.0,0.0,0.0,1.4,0.0,1.4,0.2,0.0,1.3,-3.3,5
37,BOU,RW,5,4.0,0.0,0.5,0.12,0.38,0.5,0.62,0.0,0.0,0.12,0.12,0.0,0.88,0.0,0.12,0.0,0.0,0.0,0.88,0.0,0.75,0.0,0.0,3.12,-0.31,8
38,BRF,CB,5,4.08,0.0,0.33,0.08,0.0,0.92,0.33,0.0,0.0,0.08,1.08,3.67,0.25,0.42,2.67,0.0,0.0,0.0,1.67,0.08,0.08,0.0,0.0,3.5,-3.5,12
39,BRF,CM,6,6.35,0.0,0.9,0.2,0.4,1.2,0.8,0.0,0.0,0.3,0.5,0.9,0.1,0.3,0.7,0.0,0.1,0.0,1.5,0.1,0.6,0.0,0.0,5.15,-0.4,10
40,BRF,FW,5,5.12,0.25,0.38,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.25,0.12,0.25,0.12,1.25,0.0,0.0,0.0,1.38,0.25,0.75,0.5,0.12,2.88,-0.38,8
41,BRF,LB,2,4.62,0.0,1.25,0.25,0.0,0.5,1.25,0.0,0.0,0.5,0.75,1.0,1.5,0.75,0.75,0.0,0.0,0.0,2.0,0.25,1.0,0.0,0.0,2.88,-4.62,4
42,BRF,LM,2,4.0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,0.5,0.25,0.0,2.5,0.0,4
43,BRF,LW,2,8.62,0.25,0.75,0.25,0.5,0.25,0.5,0.0,0.0,0.5,0.25,0.25,0.5,0.0,2.25,0.0,0.0,0.0,1.25,0.25,1.0,0.25,0.0,4.88,-0.25,4
44,BRF,RB,3,1.33,0.0,0.33,0.0,0.17,1.17,0.5,0.17,0.0,0.0,0.17,1.0,0.67,0.17,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.33,-2.58,6
45,BRF,RM,2,9.38,0.5,1.25,0.0,0.5,1.0,0.75,0.25,0.0,0.5,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,1.5,0.5,1.5,0.0,0.0,4.62,-0.88,4
46,BRF,RW,1,10.5,0.33,1.67,0.0,0.67,1.0,1.33,0.33,0.0,2.0,0.0,1.33,0.67,0.0,1.0,0.0,0.0,0.0,2.0,0.33,3.0,0.0,0.0,7.5,-1.33,3
47,BRF,WB,1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,-2.0,1
48,BUR,AM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
49,BUR,CB,4,0.32,0.0,0.29,0.0,0.14,1.14,0.14,0.21,0.0,0.07,1.57,1.86,0.21,0.93,1.64,0.0,0.0,0.07,2.86,0.0,1.29,0.0,0.0,0.32,-6.57,14
50,BUR,CM,5,3.38,0.08,0.67,0.08,0.08,0.75,0.58,0.33,0.0,0.08,0.17,0.25,0.08,0.33,0.33,0.0,0.0,0.0,2.25,0.17,1.92,0.0,0.0,2.12,-0.96,12
51,BUR,FW,6,4.21,0.17,0.42,0.08,0.42,0.33,0.5,0.0,0.08,0.0,0.08,0.42,0.42,0.25,0.58,0.0,0.0,0.0,1.92,0.25,1.33,0.5,0.0,2.21,-0.83,12
