id,team_name,season,stat_name,shots,goals,xG,against_shots,GA,xGA,GP,xG-G,xGA-GA,xG-xGA,xG_per_shot,xG_per_shot_against,shots_per_goal_against,shots_against_per_game,xG_diff
91,BRF,2023,OpenPlay,97.0,12.0,13.693526938557625,98.0,7.0,8.9,11.0,1.6935269385576248,1.9000000000000004,4.7935269385576245,0.14117038080987243,0.09081632653061225,14.0,8.909090909090908,4.7935269385576245
11,NEW,2023,OpenPlay,100.0,19.0,18.882372533902526,81.0,9.0,7.8,11.0,-0.1176274660974741,-1.2000000000000002,11.082372533902525,0.18882372533902525,0.0962962962962963,9.0,7.363636363636363,11.082372533902525
41,ARS,2023,OpenPlay,100.0,11.0,12.734379624016583,68.0,6.0,7.0,11.0,1.734379624016583,1.0,5.734379624016583,0.12734379624016584,0.10294117647058823,11.333333333333334,6.181818181818182,5.734379624016583
46,WHU,2023,OpenPlay,81.0,13.0,10.2813192717731,124.0,13.0,13.3,11.0,-2.7186807282269,0.3000000000000007,-3.018680728226901,0.12692986755275432,0.10725806451612904,9.538461538461538,11.272727272727273,-3.018680728226901
86,NOT,2023,OpenPlay,74.0,9.0,9.030889156274498,101.0,9.0,11.0,11.0,0.03088915627449751,2.0,-1.9691108437255025,0.12203904265235807,0.10891089108910891,11.222222222222221,9.181818181818182,-1.9691108437255025
71,CHE,2023,OpenPlay,110.0,10.0,15.605285439640284,75.0,9.0,8.2,11.0,5.605285439640284,-0.8000000000000007,7.405285439640284,0.14186623126945713,0.10933333333333332,8.333333333333334,6.818181818181818,7.405285439640284
81,TOT,2023,OpenPlay,142.0,18.0,20.408767885528505,84.0,7.0,9.4,11.0,2.408767885528505,2.4000000000000004,11.008767885528504,0.14372371750372187,0.11190476190476191,12.0,7.636363636363637,11.008767885528504
51,LIV,2023,OpenPlay,125.0,16.0,17.803251326084137,92.0,7.0,10.5,11.0,1.803251326084137,3.5,7.303251326084137,0.1424260106086731,0.11413043478260869,13.142857142857142,8.363636363636363,7.303251326084137
66,EVE,2023,OpenPlay,103.0,5.0,13.32201110990718,92.0,9.0,10.8,11.0,8.32201110990718,1.8000000000000007,2.5220111099071794,0.1293399136884192,0.11739130434782609,10.222222222222221,8.363636363636363,2.5220111099071794
21,CRY,2023,OpenPlay,82.0,7.0,8.069105240050703,99.0,10.0,12.0,11.0,1.0691052400507033,2.0,-3.9308947599492967,0.09840372243964272,0.12121212121212122,9.9,9.0,-3.9308947599492967
6,MCI,2023,OpenPlay,119.0,16.0,15.749811924993992,49.0,6.0,6.3,11.0,-0.25018807500600815,0.2999999999999998,9.449811924993991,0.13235136071423523,0.12857142857142856,8.166666666666666,4.454545454545454,9.449811924993991
61,BUR,2023,OpenPlay,67.0,7.0,6.252269892022014,120.0,20.0,16.5,11.0,-0.7477301079779863,-3.5,-10.247730107977986,0.09331746107495542,0.1375,6.0,10.909090909090908,-10.247730107977986
26,BHA,2023,OpenPlay,120.0,20.0,17.411094044800848,102.0,16.0,14.3,11.0,-2.5889059551991522,-1.6999999999999993,3.111094044800847,0.1450924503733404,0.14019607843137255,6.375,9.272727272727273,3.111094044800847
96,SHU,2023,OpenPlay,67.0,5.0,6.77910400275141,148.0,22.0,21.1,11.0,1.77910400275141,-0.8999999999999986,-14.320895997248591,0.10118065675748374,0.14256756756756758,6.7272727272727275,13.454545454545455,-14.320895997248591
76,MUN,2023,OpenPlay,119.0,8.0,11.10611299611628,105.0,11.0,15.3,11.0,3.1061129961162806,4.300000000000001,-4.19388700388372,0.09332868063963261,0.1457142857142857,9.545454545454545,9.545454545454545,-4.19388700388372
36,WOL,2023,OpenPlay,87.0,9.0,11.32248576823622,121.0,13.0,17.8,11.0,2.32248576823622,4.800000000000001,-6.477514231763781,0.13014351457742782,0.14710743801652892,9.307692307692308,11.0,-6.477514231763781
56,BOU,2023,OpenPlay,92.0,8.0,10.12189504597336,118.0,13.0,17.9,11.0,2.1218950459733605,4.899999999999999,-7.778104954026638,0.1100205983257974,0.15169491525423728,9.076923076923077,10.727272727272727,-7.778104954026638
16,FUL,2023,OpenPlay,76.0,7.0,9.140489406883717,85.0,12.0,14.3,11.0,2.1404894068837166,2.3000000000000007,-5.159510593116284,0.12026959745899628,0.16823529411764707,7.083333333333333,7.7272727272727275,-5.159510593116284
1,AVL,2023,OpenPlay,115.0,21.0,18.70050944108516,81.0,11.0,13.8,11.0,-2.29949055891484,2.8000000000000007,4.900509441085159,0.16261312557465357,0.17037037037037037,7.363636363636363,7.363636363636363,4.900509441085159
31,LUT,2023,OpenPlay,80.0,4.0,9.35056442860514,113.0,15.0,19.8,11.0,5.350564428605139,4.800000000000001,-10.449435571394861,0.11688205535756424,0.1752212389380531,7.533333333333333,10.272727272727273,-10.449435571394861
