id,team_name,season,stat_name,shots,goals,xG,against_shots,GA,xGA,GP,xG-G,xGA-GA,xG-xGA,xG_per_shot,xG_per_shot_against,shots_per_goal_against,shots_against_per_game,xG_diff
73,BRF,2023,Normal,80.0,10.0,11.179631859064102,78.0,5.0,6.8,11.0,1.1796318590641022,1.7999999999999998,4.379631859064102,0.1397453982383013,0.08717948717948718,15.6,7.090909090909091,4.379631859064102
65,TOT,2023,Normal,114.0,14.0,14.16713690198958,72.0,6.0,6.7,11.0,0.1671369019895792,0.7000000000000002,7.467136901989579,0.12427313071920683,0.09305555555555556,12.0,6.545454545454546,7.467136901989579
9,NEW,2023,Normal,80.0,17.0,14.190274773165584,63.0,8.0,6.1,11.0,-2.8097252268344164,-1.9000000000000004,8.090274773165584,0.1773784346645698,0.09682539682539681,7.875,5.7272727272727275,8.090274773165584
57,CHE,2023,Normal,83.0,6.0,12.295066023245454,58.0,5.0,5.8,11.0,6.295066023245454,0.7999999999999998,6.495066023245454,0.14813332558127054,0.09999999999999999,11.6,5.2727272727272725,6.495066023245454
33,ARS,2023,Normal,80.0,7.0,8.892057925462723,57.0,4.0,5.8,11.0,1.8920579254627228,1.7999999999999998,3.092057925462723,0.11115072406828404,0.10175438596491228,14.25,5.181818181818182,3.092057925462723
41,LIV,2023,Normal,92.0,8.0,11.082718326710165,78.0,4.0,8.0,11.0,3.0827183267101645,4.0,3.0827183267101645,0.12046432963815397,0.10256410256410256,19.5,7.090909090909091,3.0827183267101645
17,CRY,2023,Normal,66.0,6.0,6.326894949190319,79.0,8.0,8.2,11.0,0.3268949491903186,0.1999999999999993,-1.8731050508096807,0.0958620446847018,0.10379746835443036,9.875,7.181818181818182,-1.8731050508096807
5,MCI,2023,Normal,86.0,10.0,12.135572107508779,46.0,5.0,4.8,11.0,2.1355721075087786,-0.20000000000000018,7.335572107508779,0.14111130357568347,0.10434782608695652,9.2,4.181818181818182,7.335572107508779
53,EVE,2023,Normal,84.0,2.0,9.746171471197158,74.0,6.0,7.9,11.0,7.746171471197158,1.9000000000000004,1.8461714711971577,0.11602585084758521,0.10675675675675676,12.333333333333334,6.7272727272727275,1.8461714711971577
37,WHU,2023,Normal,69.0,12.0,8.920375062152743,96.0,11.0,10.8,11.0,-3.0796249378472567,-0.1999999999999993,-1.8796249378472574,0.12928079800221368,0.1125,8.727272727272727,8.727272727272727,-1.8796249378472574
21,BHA,2023,Normal,100.0,18.0,15.53261081315577,87.0,12.0,10.6,11.0,-2.4673891868442297,-1.4000000000000004,4.932610813155771,0.1553261081315577,0.12183908045977011,7.25,7.909090909090909,4.932610813155771
49,BUR,2023,Normal,52.0,5.0,4.628173336386681,90.0,16.0,11.2,11.0,-0.3718266636133194,-4.800000000000001,-6.571826663613319,0.08900333339205155,0.12444444444444444,5.625,8.181818181818182,-6.571826663613319
69,NOT,2023,Normal,61.0,3.0,5.590142612345517,68.0,3.0,8.5,11.0,2.5901426123455167,5.5,-2.9098573876544833,0.09164168216959863,0.125,22.666666666666668,6.181818181818182,-2.9098573876544833
61,MUN,2023,Normal,102.0,8.0,9.784252488985658,91.0,7.0,11.5,11.0,1.7842524889856577,4.5,-1.7157475110143423,0.09592404400966331,0.12637362637362637,13.0,8.272727272727273,-1.7157475110143423
77,SHU,2023,Normal,58.0,3.0,4.427439656108618,117.0,16.0,15.8,11.0,1.4274396561086178,-0.1999999999999993,-11.372560343891383,0.07633516648463134,0.13504273504273506,7.3125,10.636363636363637,-11.372560343891383
29,WOL,2023,Normal,71.0,7.0,8.570960362441838,91.0,9.0,13.1,11.0,1.5709603624418378,4.1,-4.529039637558162,0.12071775158368786,0.14395604395604394,10.11111111111111,8.272727272727273,-4.529039637558162
45,BOU,2023,Normal,80.0,6.0,9.574836647138,102.0,11.0,15.6,11.0,3.5748366471379995,4.6,-6.025163352862,0.119685458089225,0.15294117647058822,9.272727272727273,9.272727272727273,-6.025163352862
1,AVL,2023,Normal,91.0,17.0,13.691186308860779,65.0,10.0,10.1,11.0,-3.308813691139221,0.09999999999999964,3.591186308860779,0.1504525968006679,0.15538461538461537,6.5,5.909090909090909,3.591186308860779
13,FUL,2023,Normal,66.0,5.0,7.298072486184537,69.0,10.0,11.5,11.0,2.2980724861845374,1.5,-4.201927513815463,0.11057685585128087,0.16666666666666666,6.9,6.2727272727272725,-4.201927513815463
25,LUT,2023,Normal,61.0,4.0,7.6802408853545785,95.0,12.0,16.7,11.0,3.6802408853545785,4.699999999999999,-9.01975911464542,0.1259055882845013,0.17578947368421052,7.916666666666667,8.636363636363637,-9.01975911464542
