id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
29,Nottingham Forest,2023,DirectFreekick,1,0,0.1,4,0,0.3,9.0,inf
40,Newcastle United,2023,DirectFreekick,1,0,0.1,5,0,0.3,9.8,inf
94,Wolverhampton Wanderers,2023,DirectFreekick,2,0,0.2,2,1,0.1,11.1,inf
9,West Ham,2023,DirectFreekick,3,0,0.2,5,0,0.3,12.3,inf
79,Burnley,2023,DirectFreekick,2,0,0.2,3,0,0.1,12.5,inf
84,Brighton,2023,DirectFreekick,3,0,0.2,4,0,0.2,12.9,inf
54,Everton,2023,DirectFreekick,2,0,0.1,3,0,0.3,13.4,inf
69,Bournemouth,2023,DirectFreekick,6,0,0.4,4,1,0.2,14.6,inf
14,Fulham,2023,DirectFreekick,4,0,0.3,3,0,0.1,15.7,inf
89,Manchester City,2023,DirectFreekick,7,1,0.4,1,0,0.1,17.0,7.0
44,Manchester United,2023,DirectFreekick,4,0,0.2,0,0,0.0,17.1,inf
35,Aston Villa,2023,DirectFreekick,3,0,0.2,1,0,0.1,17.2,inf
74,Crystal Palace,2023,DirectFreekick,6,0,0.3,2,0,0.1,17.5,inf
3,Chelsea,2023,DirectFreekick,7,0,0.4,4,0,0.3,17.6,inf
19,Liverpool,2023,DirectFreekick,5,0,0.3,5,0,0.3,19.6,inf
24,Tottenham,2023,DirectFreekick,3,0,0.2,2,0,0.2,19.8,inf
64,Brentford,2023,DirectFreekick,4,1,0.2,4,0,0.2,20.5,4.0
100,Luton,2023,DirectFreekick,1,0,0.0,4,0,0.2,22.1,inf
50,Sheffield United,2023,DirectFreekick,0,0,0.0,7,0,0.4,,
60,Arsenal,2023,DirectFreekick,0,0,0.0,1,0,0.1,,
