id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
46,Arsenal,2023,Standard,45,12,8.3,16,2,2.6,5.5,3.8
14,Liverpool,2023,Standard,46,7,7.8,34,2,3.2,5.9,6.6
30,Newcastle United,2023,Standard,40,7,6.6,33,2,2.2,6.0,5.7
2,Chelsea,2023,Standard,30,3,4.7,36,2,4.4,6.4,10.0
70,Manchester City,2023,Standard,39,5,6.0,17,1,2.2,6.5,7.8
6,West Ham,2023,Standard,33,3,5.0,49,4,7.8,6.6,11.0
42,Everton,2023,Standard,44,5,6.5,35,5,5.8,6.7,8.8
50,Brentford,2023,Standard,46,4,6.6,33,5,4.7,7.0,11.5
78,Luton,2023,Standard,38,5,5.4,42,4,6.6,7.0,7.6
34,Manchester United,2023,Standard,29,3,3.8,32,4,3.1,7.5,9.7
38,Sheffield United,2023,Standard,20,2,2.6,56,7,8.2,7.7,10.0
26,Aston Villa,2023,Standard,35,4,4.5,24,3,3.2,7.8,8.8
66,Brighton,2023,Standard,32,3,4.0,22,3,3.5,7.9,10.7
10,Fulham,2023,Standard,28,2,3.4,37,4,5.0,8.3,14.0
74,Wolverhampton Wanderers,2023,Standard,32,4,3.7,39,4,4.2,8.7,8.0
54,Bournemouth,2023,Standard,22,0,2.2,56,8,8.4,10.0,inf
58,Crystal Palace,2023,Standard,46,1,4.0,29,3,4.2,11.4,46.0
62,Burnley,2023,Standard,30,1,2.4,42,5,5.1,12.4,30.0
22,Nottingham Forest,2023,Standard,33,1,2.6,30,6,4.1,12.6,33.0
18,Tottenham,2023,Standard,38,4,2.9,44,2,4.5,13.2,9.5
