id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
40,Sheffield United,2023,Slow,4,2,2.1,22,5,4.0,1.9,2.0
31,Newcastle United,2023,Slow,13,1,3.4,5,0,0.2,3.8,13.0
19,Tottenham,2023,Slow,23,3,5.5,5,1,1.5,4.2,7.7
28,Aston Villa,2023,Slow,10,2,2.3,11,1,2.1,4.3,5.0
15,Liverpool,2023,Slow,17,3,3.5,11,3,2.1,4.9,5.7
11,Fulham,2023,Slow,6,1,1.2,8,2,1.9,5.1,6.0
76,Wolverhampton Wanderers,2023,Slow,7,1,1.3,23,2,3.2,5.2,7.0
47,Arsenal,2023,Slow,17,3,3.0,3,0,0.2,5.6,5.7
24,Nottingham Forest,2023,Slow,5,2,0.7,22,4,1.2,7.5,2.5
44,Everton,2023,Slow,7,1,0.9,8,2,1.8,7.7,7.0
3,Chelsea,2023,Slow,17,2,1.9,8,0,0.3,8.7,8.5
60,Crystal Palace,2023,Slow,8,0,0.8,15,1,2.6,9.8,inf
71,Manchester City,2023,Slow,27,5,2.3,1,1,1.0,11.7,5.4
7,West Ham,2023,Slow,7,0,0.5,21,1,1.9,14.3,inf
63,Burnley,2023,Slow,10,1,0.5,19,2,3.6,20.4,10.0
67,Brighton,2023,Slow,10,1,0.5,8,2,1.4,20.4,10.0
51,Brentford,2023,Slow,10,0,0.5,11,0,0.3,20.6,inf
55,Bournemouth,2023,Slow,8,1,0.3,8,1,0.3,22.9,8.0
80,Luton,2023,Slow,9,0,0.3,9,0,0.9,28.6,inf
35,Manchester United,2023,Slow,9,0,0.2,6,1,1.3,46.1,inf
