id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
21,Brighton,2023,4-2-3-1,124,21,18.5,101,14,15.4,6.7,5.9
6,Manchester City,2023,4-2-3-1,129,18,18.2,43,5,6.8,7.1,7.2
71,Tottenham,2023,4-2-3-1,171,20,22.4,121,8,13.6,7.6,8.6
60,Chelsea,2023,4-2-3-1,54,2,6.7,50,5,6.0,8.0,27.0
1,Aston Villa,2023,4-2-3-1,75,11,9.2,41,5,6.7,8.2,6.8
38,West Ham,2023,4-2-3-1,105,13,12.5,149,16,19.8,8.4,8.1
49,Burnley,2023,4-2-3-1,26,1,3.0,58,6,7.2,8.5,26.0
45,Bournemouth,2023,4-2-3-1,108,8,11.5,164,20,24.9,9.4,13.5
66,Manchester United,2023,4-2-3-1,117,7,11.7,108,13,15.5,10.0,16.7
17,Crystal Palace,2023,4-2-3-1,103,8,10.0,102,9,11.1,10.3,12.9
14,Fulham,2023,4-2-3-1,20,1,1.3,33,3,3.0,15.3,20.0
33,Wolverhampton Wanderers,2023,4-2-3-1,19,2,1.2,31,4,6.0,16.5,9.5
77,Nottingham Forest,2023,4-2-3-1,18,2,1.0,12,1,1.7,18.9,9.0
84,Brentford,2023,4-2-3-1,2,0,0.1,0,0,0.0,26.4,inf
