id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
4,Aston Villa,2023,Penalty,3,3,2.3,0,0,0.0,1.3,1.0
10,Manchester City,2023,Penalty,3,2,2.3,0,0,0.0,1.3,1.5
14,Newcastle United,2023,Penalty,3,3,2.3,0,0,0.0,1.3,1.0
30,Brighton,2023,Penalty,1,1,0.8,2,2,1.5,1.3,1.0
34,Luton,2023,Penalty,2,2,1.5,1,1,0.8,1.3,1.0
43,Arsenal,2023,Penalty,6,6,4.6,1,1,0.8,1.3,1.0
50,West Ham,2023,Penalty,1,1,0.8,3,2,2.3,1.3,1.0
55,Liverpool,2023,Penalty,4,3,3.0,0,0,0.0,1.3,1.3
75,Chelsea,2023,Penalty,3,2,2.3,1,1,0.8,1.3,1.5
80,Manchester United,2023,Penalty,1,1,0.8,2,2,1.5,1.3,1.0
95,Brentford,2023,Penalty,2,2,1.5,1,1,0.8,1.3,1.0
99,Sheffield United,2023,Penalty,1,1,0.8,2,1,1.5,1.3,1.0
20,Fulham,2023,Penalty,0,0,0.0,3,3,2.3,,
25,Crystal Palace,2023,Penalty,0,0,0.0,2,2,1.5,,
40,Wolverhampton Wanderers,2023,Penalty,0,0,0.0,2,2,1.5,,
60,Bournemouth,2023,Penalty,0,0,0.0,3,2,2.3,,
65,Burnley,2023,Penalty,0,0,0.0,2,2,1.5,,
70,Everton,2023,Penalty,0,0,0.0,2,2,1.5,,
85,Tottenham,2023,Penalty,0,0,0.0,2,2,1.5,,
90,Nottingham Forest,2023,Penalty,0,0,0.0,1,1,0.8,,
