id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
36,Newcastle United,2023,OpenPlay,100,19,18.9,81,9,7.8,5.3,5.3
81,Brighton,2023,OpenPlay,106,19,16.3,94,15,13.8,6.5,5.6
1,Chelsea,2023,OpenPlay,110,10,15.6,75,9,8.2,7.0,11.0
16,Liverpool,2023,OpenPlay,111,13,15.8,88,7,10.1,7.0,8.5
21,Tottenham,2023,OpenPlay,142,18,20.4,84,7,9.4,7.0,7.9
31,Aston Villa,2023,OpenPlay,102,19,14.6,78,10,12.7,7.0,5.4
61,Brentford,2023,OpenPlay,97,12,13.7,98,7,8.9,7.1,8.1
6,West Ham,2023,OpenPlay,72,13,9.9,116,12,12.6,7.2,5.5
51,Everton,2023,OpenPlay,95,4,12.7,83,9,10.4,7.5,23.8
91,Wolverhampton Wanderers,2023,OpenPlay,87,9,11.3,121,13,17.8,7.7,9.7
11,Fulham,2023,OpenPlay,68,6,8.6,71,11,13.1,7.9,11.3
56,Arsenal,2023,OpenPlay,100,11,12.7,68,6,7.0,7.9,9.1
26,Nottingham Forest,2023,OpenPlay,70,9,8.6,87,6,9.0,8.1,7.8
86,Manchester City,2023,OpenPlay,102,14,12.1,45,6,5.6,8.4,7.3
66,Bournemouth,2023,OpenPlay,92,8,10.1,118,13,17.9,9.1,11.5
96,Luton,2023,OpenPlay,77,3,8.2,100,13,15.7,9.4,25.7
46,Sheffield United,2023,OpenPlay,67,5,6.8,148,22,21.1,9.9,13.4
71,Crystal Palace,2023,OpenPlay,82,7,8.1,99,10,12.0,10.2,11.7
76,Burnley,2023,OpenPlay,67,7,6.3,120,20,16.5,10.7,9.6
41,Manchester United,2023,OpenPlay,115,8,10.5,88,9,11.6,11.0,14.4
