id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
29,Newcastle United,2023,Normal,80,17,14.2,63,8,6.1,5.6,4.7
65,Brighton,2023,Normal,88,17,14.4,79,11,10.1,6.1,5.2
1,Chelsea,2023,Normal,83,6,12.3,58,5,5.8,6.8,13.8
5,West Ham,2023,Normal,61,12,8.6,90,11,10.5,7.1,5.1
49,Brentford,2023,Normal,80,10,11.2,78,5,6.8,7.2,8.0
25,Aston Villa,2023,Normal,80,16,10.6,62,9,8.9,7.5,5.0
69,Manchester City,2023,Normal,73,9,9.5,43,5,4.6,7.6,8.1
17,Tottenham,2023,Normal,114,14,14.2,72,6,6.7,8.0,8.1
41,Everton,2023,Normal,78,2,9.5,66,6,7.6,8.2,39.0
73,Wolverhampton Wanderers,2023,Normal,71,7,8.6,91,9,13.1,8.3,10.1
53,Bournemouth,2023,Normal,80,6,9.6,102,11,15.6,8.4,13.3
13,Liverpool,2023,Normal,85,7,10.0,74,4,7.6,8.5,12.1
9,Fulham,2023,Normal,58,4,6.8,57,9,10.4,8.6,14.5
77,Luton,2023,Normal,58,3,6.6,84,11,13.6,8.8,19.3
45,Arsenal,2023,Normal,80,7,8.9,57,4,5.8,9.0,11.4
57,Crystal Palace,2023,Normal,66,6,6.3,79,8,8.2,10.4,11.0
33,Manchester United,2023,Normal,99,8,9.5,78,6,8.9,10.4,12.4
21,Nottingham Forest,2023,Normal,57,3,5.2,61,2,7.4,11.0,19.0
61,Burnley,2023,Normal,52,5,4.6,90,16,11.2,11.2,10.4
37,Sheffield United,2023,Normal,58,3,4.4,117,16,15.8,13.1,19.3
