id,team_name,season,stat_name,shots,goals,xG,against_shots,against_goals,xGA,shots_per_xG,shots_per_goal
78,Manchester United,2023,SetPiece,5,2,1.5,11,2,1.1,3.4,2.5
38,Wolverhampton Wanderers,2023,SetPiece,12,2,2.4,12,1,0.9,5.0,6.0
93,Brentford,2023,SetPiece,15,1,2.8,7,2,1.3,5.3,15.0
53,Liverpool,2023,SetPiece,8,1,1.5,12,1,1.6,5.4,8.0
68,Everton,2023,SetPiece,14,1,2.4,11,1,1.5,5.7,14.0
44,Arsenal,2023,SetPiece,3,1,0.5,4,0,0.6,6.5,3.0
48,West Ham,2023,SetPiece,6,0,0.9,7,1,1.3,6.6,inf
28,Brighton,2023,SetPiece,5,1,0.8,8,0,1.4,6.6,5.0
98,Sheffield United,2023,SetPiece,4,0,0.6,9,1,0.8,6.8,inf
23,Crystal Palace,2023,SetPiece,12,1,1.6,4,1,0.2,7.3,12.0
33,Luton,2023,SetPiece,8,2,1.0,18,2,3.3,7.6,4.0
13,Newcastle United,2023,SetPiece,14,3,1.8,6,1,0.6,7.9,4.7
18,Fulham,2023,SetPiece,4,0,0.5,11,0,1.0,8.2,inf
58,Bournemouth,2023,SetPiece,7,0,0.8,11,2,1.8,8.5,inf
8,Manchester City,2023,SetPiece,10,1,1.2,1,0,0.0,8.7,10.0
88,Nottingham Forest,2023,SetPiece,12,1,1.3,9,3,1.7,9.4,12.0
74,Chelsea,2023,SetPiece,5,0,0.5,7,0,1.3,9.9,inf
83,Tottenham,2023,SetPiece,11,1,1.1,6,0,1.1,10.3,11.0
3,Aston Villa,2023,SetPiece,10,2,0.8,6,1,1.2,12.8,5.0
63,Burnley,2023,SetPiece,6,0,0.3,11,1,1.5,19.8,inf
