Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Pascal Gross,17.3,15.6,M,BHA,LIV,100,88,0
James Maddison,17.2,11.1,M,TOT,@LUT,100,86,1
Bruno Fernandes,16.9,10.9,M,MUN,BRF,100,90,1
Son Heung-Min,15.6,8.7,F,TOT,@LUT,100,84,1
Kieran Trippier,15.3,14.2,D,NEW,@WHU,100,88,1
Mohamed Salah,14.1,8.0,F,LIV,@BHA,100,86,1
Callum Wilson,14.0,9.0,F,NEW,@WHU,97,76,0
Raheem Sterling,13.8,9.5,F,CHE,@BUR,99,81,1
Solly March,13.5,9.8,M,BHA,LIV,100,82,1
Moussa Diaby,13.4,9.9,F,AVL,@WOL,97,80,1
Manor Solomon,13.3,9.5,F,TOT,@LUT,62,74,0
Dejan Kulusevski,13.2,8.9,M,TOT,@LUT,100,84,1
Willian,12.9,8.9,F,FUL,SHU,54,78,1
Darwin Nunez,12.7,7.8,F,LIV,@BHA,100,75,1
Ollie Watkins,12.7,7.8,F,AVL,@WOL,100,85,1
Joao Pedro,12.5,7.6,F,BHA,LIV,95,75,1
Nicolas Jackson,12.5,7.3,F,CHE,@BUR,94,86,0
Cole Palmer,12.4,9.1,M,CHE,@BUR,46,90,0
Marcus Rashford,12.3,6.8,F,MUN,BRF,100,86,1
Abdoulaye Doucoure,12.1,9.6,M,EVE,BOU,91,87,1
Richarlison,12.1,6.0,F,TOT,@LUT,86,76,1
Pedro Neto,12.0,9.5,F,WOL,AVL,96,83,1
Oliver McBurnie,11.9,9.4,F,SHU,@FUL,21,89,1
Leon Bailey,11.6,5.8,F,AVL,@WOL,56,62,0
Timothy Castagne,11.5,9.2,D,FUL,SHU,42,89,1
Jhon Duran,11.5,7.4,F,AVL,@WOL,5,75,0
Jacob Murphy,11.5,7.0,M,NEW,@WHU,5,70,1
Andreas Pereira,11.5,6.7,M,FUL,SHU,89,78,1
Morgan Gibbs-White,11.4,8.1,M,NOT,@CRY,99,89,1
Joachim Andersen,11.2,9.8,D,CRY,NOT,92,89,1
Alex Iwobi,11.2,8.1,M,FUL,SHU,62,86,1
Diogo Dalot,11.1,9.3,D,MUN,BRF,84,90,1
Luis Diaz,11.1,7.7,F,LIV,@BHA,100,72,1
Bryan Mbeumo,11.1,7.7,F,BRF,@MUN,100,85,1
Pedro Porro,11.1,7.6,D,TOT,@LUT,99,88,1
Mathias Jensen,11.0,10.0,M,BRF,@MUN,97,75,1
Lucas Digne,11.0,10.0,D,AVL,@WOL,90,78,1
Ben Davies,11.0,8.5,D,TOT,@LUT,8,87,0
Dominik Szoboszlai,11.0,7.5,M,LIV,@BHA,100,90,1
Harrison Reed,10.9,9.4,M,FUL,SHU,8,81,1
Callum Hudson-Odoi,10.9,9.0,F,NOT,@CRY,43,68,1
Elliot Anderson,10.9,8.7,M,NEW,@WHU,28,79,1
Mykhailo Mudryk,10.9,8.1,M,CHE,@BUR,79,64,1
Noni Madueke,10.9,7.6,F,CHE,@BUR,28,69,0
Joelinton,10.8,8.6,M,NEW,@WHU,82,82,0
Kenny Tete,10.7,8.2,D,FUL,SHU,68,87,0
Dominic Calvert-Lewin,10.7,7.2,F,EVE,BOU,72,62,1
Ross Barkley,10.6,9.3,M,LUT,TOT,7,73,0
Alfie Doughty,10.5,9.1,M,LUT,TOT,42,75,1
James Garner,10.5,8.5,M,EVE,BOU,37,86,1
Nicolo Zaniolo,10.4,7.9,M,AVL,@WOL,38,62,0
Iyenoma Destiny Udogie,10.4,7.6,D,TOT,@LUT,98,84,1
Carlos Vinicius,10.4,6.1,F,FUL,SHU,9,85,0
Erling Haaland,10.4,5.2,F,MCI,@ARS,100,84,1
Felipe,10.3,11.1,D,NOT,@CRY,18,85,0
Gustavo Hamer,10.3,9.2,M,SHU,@FUL,55,84,1
Hamed Traore,10.3,8.5,M,BOU,@EVE,25,76,0
Mohammed Kudus,10.3,8.1,M,WHU,NEW,67,75,0
Julian Alvarez,10.3,7.0,F,MCI,@ARS,100,87,1
Brennan Johnson,10.3,6.8,F,TOT,@LUT,72,72,0
James Tarkowski,10.2,9.1,D,EVE,BOU,93,89,1
Jeremy Doku,10.2,8.2,F,MCI,@ARS,82,75,0
Marcus Tavernier,10.2,8.1,M,BOU,@EVE,54,78,0
Yoane Wissa,10.2,7.8,F,BRF,@MUN,93,80,1
Fabio Silva,10.2,7.7,F,WOL,AVL,4,68,0
Enzo Fernandez,10.2,7.3,M,CHE,@BUR,96,87,1
Carlton Morris,10.2,7.0,F,LUT,TOT,95,86,1
Beto,10.2,6.2,F,EVE,BOU,41,73,0
Michael Keane,10.1,9.3,D,EVE,BOU,20,88,0
Hannibal Mejbri,10.1,7.8,M,MUN,BRF,11,90,0
James Ward-Prowse,10.1,7.6,M,WHU,NEW,85,89,1
Sasa Kalajdzic,10.0,8.3,F,WOL,AVL,2,45,0
Simon Adingra,10.0,7.8,F,BHA,LIV,36,85,0
Dango Ouattara,10.0,7.7,F,BOU,@EVE,27,73,1
Harry Wilson,10.0,7.0,M,FUL,SHU,48,79,0
Kaoru Mitoma,10.0,6.8,M,BHA,LIV,100,88,1
Douglas Luiz,10.0,6.8,M,AVL,@WOL,97,84,1
Arnaut Danjuma Groeneveld,10.0,6.3,F,EVE,BOU,36,70,0
Pablo Sarabia,9.9,7.8,M,WOL,AVL,11,66,0
Jack Harrison,9.9,6.9,M,EVE,BOU,30,75,1
