"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05ocl*","Ollie Watkins","AVL","F","3","4b. DcbB","BHA 1<br/>@AVL 6 F","59.5","59.5","100%","19.8","100%","+0.2%","1","90","3","5","2","4","0","0","0","0","0","0","1","2","0","1","0","0","0","1","0"
"*06c6a*","Alfie Doughty","LUT","M","47","Vroom","LUT 2@EVE 1 BUR 2@LUT 1","40","20","48%","142.26","42%","+23.7%","2","172","0","13","1","0","1","0","0","0","2","2","4","1","0","4","0","0","0","3","0"
"*05r9b*","Martin Odegaard","ARS","M","18","avitek","ARS 4<br/>@BOU 0 F","34","34","100%","8.53","100%","0%","1","90","1","3","2","1","0","2","0","0","2","0","0","1","0","0","0","1","0","0","1"
"*05os8*","Joachim Andersen","CRY","D","9","deceptiv","CRY 1<br/>@MUN 0 F","29.5","29.5","47%","142.48","92%","-0.6%","1","90","1","1","0","1","1","0","0","0","1","1","10","1","1","2","0","0","0","0","1"
"*03dx3*","Kieran Trippier","NEW","D","5","deceptiv","BUR 0<br/>@NEW 2 F","29","29","100%","11.57","100%","0%","1","90","0","5","1","0","3","0","0","0","2","0","0","0","0","1","0","0","0","0","1"
"*04e1e*","Ben White","ARS","D","28","Vroom","ARS 4<br/>@BOU 0 F","27.5","27.5","98%","87.2","98%","+1.6%","1","90","1","0","0","1","4","1","0","0","0","2","4","0","1","2","0","0","0","0","1"
"*05opk*","Vladimir Coufal","WHU","D","33","deceptiv","SHU 0<br/>@WHU 2 F","27.5","27.5","15%","266.74","74%","+32.5%","1","90","0","4","1","0","2","1","0","0","2","1","0","1","1","0","0","0","0","0","1"
"*0414p*","Carlton Morris","LUT","F","25","dsb_ff","LUT 2@EVE 1 BUR 2@LUT 1","25","12.5","85%","112.29","95%","+10.6%","2","167","1","2","0","1","0","3","0","0","0","0","5","3","0","17","0","0","0","3","0"
"*02oq8*","James Ward-Prowse","WHU","M","13","Pancake","SHU 0<br/>@WHU 2 F","23.5","23.5","2%","292.28","85%","+0.3%","1","90","0","6","0","2","2","0","0","0","2","1","1","0","1","1","0","0","0","0","1"
"*062p5*","Levi Colwill","CHE","D","51","Maddihat","CHE 2<br/>@FUL 0 F","22.75","22.75","82%","119.31","89%","+0.3%","1","90","0","1","1","0","2","0","0","0","0","1","3","0","1","3","0","0","0","0","1"
"*05n07*","Pedro Porro","TOT","D","52","dsb_ff","LIV 1<br/>@TOT 2 F","22.25","22.25","100%","52.17","99%","-0.2%","1","90","0","3","1","0","6","0","1","0","1","1","5","1","2","1","0","0","0","1","0"
"*0646f*","Alexander Isak","NEW","F","39","avitek","BUR 0<br/>@NEW 2 F","21","21","100%","19.92","100%","+0.3%","1","88","1","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"*06dq8*","Moussa Diaby","AVL","F","20","Vroom","BHA 1<br/>@AVL 6 F","21","21","98%","49.18","97%","-0.1%","1","78","0","1","2","2","0","2","0","0","0","0","0","4","0","0","0","0","0","1","0"
"*0620k*","Nayef Aguerd","WHU","D","109","W (Thu)","SHU 0<br/>@WHU 2 F","20.75","20.75","14%","266.79","32%","+8.5%","1","90","0","0","0","1","0","0","0","0","0","2","3","0","5","5","0","0","0","0","1"
"*05ylj*","Bruno Guimaraes","NEW","M","35","Kish123","BUR 0<br/>@NEW 2 F","20.5","20.5","100%","39.32","98%","+6.6%","1","90","0","5","0","0","4","2","0","0","1","2","0","2","1","1","0","0","0","0","1"
"*05tr8*","Christian Norgaard","BRF","M","58","W (Thu)","BRF 1<br/>@NOT 1 F","19","19","19%","219.73","55%","+1%","1","90","1","2","0","1","0","0","0","0","1","1","0","0","0","4","0","0","0","1","0"
"*03amm*","Reece Burke","LUT","D","176","W (Thu)","LUT 2@EVE 1 BUR 2@LUT 1","18.75","9.38","0%","1166.42","3%","+2.8%","2","113","0","1","1","1","2","0","1","0","0","3","3","1","1","8","0","0","0","3","0"
"*046c5*","Jarrod Bowen","WHU","M","11","dsb_ff","SHU 0<br/>@WHU 2 F","18.5","18.5","100%","32.52","100%","0%","1","88","1","1","0","2","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"*05gcs*","Sander Berge","BUR","M","165","W (Thu)","BUR 0@NEW 2 BUR 2@LUT 1","18.5","9.25","19%","216.77","6%","+1.1%","2","177","0","3","1","0","1","1","0","0","0","2","5","0","1","6","0","0","0","3","0"
"*062cn*","Julian Alvarez","MCI","F","6","dsb_ff","MCI 1<br/>@WOL 2 F","17.5","17.5","100%","58.11","100%","0%","1","90","1","3","0","2","0","1","1","0","0","0","0","1","0","0","0","0","0","2","0"
"*043c1*","Oleksandr Zinchenko","ARS","D","164","XXX","ARS 4<br/>@BOU 0 F","17.5","17.5","99%","76.57","95%","-0.6%","1","68","0","2","0","1","1","0","0","0","0","2","2","1","0","1","0","0","0","0","1"
"*04io4*","Richarlison","TOT","F","97","Kish123","LIV 1<br/>@TOT 2 F","17.5","17.5","98%","80.15","86%","-1.6%","1","90","0","2","1","2","0","0","0","0","0","2","1","1","0","1","0","0","0","1","0"
"*05gcp*","Tomas Soucek","WHU","M","40","dsb_ff","SHU 0<br/>@WHU 2 F","17","17","59%","136.62","85%","+5%","1","90","1","0","0","2","1","2","0","0","0","0","3","0","0","6","0","0","0","0","1"
"*06c5x*","Tom Lockyer","LUT","D","184","W (Thu)","LUT 2@EVE 1 BUR 2@LUT 1","17","8.5","38%","147.39","19%","+4.6%","2","145","1","0","0","1","1","0","0","0","0","2","8","0","1","5","0","0","0","3","0"
"*067yv*","Cody Gakpo","LIV","F","106","Pancake","LIV 1<br/>@TOT 2 F","16.5","16.5","100%","26.84","95%","-0.5%","1","45","1","1","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0"
"*06fy7*","Nicolas Dominguez","NOT","M","229","W (Thu)","BRF 1<br/>@NOT 1 F","16.5","16.5","0%","-","3%","+1.6%","1","79","1","0","0","1","4","0","0","0","0","0","3","0","0","3","0","0","0","1","0"
"*04y92*","Bukayo Saka","ARS","M","1","Adam","ARS 4<br/>@BOU 0 F","16","16","100%","4.26","100%","0%","1","75","1","0","0","2","1","1","0","0","0","0","1","1","0","1","0","0","0","0","1"
"*05nt6*","Eberechi Eze","CRY","M","12","XXX","CRY 1<br/>@MUN 0 F","16","16","100%","27.73","100%","0%","1","87","0","2","1","0","1","0","0","0","1","0","1","2","1","0","0","0","0","0","1"
"*04yo6*","Miguel Almiron","NEW","M","99","Pancake","BUR 0<br/>@NEW 2 F","16","16","100%","69.78","95%","+3.8%","1","88","1","0","0","1","1","0","0","0","0","1","2","2","0","0","0","0","0","0","1"
"*03yu2*","Abdoulaye Doucoure","EVE","M","23","XXX","LUT 2<br/>@EVE 1 F","16","16","38%","145.5","91%","+12.5%","1","59","0","3","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","2","0"
"*045c8*","Gabriel Jesus","ARS","F","133","Adam","ARS 4<br/>@BOU 0 F","15.5","15.5","100%","20.8","100%","0%","1","90","0","3","1","0","1","4","0","0","0","1","0","3","0","1","0","0","0","0","1"
"*06fup*","Jeremy Doku","MCI","F","85","Kish123","MCI 1<br/>@WOL 2 F","15.5","15.5","0%","1026.6","82%","+1.4%","1","90","0","4","0","1","0","1","1","0","1","1","0","6","0","0","0","0","0","2","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","161","XXX","LUT 2<br/>@EVE 1 F","15.5","15.5","82%","115.08","72%","+21.8%","1","90","1","0","0","2","0","4","0","0","0","0","1","0","0","9","0","0","0","2","0"
"*051k0*","John McGinn","AVL","M","93","W (Thu)","BHA 1<br/>@AVL 6 F","15.5","15.5","64%","130.58","64%","-3.3%","1","90","0","3","1","0","1","1","0","0","0","1","0","2","0","0","0","0","0","1","0"
"*02lsa*","Dan Burn","NEW","D","66","dsb_ff","BUR 0<br/>@NEW 2 F","15.25","15.25","96%","103.55","95%","+14.7%","1","90","0","0","0","0","0","0","0","0","0","0","1","0","2","7","0","0","0","0","1"
"*04mqv*","Emerson","WHU","D","124","avitek","SHU 0<br/>@WHU 2 F","15","15","11%","292.97","52%","+5%","1","90","0","1","0","0","2","0","0","0","1","2","4","1","0","0","0","0","0","0","1"
"*03v9d*","Son Heung-Min","TOT","F","10","deceptiv","LIV 1<br/>@TOT 2 F","14.5","14.5","100%","11.7","100%","0%","1","68","1","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*04ge9*","Eddie Nketiah","ARS","F","56","Pancake","ARS 4<br/>@BOU 0 F","14.5","14.5","50%","138.05","84%","+1.4%","1","68","0","0","1","0","0","0","0","0","0","1","1","4","0","3","0","1","0","0","1"
"*067yz*","Matheus Cunha","WOL","F","68","W (Thu)","MCI 1<br/>@WOL 2 F","14.5","14.5","34%","147.18","57%","-12.1%","1","85","0","2","1","0","1","2","0","0","0","0","2","3","1","1","0","0","0","1","0"
"*0329y*","Joel Ward","CRY","D","157","W (Thu)","CRY 1<br/>@MUN 0 F","14.25","14.25","2%","1108.33","10%","-2.1%","1","90","0","0","0","0","2","0","1","0","0","2","5","0","1","4","0","0","0","0","1"
"*03vlj*","Virgil van Dijk","LIV","D","89","Adam","LIV 1<br/>@TOT 2 F","14","14","100%","43.73","100%","+0.7%","1","90","0","1","1","0","0","0","1","0","0","2","8","0","6","1","0","0","0","2","0"
"*050jq*","Marc Guehi","CRY","D","102","W (Thu)","CRY 1<br/>@MUN 0 F","14","14","52%","136.6","50%","+0.8%","1","90","0","0","0","0","1","0","0","0","0","2","8","0","2","1","0","0","0","0","1"
"*05ylx*","Dejan Kulusevski","TOT","M","19","Vroom","LIV 1<br/>@TOT 2 F","13.5","13.5","100%","44.11","100%","0%","1","90","0","5","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","1","0"
"*05o4b*","Matty Cash","AVL","D","71","deceptiv","BHA 1<br/>@AVL 6 F","13.5","13.5","93%","106.8","96%","+1%","1","90","0","1","1","0","4","0","0","0","0","1","2","0","1","0","0","0","0","1","0"
"*03arh*","Kurt Zouma","WHU","D","95","XXX","SHU 0<br/>@WHU 2 F","13.5","13.5","12%","301.12","65%","+8.3%","1","90","0","1","0","0","0","0","0","0","0","1","6","0","1","2","0","0","0","0","1"
