Player,ROS Rank,+/-,Team,Pos
Erling Haaland,1,0,MCI,F
James Maddison,2,4,TOT,M
Bukayo Saka,3,0,ARS,M
Bruno Fernandes,4,-2,MUN,M
Mohamed Salah,5,-1,LIV,F
Kieran Trippier,6,-1,NEW,D
Son Heung-Min,7,1,TOT,F
Ollie Watkins,8,3,AVL,F
Pedro Neto,9,5,WOL,F
Julian Alvarez,10,-1,MCI,F
Jarrod Bowen,11,1,WHU,M
James Ward-Prowse,12,-2,WHU,M
Trent Alexander-Arnold,13,-6,LIV,D
Kaoru Mitoma,14,5,BHA,M
Phil Foden,15,-2,MCI,M
Martin Odegaard,16,-1,ARS,M
Gabriel Martinelli,17,0,ARS,M
Gabriel Jesus,18,0,ARS,F
Dominik Szoboszlai,19,2,LIV,M
Morgan Gibbs-White,20,0,NOT,M
Eberechi Eze,21,1,CRY,M
Pascal Gross,22,4,BHA,M
Bryan Mbeumo,23,2,BRF,F
Darwin Nunez,24,-1,LIV,F
Alexander Isak,25,2,NEW,F
Marcus Rashford,26,-2,MUN,F
Dejan Kulusevski,27,1,TOT,M
Dwight McNeil,28,4,EVE,M
Luis Diaz,29,0,LIV,F
Moussa Diaby,30,0,AVL,F
Jack Grealish,31,0,MCI,M
Pedro Porro,32,1,TOT,D
Pervis Estupinan,33,3,BHA,D
Raheem Sterling,34,0,CHE,F
Abdoulaye Doucoure,35,3,EVE,M
Virgil van Dijk,36,5,LIV,D
Ethan Pinnock,37,0,BRF,D
Jeremy Doku,38,11,MCI,F
Mathias Jensen,39,1,BRF,M
Reece James,40,2,CHE,D
Rodri,41,-6,MCI,M
Michael Olise,42,2,CRY,M
Kevin De Bruyne,43,3,MCI,M
Lucas Paqueta,44,-5,WHU,M
Diogo Jota,45,-2,LIV,F
Iyenoma Destiny Udogie,46,2,TOT,D
Mohammed Kudus,47,-2,WHU,M
Anthony Gordon,48,6,NEW,M
Diogo Dalot,49,1,MUN,D
Yoane Wissa,50,2,BRF,F
Joachim Andersen,51,2,CRY,D
Joao Pedro,52,-1,BHA,F
James Tarkowski,53,2,EVE,D
Callum Wilson,54,5,NEW,F
Douglas Luiz,55,6,AVL,M
Dominic Solanke,56,0,BOU,F
Cristian Romero,57,13,TOT,D
Fabian Schar,58,2,NEW,D
Rasmus Hojlund,59,-1,MUN,F
Nicolas Jackson,60,-3,CHE,F
Richarlison,61,6,TOT,F
