Player,ROS Rank,+/-,Team,Pos
Erling Haaland,1,0,MCI,F
Bruno Fernandes,2,0,MUN,M
Mohamed Salah,3,0,LIV,F
Bukayo Saka,4,0,ARS,M
James Maddison,5,0,TOT,M
Kieran Trippier,6,1,NEW,D
Phil Foden,7,2,MCI,M
Trent Alexander-Arnold,8,0,LIV,D
Julian Alvarez,9,4,MCI,F
James Ward-Prowse,10,7,WHU,M
Jarrod Bowen,11,5,WHU,M
Son Heung-Min,12,-1,TOT,F
Martin Odegaard,13,2,ARS,M
Kaoru Mitoma,14,-4,BHA,M
Ollie Watkins,15,6,AVL,F
Solly March,16,-4,BHA,M
Gabriel Jesus,17,-3,ARS,F
Gabriel Martinelli,18,0,ARS,M
Pedro Neto,19,1,WOL,F
Eberechi Eze,20,-14,CRY,M
Morgan Gibbs-White,21,-2,NOT,M
Marcus Rashford,22,0,MUN,F
Pascal Gross,23,3,BHA,M
Darwin Nunez,24,-1,LIV,F
Bryan Mbeumo,25,0,BRF,F
Jack Grealish,26,-2,MCI,M
Dejan Kulusevski,27,1,TOT,M
Dominik Szoboszlai,28,-1,LIV,M
Moussa Diaby,29,2,AVL,F
Alexander Isak,30,-1,NEW,F
Luis Diaz,31,-1,LIV,F
Dwight McNeil,32,0,EVE,M
Pervis Estupinan,33,0,BHA,D
Pedro Porro,34,4,TOT,D
Rodri,35,1,MCI,M
Raheem Sterling,36,-2,CHE,F
Ethan Pinnock,37,3,BRF,D
Lucas Paqueta,38,-1,WHU,M
Reece James,39,3,CHE,D
Virgil van Dijk,40,4,LIV,D
Abdoulaye Doucoure,41,5,EVE,M
Iyenoma Destiny Udogie,42,1,TOT,D
Andrew Robertson,43,5,LIV,D
Mohammed Kudus,44,-5,WHU,M
Diogo Jota,45,-4,LIV,F
Mathias Jensen,46,8,BRF,M
Kevin De Bruyne,47,2,MCI,M
Michael Olise,48,-3,CRY,M
Jeremy Doku,49,8,MCI,F
Ben Chilwell,50,-15,CHE,D
Joao Pedro,51,0,BHA,F
Fabian Schar,52,-5,NEW,D
Diogo Dalot,53,-3,MUN,D
Yoane Wissa,54,-1,BRF,F
Nicolas Jackson,55,-3,CHE,F
Dominic Solanke,56,5,BOU,F
Taiwo Awoniyi,57,3,NOT,F
Joachim Andersen,58,13,CRY,D
Callum Wilson,59,-4,NEW,F
James Tarkowski,60,2,EVE,D
Anthony Gordon,61,2,NEW,M
Mason Mount,62,2,MUN,M
Richarlison,63,17,TOT,F
Miguel Almiron,64,5,NEW,M
Ivan Toney,65,7,BRF,F
Evan Ferguson,66,-10,BHA,F
Matty Cash,67,12,AVL,D
Douglas Luiz,68,7,AVL,M
Cody Gakpo,69,-10,LIV,F
Rasmus Hojlund,70,-12,MUN,F
Dominic Calvert-Lewin,71,2,EVE,F
Casemiro,72,-7,MUN,M
Willian,73,5,FUL,F
Declan Rice,74,-8,ARS,M
Andreas Pereira,75,-8,FUL,M
Gustavo Hamer,76,5,SHU,M
Manor Solomon,77,-7,TOT,F
Cristian Romero,78,6,TOT,D
Yves Bissouma,79,-11,TOT,M
Carlton Morris,80,5,LUT,F
Marcus Tavernier,81,1,BOU,M
Antony,82,118,MUN,F
Jacob Ramsey,83,9,AVL,M
Tomas Soucek,84,20,WHU,M
Luke Shaw,85,2,MUN,D
Alfie Doughty,86,10,LUT,M
Cole Palmer,87,15,CHE,M
Dan Burn,88,5,NEW,D
Leandro Trossard,89,2,ARS,M
Harvey Barnes,90,-16,NEW,M
Bernardo Silva,91,-1,MCI,M
Bruno Guimaraes,92,22,NEW,M
Alex Moreno,93,-16,AVL,D
Mykhailo Mudryk,94,15,CHE,M
Thiago Silva,95,0,CHE,D
Brennan Johnson,96,-7,TOT,F
Christopher Nkunku,97,1,CHE,F
Jack Harrison,98,1,EVE,M
Bernd Leno,99,-13,FUL,G
Christian Norgaard,100,23,BRF,M
James Garner,101,40,EVE,M
Odsonne Edouard,102,-5,CRY,F
Willy Boly,103,8,NOT,D
Alex Iwobi,104,-3,FUL,M
Arnaut Danjuma Groeneveld,105,-22,EVE,F
Alexis Mac Allister,106,-30,LIV,M
