Player,ROS Rank,+/-,Team,Pos,gw
Erling Haaland,1,0.0,MCI,F,11
James Maddison,2,0.0,TOT,M,11
Bukayo Saka,3,0.0,ARS,M,11
Bruno Fernandes,4,0.0,MUN,M,11
Mohamed Salah,5,0.0,LIV,F,11
Kieran Trippier,6,0.0,NEW,D,11
Son Heung-Min,7,0.0,TOT,F,11
Ollie Watkins,8,0.0,AVL,F,11
Julian Alvarez,9,1.0,MCI,F,11
Jarrod Bowen,10,1.0,WHU,M,11
James Ward-Prowse,11,1.0,WHU,M,11
Kaoru Mitoma,12,2.0,BHA,M,11
Phil Foden,13,2.0,MCI,M,11
Dominik Szoboszlai,14,5.0,LIV,M,11
Bryan Mbeumo,15,8.0,BRF,F,11
Trent Alexander-Arnold,16,-3.0,LIV,D,11
Martin Odegaard,17,-1.0,ARS,M,11
Gabriel Martinelli,18,-1.0,ARS,M,11
Eberechi Eze,19,2.0,CRY,M,11
Morgan Gibbs-White,20,0.0,NOT,M,11
Darwin Nunez,21,3.0,LIV,F,11
Pascal Gross,22,0.0,BHA,M,11
Moussa Diaby,23,7.0,AVL,F,11
Dwight McNeil,24,4.0,EVE,M,11
Dejan Kulusevski,25,2.0,TOT,M,11
Marcus Rashford,26,0.0,MUN,F,11
Jack Grealish,27,4.0,MCI,M,11
Luis Diaz,28,1.0,LIV,F,11
Virgil van Dijk,29,7.0,LIV,D,11
Pervis Estupinan,30,3.0,BHA,D,11
Pedro Porro,31,1.0,TOT,D,11
Raheem Sterling,32,2.0,CHE,F,11
Pedro Neto,33,-24.0,WOL,F,11
Abdoulaye Doucoure,34,1.0,EVE,M,11
Alexander Isak,35,-10.0,NEW,F,11
Rodri,36,5.0,MCI,M,11
Ethan Pinnock,37,0.0,BRF,D,11
Jeremy Doku,38,0.0,MCI,F,11
Michael Olise,39,3.0,CRY,M,11
Gabriel Jesus,40,-22.0,ARS,F,11
Reece James,41,-1.0,CHE,D,11
Diogo Jota,42,3.0,LIV,F,11
Kevin De Bruyne,43,0.0,MCI,M,11
Mathias Jensen,44,-5.0,BRF,M,11
Callum Wilson,45,9.0,NEW,F,11
Mohammed Kudus,46,1.0,WHU,M,11
Iyenoma Destiny Udogie,47,-1.0,TOT,D,11
Yoane Wissa,48,2.0,BRF,F,11
Lucas Paqueta,49,-5.0,WHU,M,11
Anthony Gordon,50,-2.0,NEW,M,11
Diogo Dalot,51,-2.0,MUN,D,11
Douglas Luiz,52,3.0,AVL,M,11
Joao Pedro,53,-1.0,BHA,F,11
Joachim Andersen,54,-3.0,CRY,D,11
James Tarkowski,55,-2.0,EVE,D,11
Ivan Toney,56,6.0,BRF,F,11
Cristian Romero,57,0.0,TOT,D,11
Fabian Schar,58,0.0,NEW,D,11
Rasmus Hojlund,59,0.0,MUN,F,11
Dominic Solanke,60,-4.0,BOU,F,11
Dominic Calvert-Lewin,61,3.0,EVE,F,11
Taiwo Awoniyi,62,8.0,NOT,F,11
Cole Palmer,63,22.0,CHE,M,11
Richarlison,64,-3.0,TOT,F,11
Evan Ferguson,65,1.0,BHA,F,11
Declan Rice,66,9.0,ARS,M,11
Nicolas Jackson,67,-7.0,CHE,F,11
Christopher Nkunku,68,15.0,CHE,F,11
Simon Adingra,69,0.0,BHA,F,11
Jack Harrison,70,-3.0,EVE,M,11
Tomas Soucek,71,-6.0,WHU,M,11
Willian,72,1.0,FUL,F,11
Konstantinos Tsimikas,73,-2.0,LIV,D,11
Cody Gakpo,74,-6.0,LIV,F,11
Luke Shaw,75,4.0,MUN,D,11
Willy Boly,76,1.0,NOT,D,11
Miguel Almiron,77,-1.0,NEW,M,11
Alfie Doughty,78,-4.0,LUT,M,11
Joelinton,79,19.0,NEW,M,11
Matty Cash,80,-8.0,AVL,D,11
Marcus Tavernier,81,-3.0,BOU,M,11
Ben White,82,10.0,ARS,D,11
Matheus Cunha,83,34.0,WOL,F,11
Carlton Morris,84,0.0,LUT,F,11
Antony,85,-4.0,MUN,F,11
Odsonne Edouard,86,10.0,CRY,F,11
Yves Bissouma,87,-1.0,TOT,M,11
Vladimir Coufal,88,-1.0,WHU,D,11
Bruno Guimaraes,89,10.0,NEW,M,11
