Consensus Rank,ROS Rank,+/-,Team,Pos
1: Bruno Fernandes,1,0,MUN,M
2: Erling Haaland,2,0,MCI,F
3: Mohamed Salah,3,2,LIV,F
4: Bukayo Saka,4,-1,ARS,M
5: James Maddison,5,-1,TOT,M
6: Kieran Trippier,6,9,NEW,D
7: Son Heung-Min,7,5,TOT,F
8: Trent Alexander-Arnold,8,-2,LIV,D
9: Julian Alvarez,9,8,MCI,F
10: Gabriel Jesus,10,-3,ARS,F
11: Martin Odegaard,11,2,ARS,M
12: Kaoru Mitoma,12,-3,BHA,M
13: Phil Foden,13,-3,MCI,M
14: James Ward-Prowse,14,7,WHU,M
15: Pedro Neto,15,15,WOL,F
16: Solly March,16,-5,BHA,M
17: Gabriel Martinelli,17,-1,ARS,M
18: Jarrod Bowen,18,2,WHU,M
19: Ollie Watkins,19,5,AVL,F
20: Dominik Szoboszlai,20,3,LIV,M
21: Morgan Gibbs-White,21,-3,NOT,M
22: Dejan Kulusevski,22,13,TOT,M
23: Darwin Nunez,23,5,LIV,F
24: Marcus Rashford,24,-10,MUN,F
25: Pascal Gross,25,1,BHA,M
26: Alexander Isak,26,1,NEW,F
27: Jack Grealish,27,-8,MCI,M
28: Eberechi Eze,28,-20,CRY,M
29: Moussa Diaby,29,4,AVL,F
30: Luis Diaz,30,-8,LIV,F
31: Bryan Mbeumo,31,-6,BRF,F
32: Dwight McNeil,32,-3,EVE,M
33: Raheem Sterling,33,3,CHE,F
34: Jeremy Doku,34,29,MCI,F
35: Pedro Porro,35,10,TOT,D
36: Lucas Paqueta,36,-2,WHU,M
37: Mohammed Kudus,37,1,WHU,M
38: Pervis Estupinan,38,-6,BHA,D
39: Ethan Pinnock,39,4,BRF,D
40: Abdoulaye Doucoure,40,10,EVE,M
41: Mathias Jensen,41,12,BRF,M
42: Andrew Robertson,42,12,LIV,D
43: Rodri,43,-2,MCI,M
44: Iyenoma Destiny Udogie,44,0,TOT,D
45: Michael Olise,45,-6,CRY,M
46: Rasmus Hojlund,46,-6,MUN,F
47: Virgil van Dijk,47,5,LIV,D
48: Diogo Jota,48,-6,LIV,F
49: Reece James,49,-3,CHE,D
50: James Tarkowski,50,9,EVE,D
51: Anthony Gordon,51,18,NEW,M
52: Nicolas Jackson,52,-15,CHE,F
53: Joao Pedro,53,-6,BHA,F
54: Joachim Andersen,54,19,CRY,D
55: Jack Harrison,55,42,EVE,M
56: Alfie Doughty,56,,LUT,M
57: Richarlison,57,37,TOT,F
58: Diogo Dalot,58,4,MUN,D
59: Cristian Romero,59,27,TOT,D
60: Marcus Tavernier,60,30,BOU,M
61: Callum Wilson,61,-1,NEW,F
62: Dominic Solanke,62,-6,BOU,F
63: Willian,63,21,FUL,F
64: Kevin De Bruyne,64,-13,MCI,M
65: Cody Gakpo,65,-17,LIV,F
66: Miguel Almiron,66,-2,NEW,M
67: Matty Cash,67,9,AVL,D
68: Declan Rice,68,-7,ARS,M
69: Cole Palmer,69,34,CHE,M
70: Evan Ferguson,70,-21,BHA,F
71: Yoane Wissa,71,-6,BRF,F
72: Ivan Toney,72,7,BRF,F
73: Dominic Calvert-Lewin,73,39,EVE,F
74: Casemiro,74,-19,MUN,M
75: Antony,75,,MUN,F
76: Mason Mount,76,-1,MUN,M
77: Tomas Soucek,77,62,WHU,M
78: Willy Boly,78,42,NOT,D
79: Fabian Schar,79,-9,NEW,D
80: Andreas Pereira,80,-22,FUL,M
81: Douglas Luiz,81,11,AVL,M
82: Joelinton,82,-14,NEW,M
83: Ben White,83,,ARS,D
84: Simon Adingra,84,,BHA,F
85: Taiwo Awoniyi,85,-11,NOT,F
86: Carlton Morris,86,2,LUT,F
87: Yves Bissouma,87,-21,TOT,M
88: Bernardo Silva,88,8,MCI,M
89: Dan Burn,89,45,NEW,D
90: Luke Shaw,90,25,MUN,D
91: Odsonne Edouard,91,0,CRY,F
92: Vladimir Coufal,92,,WHU,D
93: Christopher Nkunku,93,7,CHE,F
94: Brennan Johnson,94,-9,TOT,F
95: Mykhailo Mudryk,95,31,CHE,M
96: James Garner,96,,EVE,M
97: Alex Moreno,97,-25,AVL,D
98: Ansu Fati,98,10,BHA,F
99: Gustavo Hamer,99,3,SHU,M
100: Conor Gallagher,100,18,CHE,M
101: Leandro Trossard,101,8,ARS,M
102: Lucas Digne,102,26,AVL,D
103: Kai Havertz,103,-20,ARS,F
104: Lyle Foster,104,26,BUR,F
105: Alex Iwobi,105,-27,FUL,M
106: Bruno Guimaraes,106,15,NEW,M
107: Ben Chilwell,107,-76,CHE,D
108: Enzo Fernandez,108,-37,CHE,M
109: Aaron Wan-Bissaka,109,-52,MUN,D
110: Jordan Ayew,110,-4,CRY,F
111: Kurt Zouma,111,12,WHU,D
112: Gabriel Magalhaes,112,28,ARS,D
113: Christian Norgaard,113,14,BRF,M
114: Matheus Franca,114,,CRY,F
115: Luis Sinisterra,115,-8,BOU,F
116: John McGinn,116,16,AVL,M
117: Callum Hudson-Odoi,117,8,NOT,F
118: Ibrahima Konate,118,-1,LIV,D
119: Alexis Mac Allister,119,-38,LIV,M
120: Thiago Silva,120,-38,CHE,D
121: Sven Botman,121,,NEW,D
122: Philip Billing,122,-6,BOU,M
123: Beto,123,-46,EVE,F
124: Matheus Cunha,124,-5,WOL,F
125: Levi Colwill,125,-3,CHE,D
126: Ryan Christie,126,,BOU,M
127: Ben Mee,127,-28,BRF,D
128: Jean-Ricner Bellegarde,128,22,WOL,M
129: Said Benrahma,129,-49,WHU,M
130: William Saliba,130,16,ARS,D
131: Hwang Hee-Chan,131,,WOL,F
132: Josh Brownhill,132,,BUR,M
133: Oliver McBurnie,133,-38,SHU,F
134: Michail Antonio,134,-21,WHU,F
135: Kyle Walker,135,,MCI,D
136: Dango Ouattara,136,,BOU,F
137: Pape Sarr,137,,TOT,M
138: Bernd Leno,138,-1,FUL,G
139: Oleksandr Zinchenko,139,-6,ARS,D
140: Emerson,140,,WHU,D
141: Jose Sa,141,4,WOL,G
142: Christian Eriksen,142,-41,MUN,M
143: Ryan Gravenberch,143,,LIV,M
144: Micky van de Ven,144,,TOT,D
145: Alisson,145,-10,LIV,G
146: Guglielmo Vicario,146,,TOT,G
147: Sergio Reguilon,147,,MUN,D
148: Konstantinos Tsimikas,148,,LIV,D
149: Jacob Ramsey,149,-35,AVL,M
150: Elliot Anderson,150,,NEW,M
