,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
46,FUL,DM,4,3.62,0.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.0,0.25,0.25,0.5,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.88,-0.25,0.0,1,9.38
53,FUL,RW,4,3.56,0.06,0.5,0.0,0.31,0.69,0.69,0.0,0.0,0.25,0.12,0.25,0.44,0.0,0.19,0.0,0.0,0.0,0.94,0.19,0.06,0.5,0.12,0.0,3.22,-0.34,0.44,1,9.96
52,FUL,RM,5,3.54,0.0,1.08,0.08,0.0,0.58,0.83,0.25,0.0,0.17,0.25,0.42,0.0,0.33,0.42,0.0,0.0,0.0,1.0,0.25,0.08,1.42,0.0,0.0,3.71,-0.92,0.58,1,12.7
43,FUL,AM,2,3.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.5,0.0,0.0,1,14.0
14,BRF,LB,5,3.48,0.0,0.8,0.1,0.0,0.6,0.8,0.3,0.0,0.4,0.5,0.7,0.8,0.3,0.6,0.0,0.0,0.0,0.9,0.2,0.1,1.7,0.2,0.0,3.08,-2.8,0.5,1,10.21
47,FUL,FW,4,3.35,0.06,0.59,0.0,0.41,0.29,1.41,0.06,0.0,0.0,0.06,0.47,0.47,0.12,1.41,0.0,0.0,0.0,0.88,0.12,0.06,0.59,0.65,0.0,3.65,-0.82,0.47,1,10.95
7,BOU,LW,6,3.29,0.0,0.47,0.06,0.29,0.53,1.06,0.06,0.0,0.06,0.35,0.47,0.94,0.0,0.35,0.0,0.0,0.0,1.12,0.06,0.06,1.35,0.35,0.0,3.59,-0.65,0.59,1,9.33
56,NOT,CM,6,3.24,0.0,0.35,0.0,0.06,0.71,0.53,0.24,0.0,0.0,1.35,1.0,0.29,0.29,0.65,0.0,0.0,0.0,1.12,0.18,0.0,1.94,0.06,0.0,3.79,-0.74,0.24,1,9.73
74,WOL,RB,1,3.21,0.0,0.33,0.0,0.0,1.67,0.67,0.5,0.0,0.67,1.33,2.83,1.67,0.5,0.33,0.0,0.0,0.0,2.0,0.17,0.0,3.33,0.0,0.0,3.54,-5.33,0.33,1,9.81
68,WOL,CM,4,2.92,0.0,0.3,0.0,0.1,1.45,0.9,0.35,0.05,0.2,0.95,1.0,0.5,0.15,0.55,0.0,0.0,0.0,1.2,0.1,0.0,2.9,0.0,0.0,4.32,-1.5,0.4,1,9.5
57,NOT,DM,4,2.9,0.0,0.2,0.0,0.0,1.0,0.2,0.2,0.0,0.0,1.0,0.8,0.2,0.4,0.8,0.0,0.0,0.0,0.4,0.0,0.0,2.2,0.2,0.0,3.4,-0.5,1.0,1,10.0
44,FUL,CB,4,2.85,0.05,0.0,0.0,0.1,0.76,0.38,0.14,0.1,0.0,0.76,3.57,0.19,0.43,1.33,0.0,0.0,0.0,1.38,0.29,0.05,1.67,0.0,0.0,1.8,-3.9,0.48,1,9.71
65,NOT,WB,6,2.84,0.0,0.25,0.0,0.25,0.88,0.38,0.5,0.0,0.0,0.38,1.62,0.5,0.12,0.75,0.0,0.0,0.0,0.75,0.25,0.0,2.5,0.25,0.0,2.53,-2.69,0.0,1,22.94
1,BOU,CB,4,2.34,0.0,0.26,0.04,0.04,0.74,0.09,0.22,0.0,0.0,0.78,3.09,0.52,0.96,1.17,0.0,0.0,0.0,1.78,0.09,0.04,1.39,0.0,0.0,1.99,-4.04,0.52,1,9.13
62,NOT,RB,3,2.28,0.0,0.38,0.0,0.12,1.0,0.38,0.25,0.0,0.25,0.75,1.38,0.25,0.12,0.75,0.0,0.0,0.0,0.75,0.0,0.0,1.62,0.12,0.0,2.97,-2.19,0.5,1,6.71
17,BRF,MF,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1,
9,BOU,RM,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,5.0
40,EVE,RB,2,1.88,0.0,0.5,0.08,0.0,1.25,0.33,0.33,0.08,0.33,0.67,0.83,0.33,0.33,0.42,0.0,0.0,0.0,1.17,0.08,0.08,2.25,0.0,0.0,2.21,-3.75,0.58,1,8.93
71,WOL,LB,4,1.54,0.0,0.31,0.0,0.0,0.85,0.77,0.15,0.0,0.23,0.38,1.23,0.62,0.38,0.62,0.0,0.0,0.08,0.92,0.08,0.0,1.15,0.0,0.0,2.15,-2.92,0.31,1,4.61
2,BOU,CM,1,1.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,-0.5,0.0,1,4.5
35,EVE,DM,2,1.17,0.0,0.0,0.0,0.0,0.67,1.0,0.33,0.0,0.0,0.33,0.33,0.67,0.33,0.33,0.0,0.0,0.0,1.0,0.0,0.0,1.67,0.0,0.0,2.33,-1.17,0.67,1,5.62
5,BOU,LB,3,0.82,0.0,0.18,0.0,0.0,0.91,0.64,0.09,0.0,0.55,0.73,2.0,0.64,0.18,1.0,0.0,0.0,0.09,1.82,0.09,0.0,1.64,0.0,0.0,1.23,-4.59,0.64,1,1.88
8,BOU,RB,3,0.64,0.0,0.45,0.0,0.0,1.0,0.73,0.09,0.0,0.45,0.27,1.09,0.55,0.55,0.27,0.0,0.0,0.0,1.82,0.09,0.0,1.27,0.18,0.0,0.64,-4.18,0.55,1,3.07
66,WOL,AM,1,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,4.0,0.0,0.0,3.75,-3.75,0.5,1,
21,BRF,WB,4,0.0,0.0,0.5,0.0,0.25,0.75,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.25,0.0,1.25,-3.25,0.25,1,-1.58
39,EVE,LW,2,-0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.25,-0.5,1.0,1,
