,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (sum),gp (max)
15,vsBUR,FW,13,10.85,0.54,0.92,0.15,0.92,0.08,0.46,0.0,0.0,0.08,0.08,0.69,0.46,0.15,1.54,0.0,0.0,0.0,0.54,3,0.69,0.54,0.46,0.08,5.08,-0.23,5,1
16,vsBUR,LW,8,13.38,0.25,1.5,0.62,0.62,0.88,0.62,0.12,0.0,0.12,0.25,0.38,1.38,0.0,0.88,0.0,0.25,0.0,0.5,2,0.5,0.88,0.0,0.0,7.25,-0.56,3,1
17,vsBUR,RW,7,10.29,0.43,1.14,0.14,0.86,0.43,1.43,0.14,0.0,0.14,0.71,0.71,0.86,0.0,0.29,0.0,0.0,0.0,0.43,2,0.57,0.71,0.29,0.14,5.29,-1.0,3,1
18,vsCHE,FW,14,4.61,0.14,0.57,0.14,0.29,0.14,0.86,0.07,0.0,0.0,0.07,0.5,0.64,0.0,0.93,0.0,0.0,0.0,0.93,3,0.29,1.14,0.29,0.0,2.46,-0.57,5,1
19,vsCHE,LW,9,5.89,0.22,0.33,0.0,0.67,0.67,1.0,0.11,0.0,0.22,0.11,0.44,1.44,0.0,0.11,0.0,0.0,0.0,0.89,2,0.22,1.0,0.56,0.0,3.78,-0.72,6,1
20,vsCHE,RW,12,3.67,0.0,0.5,0.08,0.42,0.5,0.92,0.08,0.0,0.25,0.33,0.0,0.58,0.0,0.25,0.0,0.0,0.0,0.75,2,0.08,0.75,0.25,0.0,3.0,-0.62,8,1
21,vsCRY,FW,14,4.93,0.14,0.5,0.14,0.5,0.21,1.43,0.14,0.0,0.07,0.07,0.14,0.64,0.07,0.86,0.0,0.14,0.0,0.64,3,0.14,1.43,0.36,0.0,2.79,-1.0,6,1
22,vsCRY,LW,11,3.64,0.09,0.45,0.0,0.36,0.27,0.73,0.09,0.0,0.0,0.18,0.18,0.82,0.0,0.73,0.0,0.0,0.0,0.36,3,0.09,0.64,0.18,0.0,2.73,-0.55,7,1
23,vsCRY,RW,10,4.55,0.0,1.3,0.0,0.0,0.8,0.8,0.1,0.0,0.3,0.3,0.4,0.7,0.0,0.5,0.0,0.0,0.0,0.4,3,0.0,1.4,0.0,0.0,4.35,-0.6,6,1
24,vsEVE,FW,19,5.5,0.21,0.47,0.16,0.53,0.11,1.42,0.05,0.0,0.05,0.11,0.37,0.47,0.05,1.16,0.0,0.05,0.0,0.58,4,0.26,0.74,0.47,0.0,2.66,-0.82,7,1
25,vsEVE,LW,7,7.79,0.43,0.57,0.0,0.43,0.43,0.43,0.14,0.0,0.14,0.29,0.71,1.0,0.14,0.29,0.0,0.0,0.0,0.71,2,0.43,0.86,0.43,0.0,3.64,-0.5,2,1
26,vsEVE,RW,5,11.4,0.2,1.2,0.4,0.6,0.6,2.2,0.2,0.0,1.2,0.0,1.0,2.8,0.0,0.2,0.0,0.0,0.0,1.2,3,0.6,2.2,0.0,0.0,6.8,-1.5,2,1
27,vsFUL,FW,19,7.71,0.32,0.79,0.11,0.79,0.21,1.0,0.11,0.0,0.16,0.21,0.47,0.47,0.0,1.26,0.0,0.05,0.0,0.68,4,0.37,0.95,0.58,0.05,4.24,-0.71,8,1
28,vsFUL,LW,8,7.16,0.12,0.75,0.25,0.62,0.0,0.88,0.0,0.0,0.25,0.12,0.38,1.25,0.0,0.25,0.0,0.0,0.0,0.38,2,0.38,0.5,0.12,0.0,4.16,-0.44,5,1
29,vsFUL,RW,6,12.58,0.5,1.0,0.17,1.0,0.67,1.33,0.33,0.0,0.67,0.67,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.5,3,0.5,1.67,0.17,0.33,6.92,-1.33,4,1
30,vsLIV,FW,14,3.71,0.07,0.43,0.07,0.5,0.36,1.21,0.07,0.0,0.0,0.07,0.36,0.79,0.14,0.36,0.0,0.0,0.0,1.5,1,0.14,0.79,0.5,0.0,2.64,-0.75,7,1
31,vsLIV,LW,10,9.55,0.1,1.3,0.2,0.7,0.6,0.7,0.1,0.0,0.1,0.8,0.4,2.2,0.1,0.2,0.0,0.0,0.0,1.5,1,0.3,1.3,0.4,0.0,7.35,-0.55,6,1
32,vsLIV,RW,8,10.75,0.5,1.12,0.0,1.0,0.75,0.75,0.12,0.0,0.12,0.5,0.5,1.5,0.0,0.38,0.0,0.0,0.0,1.75,0,0.5,0.88,0.12,0.0,6.25,-1.12,5,1
33,vsLUT,FW,17,6.32,0.29,0.53,0.06,0.65,0.06,1.12,0.0,0.0,0.06,0.18,0.29,0.65,0.12,0.94,0.0,0.0,0.0,0.47,6,0.29,0.71,0.29,0.0,3.32,-0.56,9,1
34,vsLUT,LW,10,5.3,0.0,1.0,0.2,0.3,0.5,0.8,0.1,0.0,0.2,0.4,0.4,0.6,0.0,0.6,0.0,0.0,0.0,0.3,3,0.1,0.5,0.2,0.0,4.0,-0.6,3,1
