,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
12,CRY,RM,3,13.88,0.25,1.75,0.25,0.75,0.75,1.0,0.0,0.0,0.5,1.0,0.75,2.25,0.25,0.75,0.0,0.0,0.0,1.5,0.5,0.25,1.0,0.25,0.0,10.12,-0.5,0.5,1.0,28.62
17,FUL,AM,2,11.57,0.0,2.57,0.0,0.57,0.57,1.71,0.0,0.0,0.0,1.14,0.57,2.86,0.43,1.43,0.0,0.0,0.0,0.57,0.43,0.0,0.0,0.0,0.0,12.0,-0.86,0.43,1.0,19.64
31,WOL,RM,5,11.39,0.11,2.04,0.26,0.51,0.43,0.85,0.21,0.0,1.15,0.53,0.91,1.77,0.11,1.17,0.0,0.0,0.0,1.36,0.11,0.36,1.49,0.21,0.0,10.39,-1.49,0.4,1.0,30.73
8,CRY,AM,4,10.97,0.15,2.61,0.0,0.45,0.45,2.27,0.0,0.0,0.7,0.42,0.24,1.73,0.15,1.48,0.0,0.0,0.0,0.7,0.42,0.15,1.12,0.0,0.0,10.32,-1.14,0.42,1.0,27.59
16,EVE,RM,2,10.77,0.15,1.52,0.42,0.42,1.36,0.42,0.15,0.0,0.3,0.33,0.58,0.85,0.15,0.45,0.0,0.0,0.0,0.88,0.27,0.58,1.3,0.18,0.0,7.11,-0.52,0.58,1.0,21.93
22,NOT,AM,2,10.62,0.0,1.5,0.5,0.25,0.75,1.0,0.25,0.0,0.25,1.0,0.0,2.0,0.5,0.75,0.0,0.0,0.0,1.5,0.25,0.25,1.0,0.0,0.0,8.38,-1.0,0.25,1.0,32.62
15,EVE,LM,4,10.45,0.1,1.83,0.1,0.96,0.62,1.29,0.0,0.0,0.73,0.42,0.38,1.48,0.21,0.6,0.0,0.0,0.0,1.12,0.29,0.21,0.54,0.46,0.0,9.34,-0.65,0.5,1.0,24.66
7,BRF,RM,3,10.0,0.3,1.24,0.24,0.55,1.3,0.85,0.3,0.0,0.15,0.7,0.85,0.24,0.15,0.55,0.0,0.0,0.0,1.09,0.45,0.55,1.67,0.18,0.0,6.39,-1.03,0.7,1.0,31.55
30,WOL,LM,3,8.71,0.0,1.34,0.31,0.31,1.12,1.84,0.12,0.16,0.78,1.94,0.69,2.75,0.16,0.56,0.0,0.0,0.0,2.0,0.0,0.31,1.78,0.59,0.0,10.6,-3.77,0.44,1.0,19.45
6,BRF,LM,2,8.09,0.0,1.39,0.24,0.3,1.06,0.09,0.15,0.0,0.55,0.61,1.06,0.7,0.0,0.76,0.0,0.0,0.0,0.79,0.3,0.24,1.48,0.15,0.0,6.68,-0.35,0.7,1.0,20.21
19,FUL,DM,4,8.06,0.17,0.54,0.0,0.5,2.67,1.29,0.25,0.0,0.0,1.29,1.08,0.79,0.42,0.67,0.0,0.0,0.0,1.29,0.12,0.17,1.92,0.0,0.0,7.58,-1.15,0.25,1.0,19.17
0,BOU,AM,2,8.03,0.0,1.48,0.2,0.32,0.94,1.26,0.0,0.0,0.4,0.9,1.7,0.62,0.3,1.2,0.0,0.0,0.0,2.0,0.1,0.2,1.1,0.0,0.0,7.36,-0.63,0.6,1.0,20.28
5,BRF,CM,3,7.92,0.11,1.09,0.11,0.32,1.47,0.49,0.21,0.0,0.22,1.01,1.47,0.21,0.22,0.99,0.0,0.06,0.0,1.07,0.36,0.17,1.82,0.06,0.0,6.56,-0.67,0.42,1.0,25.46
29,WOL,DM,2,7.5,0.0,0.67,0.33,0.0,3.0,0.67,0.33,0.0,0.0,1.33,1.0,0.33,0.0,1.0,0.0,0.0,0.0,1.67,0.0,0.0,3.0,0.0,0.0,6.5,-1.0,0.67,1.0,17.83
10,CRY,DM,3,6.77,0.0,0.8,0.0,0.24,1.44,0.86,0.27,0.0,0.0,1.5,1.82,1.0,0.53,1.62,0.0,0.0,0.0,0.92,0.38,0.0,2.08,0.0,0.0,7.37,-0.98,0.42,1.0,20.4
13,EVE,CM,4,6.61,0.04,0.88,0.0,0.34,1.54,0.56,0.02,0.0,0.12,0.83,1.11,0.65,0.04,1.63,0.0,0.0,0.0,1.47,0.15,0.04,1.46,0.08,0.0,6.42,-0.33,0.52,1.0,22.81
9,CRY,CM,3,6.1,0.0,0.6,0.0,0.2,1.8,1.6,0.0,0.0,0.0,2.0,1.0,0.6,0.2,0.2,0.0,0.0,0.0,1.2,0.6,0.0,1.2,0.0,0.0,6.3,-0.8,0.6,1.0,17.25
