,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
25,vsBUR,AM,9,11.1,0.24,1.69,0.12,0.95,0.71,1.1,0.12,0.0,0.48,0.24,0.31,1.43,0.24,0.9,0.0,0.0,0.0,0.93,0.19,0.36,1.48,0.36,0.0,8.83,-0.79,0.45,1.0,32.89
75,vsNOT,AM,7,11.07,0.43,1.29,0.14,1.43,0.57,1.14,0.29,0.0,0.14,0.29,0.57,0.86,0.0,0.43,0.0,0.0,0.0,1.14,0.0,0.57,1.71,0.14,0.14,7.5,-1.14,0.57,1.0,39.1
82,vsSHU,DM,10,10.96,0.29,1.23,0.0,1.08,1.62,1.62,0.19,0.0,0.0,0.5,0.98,0.98,0.0,2.85,0.0,0.0,0.0,0.58,0.42,0.29,1.62,0.29,0.0,9.13,-1.19,0.38,1.0,28.0
9,vsAVL,RM,4,10.94,0.56,1.0,0.0,1.11,0.44,0.28,0.56,0.0,0.28,0.56,1.61,1.11,0.0,0.83,0.0,0.0,0.0,0.56,0.44,0.56,3.33,0.28,0.0,7.31,-1.81,1.0,1.0,21.62
10,vsBHA,AM,4,10.84,0.0,1.05,0.79,1.0,0.21,2.21,0.26,0.0,0.26,0.42,0.47,2.63,0.0,0.21,0.0,0.0,0.0,2.05,0.0,0.53,1.84,0.0,0.0,7.74,-1.63,0.53,1.0,31.84
77,vsNOT,DM,5,10.8,0.4,0.6,0.2,0.6,1.4,0.8,0.2,0.0,0.2,1.0,2.6,0.2,0.6,1.6,0.0,0.0,0.0,1.2,0.2,0.6,1.4,0.2,0.0,6.6,-0.8,0.6,1.0,21.3
57,vsLUT,DM,7,10.58,0.0,1.97,0.27,0.16,1.14,0.43,0.14,0.0,0.16,1.14,1.11,0.84,0.7,1.54,0.0,0.0,0.0,0.57,0.43,0.14,1.97,0.0,0.0,9.01,-0.49,0.46,1.0,24.75
14,vsBHA,RM,6,10.54,0.18,1.61,0.36,0.36,0.54,1.07,0.18,0.0,0.36,0.89,0.75,1.43,0.0,0.36,0.0,0.18,0.0,2.07,0.0,0.36,0.89,0.0,0.0,7.68,-0.89,0.46,1.0,24.85
27,vsBUR,DM,11,10.36,0.26,0.7,0.19,0.91,1.98,1.04,0.31,0.0,0.07,1.02,1.02,0.56,0.35,0.87,0.0,0.0,0.0,0.61,0.43,0.44,2.87,0.28,0.0,7.64,-1.15,0.33,1.0,21.01
20,vsBRF,AM,6,10.26,0.0,2.28,0.34,0.52,0.48,1.66,0.17,0.0,0.48,1.0,0.69,1.21,0.17,0.86,0.0,0.0,0.0,1.66,0.0,0.34,1.55,0.0,0.0,9.36,-1.17,0.31,1.0,25.92
15,vsBOU,AM,6,10.17,0.41,1.37,0.0,0.78,0.67,1.19,0.0,0.0,0.3,0.67,0.56,0.7,0.0,0.19,0.0,0.0,0.0,0.52,0.48,0.41,0.37,0.0,0.0,6.72,-0.59,0.41,1.0,33.95
90,vsWHU,AM,4,10.14,0.0,1.95,0.48,0.29,0.81,2.29,0.0,0.0,0.71,0.0,0.0,1.71,0.0,0.48,0.0,0.24,0.0,1.71,0.0,0.48,0.52,0.24,0.0,8.43,-1.14,0.52,1.0,35.5
65,vsMUN,AM,6,10.07,0.0,2.26,0.37,0.33,0.19,0.93,0.19,0.0,0.33,0.74,0.0,1.26,0.3,0.41,0.0,0.0,0.0,0.93,0.63,0.19,0.56,0.0,0.0,8.2,-0.83,0.3,1.0,19.8
60,vsMCI,AM,2,9.75,0.5,1.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.5,1.0,0.0,0.0,6.5,-1.25,0.5,1.0,32.25
99,vsWOL,RM,6,9.52,0.17,1.69,0.17,1.03,1.14,1.17,0.31,0.0,0.34,0.69,0.62,0.86,0.0,0.17,0.0,0.0,0.0,1.14,0.17,0.17,1.97,0.17,0.0,8.66,-1.9,0.69,1.0,24.94
70,vsNEW,AM,7,9.5,0.43,1.43,0.0,0.57,0.43,1.57,0.14,0.0,0.14,0.71,0.43,0.86,0.29,0.57,0.0,0.0,0.0,2.86,0.29,0.43,2.29,0.0,0.0,6.71,-1.07,0.71,1.0,22.3
23,vsBRF,LM,5,9.22,0.22,0.57,0.22,0.43,1.3,0.87,0.0,0.0,0.57,0.57,1.52,1.09,0.0,1.3,0.0,0.0,0.0,1.13,0.22,0.43,0.43,0.0,0.0,6.17,-0.43,0.65,1.0,10.08
30,vsCHE,AM,4,9.12,0.25,1.5,0.0,0.5,0.75,2.25,0.25,0.0,0.75,1.0,0.75,1.0,0.25,0.5,0.0,0.0,0.0,0.25,0.75,0.25,1.0,0.25,0.25,8.0,-1.62,0.5,1.0,30.0
