player,ftx_position,position,deadball agg,fpts,FKs,CKs,ghost points,negative fpts,gp,passes (dead),touches (att 3rd),prog passes,crosses,crosses (penalty),home
21,D,RB,110.71428571428571,75.52380952380952,12.666666666666666,6.428571428571429,88.33333333333333,-44.142857142857146,250,86.66666666666667,149.1904761904762,39.42857142857143,24.0,3.0,4.380952380952381
3,M,WB,105.33333333333333,85.66666666666667,10.666666666666666,18.666666666666668,74.33333333333333,-4.333333333333333,27,64.66666666666667,117.66666666666667,17.666666666666668,47.333333333333336,4.0,4.0
33,D,LB,77.57575757575758,67.8030303030303,8.303030303030303,3.6363636363636362,76.60606060606061,-36.13636363636363,335,68.45454545454545,132.3030303030303,31.727272727272727,21.515151515151516,2.9393939393939394,4.121212121212121
1,F,RB,63.0,35.0,9.0,7.0,41.0,-6.0,7,39.0,69.0,10.0,16.0,1.0,2.0
29,M,DM,49.724137931034484,90.60344827586206,13.0,8.241379310344827,80.46551724137932,-11.379310344827585,337,25.75862068965517,124.96551724137932,44.44827586206897,14.344827586206897,0.9310344827586207,4.655172413793103
12,M,AM,46.25,79.04166666666667,7.5,9.666666666666666,66.20833333333333,-8.75,95,22.75,115.16666666666667,26.666666666666668,19.916666666666668,1.0,3.0833333333333335
7,D,WB,38.142857142857146,31.357142857142858,2.7142857142857144,1.1428571428571428,53.857142857142854,-36.642857142857146,56,37.57142857142857,95.28571428571429,16.857142857142858,15.714285714285714,2.4285714285714284,3.2857142857142856
6,F,LM,35.333333333333336,92.41666666666667,4.5,11.333333333333334,66.25,-8.333333333333334,59,21.166666666666668,147.83333333333334,20.833333333333332,16.833333333333332,0.5,3.5
4,F,RM,33.5,85.375,6.25,8.25,70.375,-6.75,37,19.25,184.25,22.0,28.0,2.75,4.25
15,M,RW,32.733333333333334,116.2,4.4,10.6,85.2,-10.933333333333334,154,20.6,174.13333333333333,25.0,21.8,1.7333333333333334,3.6666666666666665
38,M,CM,31.736842105263158,78.92105263157895,10.210526315789474,4.947368421052632,74.46052631578948,-11.776315789473685,446,21.526315789473685,130.3684210526316,41.526315789473685,11.736842105263158,1.105263157894737,4.578947368421052
12,M,RM,31.666666666666668,100.66666666666667,6.916666666666667,7.25,80.54166666666667,-8.291666666666666,134,22.583333333333332,170.66666666666666,37.166666666666664,19.333333333333332,1.6666666666666667,4.333333333333333
3,D,RM,28.666666666666668,40.583333333333336,3.0,0.0,55.25,-28.0,21,28.666666666666668,73.33333333333333,21.333333333333332,11.666666666666666,2.6666666666666665,3.0
16,M,LW,28.0625,98.625,4.75,8.5,77.5,-11.0625,168,17.5625,166.5,24.6875,24.1875,2.4375,4.125
2,M,RB,27.5,41.25,5.5,0.0,39.0,-3.25,12,27.5,81.5,31.0,8.0,2.0,2.5
81,D,CB,26.22222222222222,65.17283950617283,12.283950617283951,0.0,82.0246913580247,-41.0,938,26.22222222222222,38.617283950617285,30.54320987654321,2.1481481481481484,0.3333333333333333,4.432098765432099
2,M,FW,23.0,138.75,3.0,3.5,103.0,-11.75,26,12.5,173.0,29.5,15.5,1.0,5.5
17,M,LM,22.823529411764707,57.970588235294116,3.9411764705882355,5.705882352941177,49.1764705882353,-6.5588235294117645,123,13.117647058823529,94.82352941176471,20.41176470588235,9.117647058823529,0.35294117647058826,2.7058823529411766
3,D,LM,22.666666666666668,32.583333333333336,3.0,0.0,46.25,-25.666666666666668,18,22.666666666666668,37.0,10.0,4.666666666666667,1.0,1.6666666666666667
1,M,LB,17.0,25.0,6.0,0.0,31.0,-7.0,6,17.0,79.0,47.0,4.0,0.0,4.0
1,M,CB,14.0,76.0,13.0,0.0,77.0,-9.0,15,14.0,29.0,31.0,0.0,0.0,5.0
6,F,AM,12.0,109.0,0.6666666666666666,0.0,81.25,-11.75,67,12.0,173.33333333333334,20.0,17.0,1.5,4.833333333333333
44,F,FW,10.25,94.57954545454545,0.7954545454545454,1.0681818181818181,63.53409090909091,-9.727272727272727,440,8.227272727272727,114.06818181818181,12.954545454545455,4.840909090909091,0.29545454545454547,4.090909090909091
10,F,RW,7.7,128.65,0.9,0.9,90.45,-14.0,110,7.6,184.2,21.0,15.2,2.3,4.9
15,F,LW,7.6,67.13333333333334,1.0666666666666667,1.4666666666666666,49.86666666666667,-5.733333333333333,104,6.466666666666667,93.2,14.6,6.8,0.3333333333333333,2.2666666666666666
1,D,CM,6.0,5.5,1.0,0.0,14.5,-9.0,2,6.0,8.0,2.0,1.0,0.0,1.0
1,D,DM,4.0,20.5,4.0,0.0,16.0,-7.5,4,4.0,41.0,6.0,1.0,0.0,2.0
1,F,DM,0.0,10.5,0.0,0.0,13.0,-2.5,3,0.0,12.0,9.0,0.0,0.0,0.0
1,D,RW,0.0,-2.0,0.0,0.0,2.5,-4.5,1,0.0,13.0,2.0,0.0,0.0,0.0
