Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Jairo Riedewald,CRY,M,8,3.5,2.5,-46,0.0,-0.5,200,349,97,51,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0%,74
Kristoffer Ajer,BRF,D,8,3.5,3.5,-30,8.25,-4.0,200,242,59,29,1,1,0,1,0,0,2,0,0,0,0,0,6,1,0,1,0,0,0,2,0,2%,90
Dango Ouattara,BOU,F,8,3.5,3.5,-17,9.5,-0.5,136,270,58,41,1,1,0,1,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,29%,56
Edson Alvarez,WHU,M,8,3.5,3.5,-24,11.0,0.0,200,244,75,51,1,1,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,2,0,14%,90
Chris Richards,CRY,D,8,3.25,3.25,-60,3.0,0.0,200,369,89,29,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0%,14
Tom Lockyer,LUT,D,8,3.25,3.25,-16,21.75,-4.0,200,181,45,29,1,1,0,0,0,0,1,0,1,0,0,3,5,1,0,1,0,0,0,1,0,16%,80
Mario Lemina,WOL,M,8,3.0,3.0,0,5.0,-7.0,200,157,51,51,1,1,0,0,0,1,2,0,0,1,0,3,0,1,1,2,0,0,0,1,0,11%,88
Sandro Tonali,NEW,M,8,3.0,3.0,1,12.0,0.0,200,152,50,51,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,87%,90
Callum Hudson-Odoi,NOT,F,8,3.0,3.0,-8,7.0,0.0,117,198,43,35,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,38%,65
Christian Norgaard,BRF,M,8,3.0,3.0,18,29.5,-2.0,113,63,22,40,1,1,0,0,0,1,1,0,1,0,0,2,4,0,0,0,0,0,0,2,0,67%,90
Frank Onyeka,BRF,M,8,3.0,3.0,-21,6.0,0.0,200,234,72,51,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0%,19
Joao Pedro,BHA,F,8,3.0,3.0,1,21.0,-1.0,53,55,17,18,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,96%,88
Leon Bailey,AVL,F,8,3.0,3.0,7,18.0,0.0,200,126,35,42,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57%,7
Connor Roberts,BUR,D,8,3.0,3.0,-66,1.0,-4.0,200,719,95,29,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7%,28
Jan-Paul van Hecke,BHA,D,8,3.0,3.0,-32,9.25,0.0,200,252,61,29,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7%,26
Craig Dawson,WOL,D,8,2.75,2.75,-18,9.25,-4.0,200,191,47,29,1,1,0,1,0,0,0,0,1,0,0,0,7,0,1,2,0,0,0,1,0,14%,90
Jamaal Lascelles,NEW,D,8,2.75,2.75,-36,15.25,-4.0,200,268,65,29,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,15%,90
Nelson Semedo,WOL,D,8,2.5,2.5,-27,7.5,-4.0,200,223,56,29,1,1,0,0,0,1,0,0,1,0,0,0,2,3,0,1,0,0,0,1,0,20%,90
Moussa Diaby,AVL,F,8,2.5,2.5,1,27.0,-0.5,29,27,10,11,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,97%,61
Rayan Ait-Nouri,WOL,D,8,2.5,2.5,-34,8.0,0.0,200,257,63,29,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4%,45
Boubacar Kamara,AVL,M,8,2.5,2.5,15,24.0,-2.0,200,118,36,51,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,20%,81
Kyle Walker,MCI,D,8,2.5,2.5,5,19.0,-2.0,135,92,20,25,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,95%,90
Pascal Gross,BHA,M,8,2.5,2.5,0,25.0,0.0,25,32,13,13,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,100%,90
Teden Mengi,LUT,D,8,2.5,2.5,-48,9.25,0.0,200,316,77,29,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0%,30
Chris Basham,SHU,D,8,2.5,2.5,-37,6.75,0.0,200,272,66,29,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0%,34
Chris Wood,NOT,F,8,2.5,2.5,-10,4.5,-1.5,200,245,52,42,1,1,0,1,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,1,3%,75
Dominic Solanke,BOU,F,8,2.5,2.5,5,21.0,-4.5,62,51,16,21,1,1,0,1,0,1,0,5,1,0,1,0,2,1,1,0,0,0,0,3,0,96%,90
Lucas Paqueta,WHU,M,8,2.5,2.5,-4,16.0,-3.5,36,52,19,15,1,1,0,0,0,0,2,3,1,0,0,1,1,0,0,6,0,0,0,2,0,100%,90
Igor Julio dos Santos de Paulo,BHA,D,8,2.5,2.5,-61,0.0,-4.0,200,379,90,29,1,1,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,2%,62
Fabian Schar,NEW,D,8,2.25,2.25,-17,23.75,-4.0,79,138,31,14,1,1,0,0,0,0,1,0,0,0,0,1,9,0,0,2,0,0,0,2,0,95%,90
Mads Roerslev,BRF,D,8,2.25,2.25,-35,9.0,-4.5,200,258,64,29,1,1,0,1,0,0,2,1,0,0,1,0,3,0,0,1,0,0,0,2,0,4%,90
James Mcatee,SHU,M,8,2.0,2.0,-37,5.5,0.0,200,293,88,51,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4%,23
Jacob Murphy,NEW,M,8,2.0,2.0,-32,14.0,0.0,200,277,83,51,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6%,7
Evan Ferguson,BHA,F,8,2.0,2.0,4,5.0,-1.5,70,62,19,23,1,1,0,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,0,2,0,98%,59
Saman Ghoddos,BRF,F,8,2.0,2.0,-21,7.0,0.0,200,329,63,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0%,6
David Brooks,BOU,M,8,2.0,2.0,-14,5.0,0.0,200,204,65,51,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5%,22
Levi Colwill,CHE,D,8,2.0,2.0,11,31.5,-2.0,125,59,12,23,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94%,90
Rodrigo Muniz,FUL,F,8,2.0,2.0,-25,1.0,-1.0,200,393,67,42,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0%,11
Calvin Bassey,FUL,D,8,2.0,2.0,-71,-5.5,0.0,200,731,100,29,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1%,18
Harry Wilson,FUL,M,8,2.0,2.0,-18,6.0,0.0,200,220,69,51,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,44%,11
Jean-Philippe Mateta,CRY,F,8,2.0,2.0,-2,6.5,-1.5,200,199,44,42,1,1,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,10%,90
Axel Disasi,CHE,D,8,2.0,2.0,12,14.5,-3.0,200,80,17,29,1,1,0,0,0,0,0,2,0,0,0,0,4,1,1,2,0,0,0,1,0,81%,90
Odsonne Edouard,CRY,F,8,2.0,2.0,16,21.5,-1.5,91,38,13,29,1,1,0,1,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,81%,90
Matheus Cunha,WOL,F,8,2.0,2.0,14,18.5,0.0,124,79,23,37,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,66%,75
Boubacar Traore,WOL,M,8,2.0,2.0,-47,4.0,0.0,200,352,98,51,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,20
Joseph Gomez,LIV,D,8,2.0,2.0,-9,12.25,-2.0,200,156,38,29,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25%,9
Victor Lindelof,MUN,D,8,1.75,1.75,-38,7.25,-2.5,200,275,67,29,1,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,11%,70
Gonzalo Montiel,NOT,D,8,1.75,1.75,-55,5.0,0.0,200,346,84,29,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2%,45
Emerson Royal,TOT,D,8,1.75,1.75,-43,1.0,0.0,200,299,72,29,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,17%,13
Jacob Bruun Larsen,BUR,F,8,1.5,1.5,-8,6.0,-0.5,200,236,50,42,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,10
Virgil van Dijk,LIV,D,8,1.5,1.5,-16,42.75,-4.0,47,97,23,7,1,1,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,2,0,100%,90
Mike Tresor,BUR,F,8,1.5,1.5,-22,6.0,-0.5,200,341,64,42,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2%,60
Jordan Ayew,CRY,F,8,1.5,1.5,11,14.0,-2.0,110,78,22,33,1,1,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,75%,90
Cheikhou Kouyate,NOT,M,8,1.5,1.5,-43,4.5,0.0,200,325,94,51,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0%,6
Aaron Ramsey,BUR,M,8,1.5,1.5,-39,9.5,-0.5,200,304,90,51,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3%,28
Beto,EVE,F,8,1.5,1.5,-12,13.5,0.0,123,225,48,36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31%,6
Matheus Nunes,MCI,M,8,1.5,1.5,-13,14.5,-0.5,200,193,64,51,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,67%,21
Bernardo Silva,MCI,M,8,1.5,1.5,-16,26.0,-2.5,88,143,47,31,1,1,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,99%,90
Joe Rothwell,BOU,M,8,1.5,1.5,-33,4.5,-0.5,200,278,84,51,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1%,45
Leandro Trossard,ARS,M,8,1.5,1.5,-21,30.0,-0.5,101,172,57,36,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94%,45
Rasmus Hojlund,MUN,F,8,1.5,1.5,-43,10.5,-1.5,46,276,59,16,1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,88%,90
Mason Mount,MUN,M,8,1.5,1.5,-55,14.5,-1.0,76,264,81,26,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,96%,62
Anthony Martial,MUN,F,8,1.5,1.5,-13,8.0,-0.5,200,263,55,42,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12%,18
Ben Davies,TOT,D,8,1.25,1.25,-41,2.25,0.0,200,291,70,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8%,7
Jeffrey Schlupp,CRY,M,8,1.0,1.0,7,5.5,0.0,200,136,44,51,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,25
Harvey Elliott,LIV,M,8,1.0,1.0,-38,7.5,-1.0,200,295,89,51,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14%,45
Sasa Kalajdzic,WOL,F,8,1.0,1.0,-12,13.0,-2.0,200,259,54,42,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2%,13
Pierre-Emile Hojbjerg,TOT,M,8,1.0,1.0,-50,1.0,-2.0,200,384,101,51,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,15%,45
Will Hughes,CRY,M,8,1.0,0.0,-23,13.0,-1.0,200,240,74,51,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,5%,90
Anel Ahmedhodzic,SHU,D,8,0.75,0.75,-52,-10.25,-6.0,200,333,81,29,1,1,0,0,0,0,2,0,0,0,0,3,3,0,0,1,0,0,0,3,0,12%,90
Trent Alexander-Arnold,LIV,D,8,0.75,0.75,-26,27.25,-4.0,8,131,28,2,1,1,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,2,0,100%,79
Armando Broja,CHE,F,8,0.5,0.5,-18,13.5,-0.5,200,284,60,42,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,42%,45
Nathan Ake,MCI,D,8,0.5,0.5,-3,3.5,-2.0,200,147,32,29,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,89%,90
Michail Antonio,WHU,F,8,0.5,0.5,9,12.0,-2.0,134,103,31,40,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,2,0,74%,74
Harrison Reed,FUL,M,8,0.5,0.5,-5,12.0,0.0,200,171,56,51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8%,10
Toti,WOL,D,8,0.5,0.5,-57,2.0,-2.0,200,353,86,29,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1%,90
Eddie Nketiah,ARS,F,8,0.5,0.5,22,18.0,-0.5,200,68,20,42,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,83%,74
Matt Doherty,WOL,D,8,0.25,0.25,-62,2.75,-2.0,200,380,91,29,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,17%,45
Callum Wilson,NEW,F,8,0.0,0.0,-5,27.0,0.0,61,82,25,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96%,3
Alejo Veliz,TOT,F,8,0.0,0.0,-28,0.0,0.0,200,724,70,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,1
Matt Targett,NEW,D,8,0.0,0.0,-73,-7.5,0.0,200,733,102,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,1
Danny Welbeck,BHA,F,8,0.0,0.0,-4,1.5,0.0,200,216,46,42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29%,29
Said Benrahma,WHU,M,8,0.0,0.0,-7,4.0,0.0,129,159,52,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65%,14
Fabio Silva,WOL,F,8,0.0,0.0,-11,0.0,0.0,200,251,53,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,3
Thomas Partey,ARS,M,8,0.0,0.0,-17,18.0,0.0,200,212,68,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,14
Youri Tielemans,AVL,M,8,0.0,0.0,-48,-0.5,0.0,200,377,99,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32%,7
Josh Cullen,BUR,M,8,0.0,0.0,-2,11.0,-2.0,200,161,53,51,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8%,60
Ryan Christie,BOU,M,8,0.0,0.0,16,14.0,-1.0,126,94,28,44,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,41%,45
Max Aarons,BOU,D,8,0.0,0.0,-45,-9.75,0.0,200,306,74,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,3
Antony,MUN,F,8,0.0,0.0,-14,17.5,0.0,75,189,40,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77%,26
Luke Berry,LUT,M,8,0.0,0.0,-51,0.0,0.0,200,435,102,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23
Ross Barkley,LUT,M,8,0.0,0.0,-35,13.5,-0.5,200,283,86,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7%,8
Rhian Brewster,SHU,F,8,0.0,0.0,-24,0.0,0.0,200,382,66,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1%,10
Anthony Elanga,NOT,F,8,0.0,0.0,8,8.0,0.0,200,123,34,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39%,23
Ansu Fati,BHA,F,8,0.0,0.0,-27,11.5,0.0,98,269,57,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69%,1
Nathan Patterson,EVE,D,8,0.0,0.0,-31,5.5,0.0,200,243,60,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4%,11
Youssef Ramalho Chermiti,EVE,F,8,0.0,0.0,-27,-1.0,0.0,200,718,69,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1
Ian Maatsen,CHE,D,8,0.0,0.0,-58,2.75,0.0,200,354,87,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,3
Takehiro Tomiyasu,ARS,D,8,0.0,0.0,-53,1.5,0.0,200,335,82,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4%,14
Luke Thomas,SHU,D,8,-0.25,-0.25,-67,-4.0,-2.5,200,723,96,29,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3%,65
Julian Alvarez,MCI,F,8,-0.5,-0.5,-1,22.0,-0.5,9,9,5,4,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,100%,67
Jorginho,ARS,M,8,-0.5,-1.5,-49,0.5,-2.5,200,383,100,51,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,8%,74
Thiago Silva,CHE,D,8,-0.5,-0.5,4,16.75,-4.0,120,83,18,22,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,1,0,92%,90
Sander Berge,BUR,M,8,-0.5,-0.5,-8,8.0,-1.0,200,179,59,51,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,6%,90
Neal Maupay,BRF,F,8,-0.5,-0.5,-20,2.0,-2.5,200,303,62,42,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2%,19
Divock Origi,NOT,F,8,-0.5,-0.5,-26,-0.5,-0.5,200,715,68,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,13
Oliver Skipp,TOT,M,8,-0.5,-0.5,-52,-0.5,-0.5,200,720,103,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,13
Nicolo Zaniolo,AVL,M,8,-0.5,-0.5,-29,7.0,-0.5,200,262,80,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,27
Mykhailo Mudryk,CHE,M,8,-0.5,-0.5,-28,17.5,-0.5,95,180,60,32,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,82%,6
Diego Carlos,AVL,D,8,-0.75,-0.75,-49,1.5,-2.0,200,321,78,29,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5%,90
Ruben Dias,MCI,D,8,-0.75,-0.75,-20,6.75,-2.0,200,196,49,29,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,94%,90
Joao Gomes,WOL,M,8,-1.0,-1.0,-10,6.0,-1.0,200,182,61,51,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,9%,68
Mateo Kovacic,MCI,M,8,-1.0,-2.0,-22,4.5,-3.0,200,238,73,51,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,71%,67
Adam Smith,BOU,D,8,-1.0,-1.0,-68,0.0,-6.5,200,726,97,29,1,1,0,1,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,3,0,0%,85
Jacob Brown,LUT,F,8,-1.0,-1.0,4,4.0,-1.0,200,183,38,42,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4%,65
Jack Robinson,SHU,D,8,-1.25,-1.25,-47,-6.25,-6.0,200,314,76,29,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,3,0,2%,54
Marcos Senesi,BOU,D,8,-1.25,-1.25,-46,-4.5,-6.0,200,311,75,29,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,3,0,2%,90
Milos Kerkez,BOU,D,8,-1.75,-1.75,-40,-12.25,-7.0,200,282,69,29,1,1,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,0,0,3,0,25%,66
Ibrahima Konate,LIV,D,8,-2.0,-2.0,-50,1.25,-2.0,118,296,71,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64%,16
John Stones,MCI,D,8,-2.0,-2.0,-64,0.0,-2.0,200,680,93,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82%,21
Miguel Almiron,NEW,M,8,-2.0,-2.0,-15,27.5,-2.0,66,120,37,22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,98%,81
Ryan Yates,NOT,M,8,-2.0,-2.0,-34,5.5,-2.0,200,280,85,51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1%,13
Bruno Guimaraes,NEW,M,8,-2.5,-2.5,17,50.0,-3.5,106,58,21,38,1,1,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,2,0,99%,90
Dara O'Shea,BUR,D,8,-2.75,-2.75,-59,3.75,-6.0,200,368,88,29,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,2%,45
Nayef Aguerd,WHU,D,8,-3.0,-3.0,0,18.0,-4.0,200,134,29,29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,36%,90
Vitinho,BUR,D,8,-3.0,-3.0,-69,-3.75,-4.5,200,729,98,29,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,1%,60
Sean Longstaff,NEW,M,8,-3.0,-3.0,17,24.5,-3.0,200,110,34,51,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,56%,90
Joel Veltman,BHA,D,8,-3.0,-3.0,-33,0.0,-4.5,200,256,62,29,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,21%,90
Hannes Delcroix,BUR,D,8,-3.25,-3.25,-65,-5.0,-8.5,200,713,94,29,1,1,0,0,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,4,0,1%,90
Charlie Taylor,BUR,D,8,-4.0,-4.0,-54,-2.75,-8.5,200,338,83,29,1,1,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,4,0,1%,90
Yasser Larouci,SHU,D,8,-4.25,-4.25,-63,-3.5,-4.5,200,573,92,29,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1%,23
Ameen Al Dakhil,BUR,D,8,-5.0,-5.0,-72,1.0,-7.0,200,732,101,29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1%,45
Yves Bissouma,TOT,M,8,-5.0,-5.0,-3,-2.0,-7.0,87,109,33,30,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,81%,45
Aaron Hickey,BRF,D,8,-6.25,-6.25,-70,-16.25,-6.5,200,730,99,29,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,8%,90
