,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (max),gp (max)
29,NOT,RM,1,79.0,0.0,15.0,2.0,2.0,7.0,6.0,2.0,0.0,4.0,6.0,2.0,14.0,2.0,10.0,0.0,0.0,0.0,9.0,2,1.0,12.0,0.0,0.0,65.0,-7.0,3,8
36,WOL,RM,2,76.0,0.5,13.5,3.5,3.5,2.0,6.5,1.0,0.0,7.0,1.5,1.0,9.5,1.0,0.5,0.0,0.0,0.0,7.5,2,3.5,8.5,2.0,0.0,50.0,-5.25,4,8
23,NEW,CM,1,67.0,1.0,13.0,1.0,3.0,10.0,11.0,4.0,0.0,1.0,4.0,3.0,10.0,3.0,5.0,0.0,0.0,0.0,9.0,3,2.0,25.0,0.0,0.0,49.0,-13.5,4,8
2,AVL,DM,2,57.5,1.5,8.0,0.0,2.0,13.5,5.0,3.0,0.0,1.5,6.0,4.5,5.5,2.0,4.0,0.0,0.0,0.0,12.0,4,1.5,20.5,0.0,1.0,42.0,-8.5,3,8
6,BHA,LM,2,55.25,1.5,8.5,1.5,2.5,3.5,3.5,2.5,0.0,1.5,3.5,4.0,7.5,0.0,2.0,0.0,0.0,0.0,9.5,1,3.0,14.5,2.0,0.0,32.25,-6.75,5,8
0,AVL,AM,2,47.75,1.0,6.0,2.0,4.5,0.5,5.5,0.0,0.0,1.5,0.5,0.5,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2,2.5,0.5,1.0,0.0,26.75,-2.75,3,8
30,WHU,AM,3,43.83,1.0,5.33,1.0,2.33,3.67,1.33,0.33,0.0,1.33,4.33,3.67,3.0,1.33,1.67,0.0,0.0,0.0,5.0,1,2.0,2.67,0.33,0.0,28.5,-1.33,4,7
25,NEW,RM,2,43.0,1.0,6.0,1.0,2.5,6.0,5.0,1.5,0.0,3.0,1.5,3.5,2.0,1.5,1.0,0.0,0.0,0.0,5.5,4,1.5,11.0,0.5,0.0,26.0,-5.5,4,8
32,WHU,DM,4,42.25,0.75,4.0,0.5,2.0,9.25,6.75,2.5,0.0,0.5,5.25,14.5,3.75,3.5,12.0,0.0,0.0,0.0,7.25,4,1.25,17.0,0.75,0.25,31.5,-8.88,4,8
5,BHA,DM,4,40.25,0.5,8.75,1.0,2.25,2.5,2.0,0.75,0.0,1.5,2.0,2.5,2.0,1.0,1.0,0.0,0.0,0.0,6.75,3,1.0,5.5,0.0,0.0,29.0,-2.5,4,7
18,EVE,LM,1,39.5,0.0,9.0,1.0,2.0,2.0,11.0,0.0,0.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,1,1.0,3.0,1.0,0.0,32.5,-5.5,3,5
15,CRY,LM,1,38.5,0.0,6.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,7.0,10.0,2.0,1.0,15.0,0.0,0.0,0.0,4.0,1,0.0,4.0,0.0,0.0,37.5,-2.0,2,4
19,EVE,RM,3,36.83,0.67,5.33,0.67,2.0,4.0,2.0,0.33,0.0,1.67,1.67,1.33,3.67,0.67,3.0,0.0,0.0,0.0,4.33,3,1.33,4.0,0.33,0.0,26.17,-1.67,5,8
24,NEW,LM,2,36.25,0.0,5.5,0.5,2.5,6.5,5.0,0.5,0.0,1.0,2.5,4.0,5.5,2.0,3.5,0.0,0.0,0.0,4.5,3,0.5,9.0,0.0,0.0,31.75,-3.5,4,8
7,BOU,AM,3,35.67,0.0,5.67,0.33,2.0,4.33,6.67,0.0,0.0,2.0,5.33,7.67,4.33,1.33,7.33,0.0,0.0,0.0,10.33,2,0.33,6.33,0.33,0.0,33.0,-3.33,4,8
10,BRF,CM,7,35.14,0.57,5.43,0.57,1.57,5.86,2.14,0.86,0.0,1.57,3.43,4.29,0.86,0.86,3.29,0.0,0.14,0.0,5.14,6,1.0,7.43,0.43,0.0,25.71,-2.79,4,8
22,FUL,RM,2,31.25,0.0,8.0,0.5,1.0,4.0,4.0,0.5,0.0,2.0,1.5,2.5,1.5,1.5,2.5,0.0,0.0,0.0,7.0,3,0.5,4.5,1.5,0.0,26.75,-3.0,4,8
3,BHA,AM,4,30.88,0.75,5.5,0.75,1.75,2.0,5.25,1.0,0.0,0.25,1.5,3.25,4.25,0.0,2.0,0.0,0.25,0.0,4.5,4,1.5,5.25,1.25,0.25,19.38,-4.62,5,8
