Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Oliver McBurnie,SHU,F,0.45,49.0,10.34,46.5,9.81,0.95,-12.5,114,5,6,1,4,1,7,1,7,1,1,1,2,9,4,1,31,0,0,0,11,0,427,9.8,14,13,35,20
Gabriel Magalhaes,ARS,D,0.64,48.75,6.73,44.75,6.18,0.92,-14.0,116,7,9,0,0,0,0,5,0,1,0,0,11,11,0,11,15,0,0,0,6,3,652,6.96,0,41,15,7
Craig Dawson,WOL,D,1.00,48.5,4.5,89.5,8.3,1.85,-47.0,200,11,11,0,4,0,3,10,2,4,0,0,6,54,2,16,28,0,0,0,19,1,970,4.41,7,87,30,25
Manuel Akanji,MCI,D,0.73,48.25,6.05,42.25,5.29,0.88,-22.0,200,8,8,1,5,0,2,8,2,1,1,0,6,13,1,5,5,0,0,0,6,3,718,6.03,8,35,6,10
Fabio Vieira,ARS,M,0.18,48.0,20.78,22.0,9.52,0.46,-2.0,200,2,7,1,3,3,2,2,4,0,0,2,2,1,2,0,0,0,2,0,2,1,208,24.0,11,6,2,6
Mohammed Kudus,WHU,M,0.18,48.0,16.0,32.0,10.67,0.67,-8.0,46,2,8,2,3,1,3,7,12,1,0,0,1,2,11,0,2,0,0,0,10,0,270,24.0,11,10,13,23
Alex Iwobi,FUL,M,0.45,48.0,8.41,53.0,9.28,1.1,-6.0,105,5,9,0,11,0,3,4,8,1,0,2,6,1,12,0,2,0,0,0,6,1,514,9.6,16,12,14,15
Vinicius de Souza Costa,SHU,M,0.91,48.0,4.93,56.0,5.76,1.17,-8.0,200,10,11,0,1,0,2,16,8,2,0,0,12,21,8,4,20,0,0,0,28,0,876,4.8,3,53,28,38
Cody Gakpo,LIV,F,0.45,47.5,11.56,30.5,7.42,0.64,-1.0,74,5,9,2,4,0,4,2,2,0,0,0,2,4,6,1,7,0,0,0,6,0,370,9.5,12,9,13,8
Bobby De Cordova-Reid,FUL,F,0.64,47.5,7.64,27.5,4.42,0.58,-4.0,200,7,10,2,3,1,3,9,4,1,0,0,0,5,3,1,5,0,0,0,13,1,560,6.79,11,16,8,18
Aaron Wan-Bissaka,MUN,D,0.45,46.75,9.8,45.25,9.49,0.97,-17.5,122,5,6,0,4,1,0,10,3,2,0,1,8,17,5,4,5,0,0,0,6,2,429,9.35,6,41,10,11
Neal Maupay,BRF,F,0.27,46.5,11.95,33.5,8.61,0.72,-8.0,200,3,8,1,5,2,9,2,8,2,0,1,1,2,1,0,1,0,0,0,6,2,350,15.5,18,7,2,16
Cameron Archer,SHU,F,0.64,46.5,6.71,36.0,5.19,0.77,-13.5,200,7,9,2,8,1,4,1,19,2,0,0,1,0,7,1,4,0,0,0,21,0,624,6.64,17,3,11,42
Kai Havertz,ARS,F,0.64,46.5,6.44,43.0,5.96,0.92,-11.5,135,7,11,1,8,1,1,8,7,4,0,0,5,4,1,1,20,0,0,0,5,3,650,6.64,11,21,21,16
Tom Lockyer,LUT,D,0.91,46.5,4.89,77.0,8.11,1.66,-47.5,200,10,10,1,3,1,1,11,1,2,0,0,10,44,3,9,25,0,0,1,19,0,855,4.65,6,74,28,23
Jefferson Lerma,CRY,M,0.64,46.0,6.74,48.0,7.04,1.04,-4.0,140,7,7,0,7,0,2,6,4,1,0,0,11,16,3,1,18,0,0,0,10,2,614,6.57,9,36,21,15
Elliot Anderson,NEW,M,0.36,46.0,10.31,42.0,9.42,0.91,-5.0,200,4,9,0,6,1,3,6,10,0,0,2,2,6,8,3,6,0,0,0,5,3,401,11.5,12,20,14,15
Ezri Konsa,AVL,D,1.00,45.5,4.14,61.0,5.55,1.34,-34.5,200,11,11,0,2,1,2,11,1,1,0,0,10,28,6,10,7,0,1,0,16,2,990,4.14,5,61,13,18
Nayef Aguerd,WHU,D,0.91,45.5,4.68,75.0,7.71,1.65,-45.5,200,10,10,1,1,0,2,4,1,0,1,0,13,44,1,15,25,0,0,0,19,1,876,4.55,4,77,26,21
Said Benrahma,WHU,M,0.36,45.0,9.51,43.0,9.09,0.96,-5.0,200,4,9,0,10,1,4,1,6,1,0,2,3,2,9,0,0,0,0,0,7,1,426,11.25,17,7,9,14
Leandro Trossard,ARS,M,0.18,45.0,18.83,28.0,11.72,0.62,-2.0,107,2,7,2,7,0,2,3,4,0,0,3,2,1,2,0,0,0,0,0,2,1,215,22.5,16,7,2,6
Reece Burke,LUT,D,0.64,44.5,6.75,65.0,9.86,1.46,-27.5,200,7,8,0,6,1,1,7,3,1,0,1,7,24,1,6,23,0,0,0,12,0,593,6.36,9,44,24,16
Jacob Murphy,NEW,M,0.09,44.5,34.5,18.0,13.95,0.4,-1.5,200,1,5,1,4,3,2,2,3,0,0,1,0,3,3,0,0,0,0,0,1,1,116,44.5,11,6,3,4
Gabriel Jesus,ARS,F,0.36,44.5,11.12,41.5,10.38,0.93,-12.0,40,4,7,1,4,1,3,7,16,2,0,0,4,2,13,0,7,0,0,0,4,2,360,11.12,9,15,20,22
James Mcatee,SHU,M,0.45,44.5,9.35,39.0,8.19,0.88,-7.5,200,5,8,0,9,2,2,7,11,1,0,1,1,1,6,0,4,0,0,0,17,1,428,8.9,14,10,10,29
Issa Kabore,LUT,D,0.73,44.0,5.74,63.5,8.29,1.44,-33.5,200,8,10,0,7,2,1,9,3,3,0,9,10,14,5,3,8,0,0,0,13,0,689,5.5,19,36,13,19
Marvelous Nakamba,LUT,M,1.00,44.0,4.06,54.0,4.99,1.23,-10.0,200,11,11,0,7,0,0,22,4,4,0,1,9,8,3,3,4,0,0,0,21,0,975,4.0,8,42,7,29
Harry Wilson,FUL,M,0.64,44.0,6.29,42.0,6.0,0.95,-7.0,200,7,11,0,8,1,4,6,6,2,0,4,2,0,6,0,0,0,0,0,10,3,630,6.29,17,11,6,18
Pau Torres,AVL,D,0.91,43.75,4.11,49.75,4.68,1.14,-28.0,200,10,11,1,3,0,2,5,0,0,0,1,4,23,9,4,11,0,0,0,14,2,958,4.38,7,38,20,14
Elijah Adebayo,LUT,F,0.36,43.5,10.61,28.5,6.95,0.66,-3.0,200,4,11,2,6,0,2,0,6,0,0,0,3,7,4,0,11,0,0,0,8,0,369,10.88,12,10,15,14
Jack Harrison,EVE,M,0.36,43.5,11.27,21.5,5.57,0.49,-1.0,70,4,5,1,4,2,2,2,2,0,0,2,1,5,3,0,3,0,0,0,1,2,347,10.88,11,10,6,3
Jamaal Lascelles,NEW,D,0.45,43.5,8.41,36.5,7.06,0.84,-11.0,200,5,6,0,1,0,0,3,2,1,0,0,1,18,1,7,18,0,0,0,4,3,465,8.7,1,32,19,7
Sander Berge,BUR,M,0.73,43.0,5.59,45.5,5.92,1.06,-8.5,200,8,11,0,6,1,1,4,9,2,0,0,5,8,6,6,21,0,0,0,20,0,692,5.38,8,23,27,31
Frank Onyeka,BRF,M,0.18,42.0,11.9,42.5,12.04,1.01,-7.5,200,2,9,0,7,1,3,8,3,3,0,3,6,6,4,0,3,0,0,0,8,1,318,21.0,14,21,7,14
Ben Chilwell,CHE,D,0.36,40.75,11.07,45.75,12.43,1.12,-18.0,126,4,6,0,9,1,2,4,4,3,0,5,3,3,4,0,7,0,0,0,5,1,331,10.19,17,11,11,12
Emerson,WHU,D,0.91,39.75,3.98,71.75,7.18,1.81,-52.0,200,10,10,0,8,2,0,13,4,6,0,4,15,27,7,2,6,0,1,0,19,1,900,3.98,14,58,13,29
Orel Mangala,NOT,M,0.91,39.0,4.28,40.5,4.44,1.04,-13.5,200,10,10,1,4,0,1,7,11,4,0,0,13,10,6,3,3,0,0,0,12,3,821,3.9,6,36,9,27
Ruben Dias,MCI,D,0.73,39.0,4.78,38.5,4.72,0.99,-17.5,200,8,9,0,1,0,3,4,1,0,0,1,10,18,0,3,8,0,0,1,6,3,734,4.88,5,38,8,8
Johann Gudmundsson,BUR,M,0.45,39.0,10.34,36.0,9.55,0.92,-3.0,200,5,6,0,10,1,0,2,2,1,0,4,6,4,2,0,4,0,0,0,7,0,339,7.8,15,12,6,10
Ibrahima Konate,LIV,D,0.45,38.75,7.55,39.25,7.65,1.01,-12.5,124,5,8,0,2,0,0,4,1,1,0,0,3,21,3,5,15,0,0,0,5,2,462,7.75,2,35,18,7
Sandro Tonali,NEW,M,0.45,38.5,8.02,33.5,6.98,0.87,-5.0,200,5,8,1,7,0,2,7,2,2,0,3,2,4,3,0,1,0,0,0,5,1,432,7.7,13,14,4,9
Jacob Brown,LUT,F,0.64,38.0,6.03,43.0,6.83,1.13,-11.0,200,7,11,0,5,1,4,4,14,2,0,3,4,5,3,1,20,0,0,0,14,0,567,5.43,13,14,23,30
Nicolas Dominguez,NOT,M,0.55,38.0,6.99,29.0,5.33,0.76,-3.0,149,6,6,1,0,0,4,15,2,1,0,0,2,11,1,0,6,0,0,0,5,3,490,6.33,5,31,7,8
Harrison Reed,FUL,M,0.64,37.5,5.98,33.5,5.34,0.89,-5.0,200,7,10,0,8,1,0,7,6,1,0,2,2,5,1,3,5,0,0,0,11,3,564,5.36,11,20,6,18
Will Hughes,CRY,M,0.64,37.5,5.73,45.0,6.88,1.2,-11.5,200,7,8,0,9,0,2,8,15,2,0,0,5,13,4,5,2,0,0,0,10,4,589,5.36,11,35,6,27
Moises Caicedo,CHE,M,0.73,37.5,4.75,42.0,5.32,1.12,-6.5,200,8,9,0,4,0,1,9,5,2,0,0,7,6,6,5,10,0,0,0,8,2,710,4.69,5,29,16,15
Timothy Castagne,FUL,D,0.64,37.5,5.22,44.5,6.2,1.19,-19.0,200,7,8,0,4,0,1,6,2,1,0,3,9,10,6,2,6,0,0,0,8,2,646,5.36,8,29,12,11
Joel Ward,CRY,D,0.91,36.5,3.77,50.0,5.17,1.37,-37.5,200,10,10,0,0,0,0,15,1,3,0,1,6,28,3,3,15,0,0,1,13,4,871,3.65,1,56,18,18
Josh Cullen,BUR,M,0.91,36.0,3.86,42.5,4.56,1.18,-12.5,200,10,10,0,6,1,0,11,5,5,0,1,7,11,1,7,7,0,0,0,22,0,839,3.6,8,36,8,32
Harry Maguire,MUN,D,0.36,35.75,8.37,36.75,8.61,1.03,-14.0,200,4,6,0,1,1,0,2,0,0,0,1,3,19,0,5,19,0,0,0,7,1,384,8.94,3,30,19,7
Jack Grealish,MCI,M,0.27,35.5,10.99,35.5,10.99,1.0,-8.0,27,3,6,0,8,1,1,5,8,2,0,1,4,2,5,1,3,0,0,0,1,2,291,11.83,11,14,8,11
Malo Gusto,CHE,D,0.55,35.25,6.22,29.75,5.25,0.84,-20.5,200,6,8,0,3,2,0,7,3,1,1,2,3,7,7,1,2,0,0,0,5,2,510,5.88,7,20,9,10
Scott McKenna,NOT,D,0.45,35.25,7.63,41.25,8.93,1.17,-12.0,200,5,5,0,3,0,0,0,0,0,0,0,5,25,0,4,20,0,0,0,6,1,416,7.05,3,35,20,6
Joel Matip,LIV,D,0.55,35.0,5.93,47.5,8.05,1.36,-18.5,200,6,7,0,1,0,0,4,3,0,0,0,8,30,0,4,22,0,0,1,6,1,531,5.83,1,47,22,10
Lewis Cook,BOU,M,0.55,35.0,6.02,43.0,7.4,1.23,-9.0,200,6,7,0,4,0,1,8,4,0,1,0,16,2,4,3,4,0,0,0,14,1,523,5.83,5,30,8,19
Kevin Schade,BRF,M,0.27,35.0,12.46,20.5,7.3,0.59,-1.5,200,3,5,1,3,1,2,1,3,0,0,2,1,3,1,0,11,0,0,0,2,1,253,11.67,9,6,12,5
Antony,MUN,F,0.55,35.0,6.82,41.0,7.99,1.17,-6.0,85,6,8,0,8,0,4,3,4,2,0,1,6,1,7,0,0,0,0,0,5,2,462,5.83,13,12,7,11
David Brooks,BOU,M,0.18,35.0,14.46,28.5,11.78,0.81,-2.5,200,2,8,1,6,0,4,4,1,1,0,1,2,2,1,0,1,0,0,0,3,0,218,17.5,12,8,2,5
Rico Henry,BRF,D,0.45,34.75,7.79,37.25,8.35,1.07,-15.5,200,5,5,0,5,1,0,5,7,1,0,2,5,5,7,3,4,0,0,0,5,1,401,6.95,8,19,11,13
Joao Gomes,WOL,M,0.82,34.5,4.62,39.5,5.29,1.14,-12.0,200,9,10,0,4,1,0,17,12,3,0,2,4,7,5,1,5,0,0,0,14,1,672,3.83,7,30,10,29
Jonny Evans,MUN,D,0.45,34.5,6.96,32.0,6.45,0.93,-16.5,200,5,6,0,3,1,0,2,1,1,0,0,3,24,0,2,13,0,0,0,7,2,446,6.9,4,33,13,9
Ross Barkley,LUT,M,0.36,34.5,8.85,37.5,9.62,1.09,-3.0,200,4,6,0,5,0,2,5,6,0,0,0,5,7,8,2,7,0,0,0,9,0,351,8.62,7,19,15,15
Arnaut Danjuma Groeneveld,EVE,F,0.27,34.5,8.58,28.5,7.09,0.83,-3.0,200,3,8,1,3,0,6,1,6,0,0,0,2,0,6,0,3,0,0,0,8,0,362,11.5,10,3,9,14
Nathan Patterson,EVE,D,0.45,34.0,5.88,44.5,7.7,1.31,-23.5,200,5,10,0,5,1,0,14,3,1,0,4,6,10,2,2,4,0,0,0,10,1,520,6.8,10,33,6,14
Nelson Semedo,WOL,D,0.91,33.75,3.4,75.75,7.64,2.24,-48.0,200,10,10,0,3,0,1,15,8,4,0,4,13,27,17,5,7,0,0,0,18,1,893,3.38,8,61,24,30
Lewis Dunk,BHA,D,1.00,33.25,3.02,69.75,6.34,2.1,-46.5,200,11,11,1,3,0,3,5,1,3,0,1,9,27,3,11,22,0,0,0,20,0,990,3.02,8,52,25,24
Jean-Philippe Mateta,CRY,F,0.27,33.0,8.05,26.0,6.34,0.79,-11.0,200,3,8,0,6,3,2,2,18,1,0,0,1,3,3,0,8,0,0,0,7,2,369,11.0,11,8,11,26
Mads Andersen,LUT,D,0.36,32.0,7.79,36.0,8.76,1.12,-14.0,200,4,6,1,0,0,1,5,0,1,0,0,8,24,0,5,10,0,0,0,6,0,370,8.0,2,42,10,7
Murillo,NOT,M,0.45,32.0,6.4,33.0,6.6,1.03,-3.0,138,5,5,0,2,0,2,4,2,1,0,0,5,32,9,3,8,0,0,0,6,2,450,6.4,4,46,17,9
Ola Aina,NOT,D,0.64,31.75,5.19,39.75,6.5,1.25,-30.0,200,7,8,1,2,0,1,12,4,3,0,0,3,19,6,2,6,0,0,0,11,2,551,4.54,4,38,12,18
Ansu Fati,BHA,F,0.00,31.0,14.62,16.5,7.78,0.53,-3.5,99,0,7,2,2,0,5,1,3,1,0,0,0,1,1,0,1,0,0,0,5,0,191,inf,11,2,2,9
Edson Alvarez,WHU,M,0.73,31.0,4.11,37.0,4.91,1.19,-13.0,200,8,9,0,2,1,1,9,6,5,0,0,5,28,7,4,12,0,0,0,13,1,679,3.88,4,47,19,24
Matheus Nunes,MCI,M,0.36,31.0,7.45,34.5,8.29,1.11,-10.5,200,4,7,0,4,1,0,3,7,0,1,2,6,6,13,1,3,0,0,0,8,1,374,7.75,7,17,16,16
Raphael Varane,MUN,D,0.36,30.75,8.47,25.75,7.09,0.84,-11.0,200,4,7,1,1,0,2,4,2,0,0,0,1,19,1,2,7,0,0,0,5,1,327,7.69,4,27,8,7
Beto,EVE,F,0.27,30.5,9.78,34.5,11.06,1.13,-4.0,200,3,7,0,5,0,1,4,8,0,0,0,0,5,9,0,19,0,0,0,5,1,281,10.17,6,10,28,13
Sasa Kalajdzic,WOL,F,0.09,30.5,26.07,16.0,13.68,0.52,-3.5,200,1,7,2,3,0,2,1,3,1,0,0,1,5,1,0,6,0,0,0,1,1,105,30.5,9,8,7,5
Marc Cucurella,CHE,D,0.36,30.25,6.89,38.75,8.83,1.28,-14.5,200,4,5,0,3,0,2,10,1,3,0,0,6,11,1,1,8,0,0,0,4,1,395,7.56,5,29,9,8
Dara O'Shea,BUR,D,0.55,30.0,4.62,65.0,10.0,2.17,-42.0,200,6,7,0,3,1,1,2,0,0,0,1,14,32,0,11,21,0,0,0,21,0,585,5.0,6,59,21,21
Alejandro Garnacho,MUN,M,0.27,30.0,8.33,34.5,9.58,1.15,-6.5,200,3,9,0,6,0,3,2,9,1,0,1,4,1,7,0,5,0,0,0,4,2,324,10.0,10,9,12,14
Mads Roerslev,BRF,D,0.27,29.75,7.89,33.25,8.82,1.12,-9.5,200,3,9,0,5,0,0,5,3,0,0,7,1,17,3,0,3,0,0,0,4,1,339,9.92,12,24,6,7
Rayan Ait-Nouri,WOL,D,0.91,29.5,3.39,73.5,8.44,2.49,-44.0,200,10,11,0,6,0,0,18,20,3,0,0,11,14,15,5,9,0,0,0,14,0,784,2.95,6,48,24,37
Callum Hudson-Odoi,NOT,F,0.27,29.0,11.51,21.0,8.33,0.72,-1.0,200,3,4,1,4,0,2,1,2,0,0,0,0,2,8,0,0,0,0,0,2,1,227,9.67,7,4,8,4
Pablo Sarabia,WOL,M,0.18,28.5,14.04,25.5,12.56,0.89,-4.0,200,2,5,0,8,1,2,2,4,1,0,1,0,0,1,1,1,0,0,0,1,1,183,14.25,12,4,2,6
Mateo Kovacic,MCI,M,0.55,28.5,4.69,32.5,5.35,1.14,-7.0,200,6,8,0,6,0,2,9,6,2,0,0,1,4,6,0,1,0,0,0,4,3,547,4.75,8,17,7,12
Ryan Gravenberch,LIV,M,0.27,28.5,9.56,28.5,9.56,1.0,-1.0,150,3,7,0,3,0,3,2,2,0,0,0,7,4,6,0,3,0,0,0,3,1,268,9.5,6,14,9,5
Rasmus Hojlund,MUN,F,0.64,28.5,4.52,34.5,5.48,1.21,-6.0,59,7,8,0,7,0,4,1,12,0,0,1,0,7,8,0,5,0,0,0,9,2,567,4.07,12,10,13,21
Ibrahim Sangare,NOT,M,0.64,28.5,4.64,35.0,5.7,1.23,-9.5,200,7,7,0,3,0,0,11,3,4,0,0,6,9,4,4,8,0,0,0,7,3,553,4.07,3,33,12,14
Mahmoud Dahoud,BHA,M,0.36,28.0,7.57,25.0,6.76,0.89,-4.0,200,4,7,0,9,1,0,3,4,1,0,1,1,4,1,1,0,0,0,0,4,1,333,7.0,11,10,1,9
Idrissa Gueye,EVE,M,0.73,28.0,4.01,35.5,5.09,1.27,-7.5,200,8,8,0,5,0,1,11,7,2,0,1,5,7,5,1,1,0,0,0,11,0,628,3.5,7,24,6,20
Joel Veltman,BHA,D,0.55,27.5,3.74,52.0,7.07,1.89,-31.5,200,6,11,0,2,1,2,19,3,1,0,0,7,20,1,5,7,0,0,0,14,0,662,4.58,5,51,8,18
Wilson Odobert,BUR,F,0.18,27.5,15.9,21.0,12.14,0.76,-2.5,200,2,4,1,3,0,3,3,1,1,0,0,0,1,6,0,0,0,0,0,7,0,156,13.75,7,4,6,9
Issa Diop,FUL,D,0.73,27.5,3.53,41.0,5.27,1.49,-31.5,200,8,8,0,0,0,1,6,3,2,0,0,7,36,0,4,13,0,0,0,13,3,700,3.44,1,56,13,18
Harvey Elliott,LIV,M,0.09,27.0,10.15,18.5,6.95,0.69,-3.5,200,1,9,0,5,2,1,1,3,1,0,2,2,2,1,0,1,0,0,0,2,0,239,27.0,10,5,2,6
Carlos Vinicius,FUL,F,0.18,26.5,11.47,20.0,8.66,0.75,-2.5,200,2,6,1,4,0,3,2,5,0,0,0,0,1,2,0,4,0,0,0,3,0,208,13.25,8,3,6,8
Thomas Partey,ARS,M,0.27,26.5,9.57,27.0,9.75,1.02,-1.5,200,3,4,0,3,0,1,5,3,0,0,2,4,2,6,1,2,0,0,0,2,1,249,8.83,6,13,8,5
Brennan Johnson,TOT,F,0.45,26.0,6.28,23.5,5.68,0.9,-3.5,109,5,8,0,4,1,2,3,3,1,0,2,2,1,2,1,3,0,0,0,8,0,373,5.2,9,7,5,12
Danny Welbeck,BHA,F,0.64,26.0,5.76,23.0,5.1,0.88,-6.0,200,7,8,1,5,0,3,3,8,1,0,0,2,6,1,0,2,0,0,0,7,2,406,3.71,9,13,3,16
Konstantinos Tsimikas,LIV,D,0.18,25.75,13.14,16.25,8.29,0.63,-2.5,73,2,4,0,3,0,0,2,1,0,0,4,1,1,0,0,3,0,0,0,1,2,176,12.88,7,6,3,2
Jacob Bruun Larsen,BUR,F,0.00,25.5,14.01,18.0,9.89,0.71,-1.5,200,0,10,1,3,0,2,1,3,0,0,0,1,3,5,0,2,0,0,0,5,0,164,inf,6,5,7,8
Jhon Duran,AVL,F,0.00,25.5,36.43,13.0,18.57,0.51,-5.5,200,0,6,2,1,0,3,2,3,2,0,0,0,1,1,0,4,0,0,0,0,0,63,inf,8,3,5,5
Takehiro Tomiyasu,ARS,D,0.18,24.75,6.99,22.25,6.29,0.9,-13.5,200,2,9,1,0,0,2,1,1,0,1,0,5,9,3,0,7,0,0,0,3,1,319,12.38,3,16,10,5
Raul Jimenez,FUL,F,0.73,24.5,3.64,36.5,5.42,1.49,-12.0,200,8,10,0,5,0,3,6,16,2,0,0,0,6,3,2,19,0,0,0,13,2,606,3.06,8,16,22,31
Luis Sinisterra,BOU,F,0.00,24.5,23.11,15.5,14.62,0.63,0.0,200,0,4,1,3,0,1,3,0,0,0,0,1,0,3,0,1,0,0,0,4,0,95,inf,5,4,4,4
Tahith Chong,LUT,M,0.45,24.5,4.49,23.0,4.21,0.94,-7.5,200,5,9,1,1,0,3,6,7,2,0,4,3,1,2,0,0,0,0,0,12,0,491,4.9,9,10,2,21
Ivan Perisic,TOT,M,0.00,24.5,23.79,22.5,21.84,0.92,-4.0,200,0,5,0,5,1,0,2,0,2,0,2,2,1,4,0,5,0,0,0,1,0,93,inf,8,5,9,3
Harvey Barnes,NEW,M,0.18,24.5,12.31,12.5,6.28,0.51,-4.0,200,2,6,1,2,1,2,0,4,1,0,0,1,0,3,0,1,0,0,0,2,1,179,12.25,6,2,4,7
Luke Shaw,MUN,D,0.18,22.75,11.38,23.25,11.62,1.02,-6.5,75,2,2,0,6,0,0,2,1,1,0,0,2,9,1,3,1,0,0,0,2,1,180,11.38,6,17,2,4
Kenny Tete,FUL,D,0.45,22.5,4.75,32.0,6.75,1.42,-21.5,200,5,5,0,1,0,0,6,3,2,0,4,7,16,5,1,3,0,0,0,8,2,427,4.5,5,32,8,13
Ryan Giles,LUT,M,0.27,22.5,7.31,22.5,7.31,1.0,0.0,200,3,5,0,4,0,1,3,0,0,0,6,1,7,2,0,1,0,0,0,8,0,277,7.5,11,11,3,8
Victor Lindelof,MUN,D,0.64,22.25,2.98,30.75,4.12,1.38,-21.5,200,7,9,0,6,1,0,2,3,1,0,0,6,11,1,4,3,0,0,0,9,1,672,3.18,7,24,4,13
Jan-Paul van Hecke,BHA,D,0.36,22.25,5.17,32.25,7.5,1.45,-10.0,200,4,6,0,0,0,1,2,0,1,0,0,6,13,1,8,10,0,0,0,4,0,387,5.56,1,29,11,5
Illia Zabarnyi,BOU,D,1.00,22.25,2.02,74.75,6.8,3.36,-58.5,200,11,11,0,0,0,1,10,1,2,0,0,12,39,7,13,21,0,0,0,27,1,990,2.02,1,75,28,30
Jayden Bogle,SHU,D,0.64,22.25,3.54,34.25,5.45,1.54,-35.0,200,7,8,1,2,1,1,5,6,1,0,2,7,13,2,1,8,0,0,0,15,1,566,3.18,7,27,10,22
Nicolo Zaniolo,AVL,M,0.55,22.0,4.74,35.0,7.54,1.59,-14.0,200,6,9,0,6,0,4,3,20,2,0,0,1,5,9,0,4,0,0,0,4,1,418,3.67,10,10,13,26
Julio Enciso,BHA,F,0.09,22.0,29.73,12.0,16.22,0.55,-2.0,136,1,2,0,2,2,1,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,67,22.0,5,0,6,2
Oscar Bobb,MCI,M,0.00,21.5,37.72,10.0,17.54,0.47,-0.5,200,0,4,0,3,2,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,51,inf,6,0,3,2
Mason Mount,MUN,M,0.36,21.0,5.48,25.0,6.53,1.19,-5.0,93,4,7,0,4,0,0,8,6,1,0,0,3,1,3,1,4,0,0,0,6,1,345,5.25,4,14,7,13
Toti,WOL,D,0.45,21.0,3.85,28.5,5.22,1.36,-14.5,200,5,8,0,1,1,0,7,1,0,0,0,5,10,2,5,5,0,0,0,7,0,491,4.2,2,27,7,8
Pelly Ruddock,LUT,M,0.45,20.5,3.73,24.5,4.46,1.2,-4.0,200,5,10,0,4,0,0,1,8,0,0,2,5,5,3,2,7,0,0,0,9,0,494,4.1,6,13,10,17
Pablo Fornals,WHU,M,0.09,20.0,11.11,21.0,11.67,1.05,-1.0,200,1,8,0,3,0,2,4,2,0,0,0,2,0,5,0,0,0,0,0,4,0,162,20.0,5,6,5,6
Joe Rothwell,BOU,M,0.27,20.0,5.1,21.0,5.36,1.05,-1.0,200,3,8,0,4,0,0,2,2,0,0,0,2,1,7,2,0,0,0,0,11,0,353,6.67,4,7,7,13
Emerson Royal,TOT,D,0.09,19.75,7.68,24.25,9.44,1.23,-14.5,200,1,8,1,0,0,1,8,1,0,0,0,3,13,3,3,2,0,0,0,7,0,231,19.75,2,27,5,8
Justin Kluivert,BOU,M,0.36,19.0,5.11,22.5,6.05,1.18,-3.5,200,4,8,0,4,0,1,1,7,0,0,1,4,1,6,0,1,0,0,0,8,0,335,4.75,6,6,7,15
Ryan Yates,NOT,M,0.27,19.0,4.83,23.5,5.98,1.24,-5.5,200,3,9,0,1,0,0,7,3,2,0,1,6,12,0,4,7,0,0,0,8,1,354,6.33,2,30,7,13
Hannibal Mejbri,MUN,M,0.09,19.0,14.84,11.5,8.98,0.61,-2.5,200,1,2,1,2,0,1,3,1,1,0,0,0,0,1,1,1,0,0,0,1,1,115,19.0,4,5,2,3
Emile Smith Rowe,ARS,M,0.09,19.0,16.81,13.5,11.95,0.71,-1.5,200,1,4,0,1,1,3,0,3,0,0,0,1,0,2,1,3,0,0,0,0,1,102,19.0,5,3,5,3
Ashley Young,EVE,D,0.91,18.5,2.01,58.0,6.31,3.14,-45.5,200,10,10,0,9,0,1,11,3,3,1,5,6,16,3,3,6,0,0,1,13,1,827,1.85,15,37,9,21
Dango Ouattara,BOU,F,0.18,18.5,8.01,21.5,9.31,1.16,-3.0,200,2,6,0,3,0,1,4,2,1,0,1,2,4,5,0,3,0,0,0,5,1,208,9.25,5,11,8,8
John Stones,MCI,D,0.27,18.0,6.36,11.0,3.89,0.61,-5.0,125,3,4,0,3,0,0,1,2,0,0,0,2,4,0,0,1,0,0,0,2,2,255,6.0,3,9,1,4
Matt Doherty,WOL,D,0.09,17.5,7.03,27.5,11.04,1.57,-10.0,200,1,5,0,4,0,0,1,0,0,0,1,2,10,2,1,10,0,0,0,5,0,224,17.5,5,14,12,5
James Milner,BHA,M,0.45,17.5,4.52,21.5,5.56,1.23,-5.0,200,5,7,0,3,0,0,7,2,2,0,1,5,10,1,0,3,0,0,0,7,1,348,3.5,4,23,4,11
Carlos Baleba,BHA,M,0.27,17.5,6.48,21.0,7.78,1.2,-3.5,200,3,5,0,1,0,1,5,3,1,0,0,6,3,2,2,4,0,0,0,6,0,243,5.83,2,16,6,10
Fabio Silva,WOL,F,0.27,17.0,6.03,23.0,8.16,1.35,-6.0,200,3,8,0,4,0,3,4,4,2,0,0,2,0,2,0,2,0,0,0,8,1,254,5.67,7,7,4,14
Andros Townsend,LUT,M,0.09,17.0,14.05,11.0,9.09,0.65,-1.0,200,1,3,0,2,1,0,4,2,0,0,2,0,2,1,0,0,0,0,0,2,1,109,17.0,5,7,1,4
Cauley Woodrow,LUT,F,0.00,17.0,22.97,19.0,25.68,1.12,-2.0,200,0,7,0,4,0,1,4,4,0,0,1,0,1,2,0,4,0,0,0,2,0,67,inf,6,5,6,6
