Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Pape Sarr,TOT,M,0.91,91.0,10.69,75.5,8.87,0.83,-8.5,115,10,11,1,12,2,8,12,5,3,0,0,8,9,8,4,7,0,0,0,7,3,766,9.1,23,36,15,15
Cole Palmer,CHE,M,0.45,91.0,16.13,56.0,9.93,0.62,-11.0,63,5,9,3,13,3,6,3,14,2,0,2,6,0,7,0,0,0,0,0,6,1,508,18.2,33,10,7,22
Bernardo Silva,MCI,M,0.64,91.0,12.89,58.0,8.22,0.64,-8.0,94,7,8,3,16,2,4,5,8,2,0,5,1,1,5,2,0,0,0,0,5,2,635,13.0,36,11,5,15
Carlton Morris,LUT,F,1.00,88.5,8.67,67.0,6.56,0.76,-11.5,84,11,11,3,7,1,7,3,19,1,0,0,0,11,10,0,52,0,0,0,20,1,919,8.05,24,15,62,40
Nathan Collins,BRF,D,0.91,88.0,8.72,82.0,8.13,0.93,-29.0,145,10,11,1,2,1,1,6,2,2,0,0,16,52,7,3,31,0,0,0,12,3,908,8.8,5,80,38,16
Bruno Guimaraes,NEW,M,1.00,88.0,8.32,86.0,8.13,0.98,-18.0,89,11,11,1,17,1,4,11,16,5,0,1,7,6,19,3,6,0,0,0,11,5,952,8.0,24,32,25,32
Vladimir Coufal,WHU,D,1.00,86.0,7.85,93.5,8.53,1.09,-41.5,88,11,11,0,14,4,0,19,3,0,0,8,15,26,2,4,11,0,0,0,20,1,986,7.82,26,65,13,23
Dominic Solanke,BOU,F,1.00,85.5,7.87,60.0,5.52,0.7,-16.5,60,11,11,4,9,1,10,1,29,1,0,1,2,13,10,1,14,0,0,0,25,1,978,7.77,37,18,24,55
James Garner,EVE,M,0.91,85.5,8.7,73.0,7.43,0.85,-4.5,100,10,11,1,13,1,4,15,5,1,0,4,8,11,5,2,10,0,0,0,14,2,885,8.55,23,38,15,20
Philip Billing,BOU,M,1.00,84.0,8.12,78.0,7.54,0.93,-10.0,106,11,11,1,12,1,3,13,12,2,0,3,13,21,5,5,18,0,0,0,24,1,931,7.64,20,53,23,38
Christian Norgaard,BRF,M,1.00,82.5,7.9,73.0,6.99,0.88,-8.5,98,11,11,1,10,1,3,19,5,3,0,2,14,21,2,2,16,0,0,0,14,3,940,7.5,17,59,18,22
Marcus Rashford,MUN,F,0.91,81.5,8.73,71.5,7.66,0.88,-11.0,26,10,10,1,12,2,7,2,18,1,0,0,0,5,24,1,9,0,1,0,16,2,841,8.15,22,10,33,35
