,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
4,vs AVL,LB,9,5.56,0.0,1.11,0.33,0.0,1.22,0.22,0.33,0.0,0.44,0.44,2.22,0.56,0.44,0.89,0.0,0.0,0.11,2.11,0.22,0.33,1.67,0.33,0.0,6.78,-4.89,0.44,1,20.36
16,vs BRF,LB,12,5.44,0.0,0.75,0.17,0.17,1.25,0.5,0.08,0.08,0.5,1.25,2.42,0.33,0.08,1.25,0.0,0.0,0.0,1.42,0.17,0.17,1.5,0.0,0.0,7.1,-3.83,0.5,1,10.36
39,vs LIV,RB,9,5.17,0.0,1.22,0.22,0.11,1.67,0.67,0.44,0.0,0.89,0.89,2.89,1.11,0.67,1.89,0.0,0.0,0.11,2.56,0.0,0.11,2.33,0.0,0.0,10.5,-6.89,0.44,1,21.78
38,vs LIV,LB,10,4.97,0.0,0.9,0.1,0.0,1.7,0.5,0.1,0.0,0.5,2.2,3.1,0.6,0.5,0.4,0.0,0.0,0.0,2.0,0.0,0.1,1.7,0.2,0.0,8.43,-4.05,0.4,1,13.44
71,vs WOL,CB,25,4.83,0.08,0.2,0.08,0.2,1.24,0.32,0.2,0.0,0.08,1.24,3.0,0.16,0.84,1.44,0.0,0.08,0.04,1.36,0.04,0.08,1.4,0.04,0.0,6.71,-3.48,0.52,1,13.42
64,vs TOT,LB,9,4.61,0.0,1.78,0.11,0.11,1.0,0.33,0.11,0.0,0.33,1.11,1.56,1.22,0.22,0.56,0.0,0.0,0.0,2.22,0.0,0.11,1.0,0.11,0.0,8.44,-4.61,0.67,1,21.36
23,vs CHE,LB,9,4.56,0.0,0.56,0.11,0.33,1.44,0.44,0.33,0.11,0.22,1.89,1.89,0.33,0.44,0.22,0.0,0.11,0.0,1.78,0.22,0.0,3.56,0.0,0.0,7.0,-4.56,0.56,1,15.75
47,vs MCI,RB,10,4.5,0.0,1.0,0.3,0.1,1.6,0.1,0.1,0.0,0.4,0.8,1.8,0.4,0.3,0.9,0.0,0.0,0.0,2.5,0.1,0.3,1.1,0.4,0.0,7.05,-5.25,0.5,1,18.03
36,vs FUL,WB,4,4.44,0.0,0.25,0.25,0.25,0.75,0.75,0.0,0.0,0.25,0.75,1.25,1.5,0.25,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,5.06,-2.38,0.5,1,12.44
5,vs AVL,RB,10,4.4,0.1,1.4,0.1,0.1,1.4,0.4,0.2,0.1,0.4,1.2,1.6,0.4,0.4,0.4,0.0,0.0,0.0,2.4,0.2,0.2,2.1,0.1,0.0,7.6,-6.1,0.5,1,15.78
