Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,90s,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats,deadball agg,position
Marcos Senesi,BOU,D,0.65,107.75,8.06,113.25,8.47,1.05,-63.5,200,13,17,2,9,2,2,14,7,5,0,6,15,57,5,16,21,0,0,0,25,4,1203,8.29,13.37,23,106,26,37,0.0,
Jarrad Branthwaite,EVE,D,0.85,107.75,6.34,135.75,7.99,1.26,-58.0,148,17,17,0,3,0,1,18,0,6,0,1,30,79,3,12,44,0,0,0,23,5,1530,6.34,17.0,5,144,47,29,8.0,CB
William Saliba,ARS,D,1.00,106.0,5.3,96.0,4.8,0.91,-49.0,123,20,20,1,4,1,2,14,10,2,0,0,12,40,2,9,37,0,0,0,20,7,1800,5.3,20.0,8,82,39,32,27.0,CB
Cody Gakpo,LIV,F,0.45,106.0,11.99,77.5,8.77,0.73,-4.5,74,9,18,3,10,1,10,7,9,0,0,0,5,6,17,2,13,0,0,0,10,3,796,11.78,8.84,30,23,30,19,0.0,
Fabian Schar,NEW,D,1.00,105.0,5.49,129.5,6.77,1.23,-67.5,58,20,20,0,4,1,2,16,7,3,0,1,18,74,10,17,35,0,1,0,29,6,1723,5.25,19.14,8,131,45,39,29.0,CB
Raul Jimenez,FUL,F,0.75,104.5,8.52,84.5,6.89,0.81,-25.0,200,15,17,5,9,0,13,9,24,3,1,0,3,11,8,2,37,0,0,0,23,4,1104,6.97,12.27,47,29,45,51,0.0,
Jefferson Lerma,CRY,M,0.75,103.5,7.14,105.5,7.28,1.02,-11.0,140,15,15,0,16,1,5,15,10,3,0,2,19,26,5,3,39,0,0,0,21,3,1304,6.9,14.49,24,66,44,34,19.0,DM
Kyle Walker,MCI,D,0.95,100.75,5.38,110.75,5.92,1.1,-47.0,200,19,19,0,15,1,1,13,6,1,0,13,14,23,11,3,19,0,0,0,21,5,1685,5.3,18.72,30,58,30,28,120.0,RB
Lyle Foster,BUR,F,0.50,100.5,10.18,61.0,6.18,0.61,-14.5,120,10,11,4,9,3,8,4,15,0,1,0,1,13,7,3,24,0,0,0,23,2,888,10.05,9.87,36,23,31,39,0.0,
Iyenoma Destiny Udogie,TOT,D,0.85,100.0,6.37,120.0,7.65,1.2,-68.0,47,17,17,1,15,2,3,22,14,5,1,0,20,40,12,6,14,0,0,0,22,4,1412,5.88,15.69,21,92,26,42,107.0,LB
Tom Cairney,FUL,M,0.45,99.0,11.09,65.0,7.28,0.66,-7.0,200,9,18,1,9,5,5,9,10,1,0,2,9,1,11,1,6,0,1,0,14,2,804,11.0,8.93,22,22,17,25,0.0,
