Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,90s,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats,deadball agg,position
Raheem Sterling,CHE,F,0.80,189.0,12.04,133.5,8.5,0.71,-25.5,32,16,18,5,22,6,12,8,31,5,0,9,9,3,35,0,1,0,2,0,25,3,1413,11.81,15.7,74,23,36,61,0.0,
Moussa Diaby,AVL,F,0.80,184.0,12.92,116.0,8.15,0.63,-10.0,23,16,20,4,27,7,14,2,20,0,0,8,5,3,18,0,2,0,0,0,20,4,1282,11.5,14.24,72,14,20,40,23.0,AM
James Maddison,TOT,M,0.55,181.0,18.49,124.5,12.72,0.69,-11.5,2,11,11,3,31,6,15,6,15,2,0,5,5,3,16,0,1,0,0,0,8,5,881,16.45,9.79,66,19,17,25,212.0,AM
Joao Pedro,BHA,F,0.45,177.5,14.17,127.5,10.18,0.72,-25.0,53,9,20,7,18,2,16,11,42,2,0,2,7,17,20,1,29,0,2,0,20,2,1128,19.72,12.53,87,38,49,64,0.0,
Anthony Elanga,NOT,F,0.70,177.5,11.82,115.0,7.66,0.65,-9.5,128,14,20,4,19,6,15,12,15,1,0,5,7,7,15,2,12,0,0,0,26,1,1352,12.68,15.02,61,29,27,42,0.0,
Abdoulaye Doucoure,EVE,M,0.85,176.0,11.02,124.0,7.76,0.7,-19.0,34,17,17,6,22,2,15,14,22,4,0,2,11,10,15,2,12,0,0,0,20,5,1437,10.35,15.97,77,42,27,46,10.0,FW
Conor Gallagher,CHE,M,0.95,174.0,9.8,162.5,9.15,0.93,-22.5,119,19,19,0,25,5,9,31,15,4,1,4,27,11,20,6,13,0,0,0,26,4,1598,9.16,17.76,43,79,33,46,59.0,CM
Joachim Andersen,CRY,D,1.00,173.25,8.66,184.25,9.21,1.06,-68.0,54,20,20,2,12,1,8,19,4,4,0,8,21,97,11,14,47,0,0,0,29,5,1800,8.66,20.0,33,156,58,37,50.0,CB
Lucas Paqueta,WHU,M,0.90,173.0,10.32,157.0,9.36,0.91,-36.0,49,18,18,2,26,5,6,32,48,6,0,3,13,14,29,0,32,0,0,0,24,4,1509,9.61,16.77,44,63,61,78,25.0,DM
Mohammed Kudus,WHU,M,0.50,168.5,15.93,120.0,11.34,0.71,-26.5,46,10,16,6,11,3,8,24,41,3,0,8,3,5,41,0,12,0,0,0,19,3,952,16.85,10.58,66,35,53,63,0.0,
Eberechi Eze,CRY,M,0.55,168.0,15.26,142.5,12.94,0.85,-16.5,19,11,14,3,27,2,14,8,25,2,0,7,5,2,34,1,7,0,1,0,14,3,991,15.27,11.01,59,19,41,41,137.0,AM
Kaoru Mitoma,BHA,M,0.65,167.5,11.43,125.5,8.56,0.75,-15.0,12,13,17,3,23,5,13,4,14,4,0,5,4,4,35,1,9,0,0,0,25,0,1319,12.88,14.66,55,13,44,43,0.0,
Gabriel Martinelli,ARS,M,0.85,166.0,11.63,140.0,9.81,0.84,-15.0,18,17,18,2,28,3,12,10,26,1,0,14,4,3,27,0,10,0,0,0,17,5,1284,9.76,14.27,61,22,37,44,47.0,LW
Marcus Tavernier,BOU,M,0.70,166.0,12.84,131.0,10.13,0.79,-12.0,81,14,16,2,24,4,11,13,20,1,0,9,4,10,31,1,6,0,0,0,22,5,1164,11.86,12.93,52,33,37,43,76.0,RW
Leon Bailey,AVL,F,0.40,165.0,17.48,98.0,10.38,0.59,-17.0,200,8,18,6,20,5,10,2,22,3,0,5,5,1,22,0,8,0,0,0,13,3,850,20.62,9.44,76,11,30,38,0.0,
Nicolas Jackson,CHE,F,0.80,165.0,10.29,124.5,7.77,0.75,-34.5,67,16,19,7,18,2,21,7,37,8,0,0,3,13,25,4,15,0,0,0,25,4,1443,10.31,16.03,90,31,40,70,28.0,FW
Dwight McNeil,EVE,M,0.80,163.5,10.78,134.0,8.84,0.82,-18.5,24,16,17,2,27,4,9,11,33,1,0,14,12,13,15,4,12,0,0,0,17,6,1364,10.22,15.16,58,46,27,51,73.0,LW
Alexander Isak,NEW,F,0.60,163.0,14.09,86.5,7.48,0.53,-4.5,35,12,15,9,11,0,18,0,9,0,0,0,3,3,22,0,3,0,1,0,20,3,1041,13.58,11.57,110,9,25,29,19.0,FW
Tomas Soucek,WHU,M,0.90,160.5,9.48,112.0,6.62,0.7,-7.5,71,18,19,5,6,1,10,15,7,2,0,1,20,47,1,15,56,0,0,0,24,5,1524,8.92,16.93,43,102,57,33,0.0,
Declan Rice,ARS,M,1.00,160.5,8.3,130.0,6.72,0.81,-9.5,66,20,20,3,15,1,7,24,11,2,0,2,30,34,13,7,20,0,0,0,19,7,1741,8.02,19.34,34,102,33,32,0.0,
Ethan Pinnock,BRF,D,0.95,160.0,8.42,195.5,10.29,1.22,-63.5,37,19,19,1,4,0,3,17,3,0,0,0,34,114,6,15,81,0,0,0,31,3,1710,8.42,19.0,8,183,87,34,40.0,CB
Jeremy Doku,MCI,F,0.45,159.0,20.76,119.5,15.6,0.75,-8.5,38,9,11,2,19,5,7,14,9,2,0,4,5,2,44,0,1,0,0,0,11,0,689,17.67,7.66,39,21,45,22,0.0,
Rodri,MCI,M,0.80,156.0,10.32,121.5,8.04,0.78,-24.5,36,16,16,4,16,3,12,19,11,6,1,0,14,18,17,3,21,0,1,0,16,5,1360,9.75,15.11,47,59,38,34,22.0,DM
Antonee Robinson,FUL,D,0.95,155.75,8.46,200.75,10.9,1.29,-90.0,130,19,19,0,18,3,2,31,8,4,0,15,52,51,22,2,26,0,0,2,34,4,1658,8.2,18.42,38,140,48,48,123.0,LB
Lucas Digne,AVL,D,0.90,154.75,9.16,159.25,9.43,1.03,-55.5,113,18,18,0,29,3,3,13,11,5,0,22,19,33,4,0,29,0,0,0,20,5,1520,8.6,16.89,57,70,33,36,206.0,LB
Pedro Neto,WOL,F,0.50,153.5,15.44,107.5,10.81,0.7,-11.0,33,10,11,1,25,8,6,2,10,3,0,16,3,2,23,1,1,0,0,0,17,1,895,15.35,9.94,56,9,24,30,100.0,RM
Michael Olise,CRY,M,0.35,152.5,20.39,108.5,14.51,0.71,-7.0,39,7,9,5,20,1,9,8,14,0,0,12,5,7,24,0,3,0,0,0,14,0,673,21.79,7.48,67,20,27,28,81.0,RW
Jordan Ayew,CRY,F,0.90,151.5,8.84,144.0,8.4,0.95,-40.5,118,18,19,2,15,5,12,21,51,4,1,8,11,8,36,2,24,0,0,0,20,7,1543,8.42,17.14,44,49,60,76,0.0,
Andreas Pereira,FUL,M,0.85,150.5,10.29,117.5,8.04,0.78,-18.0,102,17,20,1,37,6,4,6,24,3,0,8,3,7,12,2,9,0,0,0,22,6,1316,8.85,14.62,56,24,21,49,199.0,LM
James Garner,EVE,M,0.90,149.5,8.38,139.5,7.82,0.93,-10.0,100,18,19,1,23,1,8,26,8,3,0,4,23,25,10,7,15,0,0,0,27,5,1605,8.31,17.83,37,86,25,38,90.0,RM
Yoane Wissa,BRF,F,0.90,149.0,8.7,111.5,6.51,0.75,-10.5,48,18,19,4,15,2,15,11,13,2,0,4,6,8,13,2,27,0,1,0,24,6,1542,8.28,17.13,52,33,40,39,0.0,
Bruno Guimaraes,NEW,M,0.95,148.5,7.99,151.0,8.13,1.02,-30.5,89,19,19,1,26,2,6,25,29,8,0,2,16,10,34,6,8,0,0,0,27,7,1672,7.82,18.58,37,64,42,64,31.0,CM
Simon Adingra,BHA,F,0.65,147.5,11.71,116.0,9.21,0.79,-10.5,69,13,17,4,18,1,11,11,13,2,0,7,12,9,25,0,6,0,0,0,23,0,1134,11.35,12.6,53,32,31,38,0.0,
Vladimir Coufal,WHU,D,0.95,145.5,7.69,158.5,8.37,1.09,-72.0,88,19,19,0,20,5,0,30,8,4,0,13,26,54,6,8,22,0,0,0,30,4,1704,7.66,18.93,38,122,28,42,155.0,RB
Ryan Christie,BOU,M,0.90,143.0,8.7,140.5,8.55,0.98,-14.5,200,18,19,0,21,2,9,21,21,2,0,6,21,14,24,4,9,0,0,0,28,5,1479,7.94,16.43,38,65,33,51,39.0,AM
