,team,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
10,LIV,18,68.82,1.39,8.33,1.33,4.28,5.11,4.78,0.61,0.06,1.33,3.78,5.72,4.56,1.11,7.94,0.17,0.22,0.0,4.33,2.33,2.39,7.72,1.17,0.17,49.32,-8.22,5.56,10,21.79
14,NEW,19,62.99,1.21,6.63,0.89,3.26,5.58,5.37,1.21,0.0,2.0,3.95,6.89,5.21,2.05,7.26,0.0,0.16,0.0,4.68,3.21,2.0,8.74,0.74,0.16,46.57,-9.11,5.74,11,18.3
12,MCI,16,58.55,1.5,6.62,1.31,3.12,3.56,3.81,0.62,0.06,1.19,3.5,6.69,5.75,1.0,4.88,0.0,0.06,0.0,5.38,2.0,2.62,7.25,0.81,0.06,39.7,-8.59,6.0,10,32.86
1,AVL,16,58.22,1.31,7.06,1.38,3.56,4.88,6.25,1.62,0.0,1.75,3.38,7.31,4.88,1.75,5.44,0.0,0.19,0.06,6.38,2.12,2.19,11.56,0.62,0.25,43.78,-11.81,6.75,11,17.88
0,ARS,18,51.28,0.89,6.72,0.89,2.89,4.67,4.78,0.5,0.0,1.39,3.94,4.78,3.44,1.11,6.56,0.0,0.0,0.0,4.78,1.83,1.56,5.72,1.17,0.11,39.78,-7.28,5.33,10,20.63
8,EVE,20,50.42,0.75,5.65,0.4,3.25,6.3,4.5,0.95,0.0,2.0,5.25,9.3,3.45,1.8,8.2,0.0,0.0,0.05,6.25,2.25,1.05,9.45,1.0,0.0,44.52,-9.1,6.0,11,14.96
17,TOT,20,47.98,0.9,6.8,0.7,3.4,6.35,4.3,1.0,0.05,0.9,3.95,6.5,4.6,1.4,3.85,0.0,0.05,0.0,5.3,1.35,1.5,8.0,1.15,0.05,42.32,-9.7,4.95,11,26.43
19,WOL,18,47.69,0.78,4.56,0.94,2.39,6.94,5.61,1.11,0.11,1.28,4.61,10.11,7.94,2.78,5.56,0.0,0.06,0.0,8.89,1.39,1.61,10.83,1.33,0.0,44.44,-14.14,6.17,11,17.29
18,WHU,18,46.11,0.78,4.06,0.72,2.11,6.17,5.5,1.11,0.06,1.72,5.11,11.22,4.0,2.33,8.56,0.0,0.11,0.0,5.89,1.67,1.39,8.78,0.89,0.11,39.69,-10.25,5.56,10,19.41
9,FUL,18,45.31,0.61,5.5,0.67,1.89,5.0,4.83,0.89,0.06,1.83,5.5,7.94,3.67,0.83,7.61,0.0,0.06,0.06,5.56,2.22,1.11,7.61,0.83,0.11,39.39,-9.86,5.61,10,13.78
6,CHE,20,45.09,0.85,5.15,0.8,2.35,4.55,5.5,1.35,0.05,0.95,4.45,9.15,4.55,1.85,6.45,0.0,0.1,0.0,6.05,1.7,1.4,9.75,1.35,0.2,38.89,-11.3,5.45,10,21.81
7,CRY,17,44.09,0.76,5.35,0.53,2.53,7.47,7.41,1.06,0.06,1.88,4.24,12.24,5.94,1.82,7.53,0.0,0.06,0.06,8.35,1.35,1.29,10.53,0.71,0.06,45.03,-14.53,6.41,11,20.78
2,BHA,21,43.93,0.76,6.38,0.76,3.05,4.05,4.24,0.62,0.05,1.71,3.48,5.38,3.48,1.43,5.67,0.0,0.1,0.05,5.29,1.14,1.38,6.52,0.9,0.14,38.57,-7.74,4.9,10,19.27
11,LUT,20,43.55,0.7,4.8,0.8,1.8,5.1,4.2,0.95,0.0,1.7,4.6,11.0,5.55,1.75,8.2,0.0,0.0,0.0,7.25,1.25,1.4,8.9,0.8,0.05,39.7,-9.9,5.35,11,14.14
15,NOT,23,38.83,0.57,4.3,0.7,1.7,5.61,2.74,0.57,0.04,1.39,3.87,11.09,2.96,1.96,8.13,0.0,0.0,0.0,6.52,0.78,1.22,6.35,1.13,0.04,34.8,-7.24,4.83,10,19.67
4,BRF,19,38.3,0.68,4.47,0.74,1.84,4.26,3.05,0.63,0.0,1.79,3.79,10.26,2.42,1.53,9.05,0.0,0.05,0.0,8.21,0.68,1.16,6.0,0.63,0.05,35.41,-9.32,4.95,10,19.74
13,MUN,22,36.24,0.55,5.5,0.45,2.27,4.86,4.05,0.77,0.0,1.18,3.55,7.0,4.59,1.5,4.14,0.05,0.09,0.0,7.59,0.82,0.91,6.82,1.36,0.05,35.94,-9.84,4.77,11,17.72
3,BOU,21,32.55,0.48,3.57,0.24,1.81,5.43,4.48,0.62,0.05,0.9,4.05,7.14,4.81,1.38,5.19,0.0,0.05,0.0,6.19,1.43,0.67,7.38,0.62,0.05,32.31,-9.24,4.71,10,16.26
5,BUR,20,27.4,0.5,3.8,0.4,1.6,4.0,3.3,0.55,0.0,0.9,3.3,6.7,3.75,1.8,6.35,0.0,0.05,0.05,9.3,0.8,0.85,5.8,0.8,0.05,30.65,-11.7,4.8,9,12.2
16,SHU,21,24.05,0.38,3.24,0.38,1.38,4.62,3.9,1.48,0.0,0.86,4.29,12.29,3.0,2.14,7.57,0.0,0.05,0.05,10.57,0.43,0.57,10.0,0.67,0.1,32.38,-15.52,4.95,11,10.44
