,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
21,TOT,AM,1,18.21,0.32,3.16,0.58,1.58,0.63,1.47,0.21,0.0,0.47,0.32,0.26,1.63,0.0,0.11,0.0,0.0,0.0,0.74,0.47,0.84,1.42,0.05,0.0,12.58,-1.16,0.42,1.0,53.33
14,MCI,LM,2,16.25,0.0,4.5,0.75,0.75,1.0,1.25,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.75,2.0,0.0,0.0,12.62,-1.12,0.0,1.0,4.5
11,MCI,AM,1,16.15,0.46,2.15,0.62,1.46,0.46,0.62,0.31,0.0,0.38,0.15,0.15,0.69,0.0,0.0,0.0,0.15,0.0,0.77,0.23,0.77,2.0,0.0,0.0,9.23,-0.92,0.46,1.0,50.91
10,LIV,RM,1,13.43,0.13,2.8,0.4,0.33,0.93,0.87,0.13,0.0,0.27,0.73,0.8,1.4,0.0,0.13,0.0,0.27,0.0,0.8,0.33,0.27,1.6,0.27,0.0,10.2,-0.7,0.6,1.0,38.0
13,MCI,DM,5,12.38,0.31,1.16,0.38,1.0,1.5,0.62,0.25,0.0,0.16,0.34,0.84,0.91,0.06,0.88,0.0,0.03,0.0,0.56,0.44,0.66,2.06,0.25,0.0,7.69,-0.94,0.44,1.0,24.1
16,MUN,AM,3,11.88,0.12,3.0,0.25,0.75,1.0,0.88,0.38,0.0,0.38,0.25,1.25,0.75,0.12,0.62,0.0,0.0,0.0,1.62,0.12,0.38,2.38,0.38,0.12,10.31,-1.19,0.5,1.0,39.92
2,ARS,RM,2,11.16,0.32,1.63,0.21,1.05,0.53,1.84,0.11,0.0,0.42,0.42,0.11,0.74,0.0,0.16,0.0,0.11,0.0,0.74,0.47,0.42,0.84,0.11,0.21,7.76,-1.13,0.58,1.0,36.67
7,CHE,RM,1,10.5,0.0,1.0,0.5,0.0,2.5,1.0,0.0,0.0,0.5,1.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,7.5,-0.5,0.0,1.0,27.75
3,CHE,AM,5,9.47,0.21,1.58,0.21,0.53,0.89,2.63,0.11,0.0,0.68,0.26,0.32,1.05,0.11,0.42,0.0,0.11,0.0,1.05,0.32,0.32,1.05,0.32,0.0,7.63,-1.53,0.79,1.0,32.69
18,MUN,DM,5,8.34,0.19,1.03,0.06,0.5,1.62,1.19,0.12,0.0,0.06,0.69,1.38,0.41,0.59,1.0,0.0,0.0,0.0,1.5,0.19,0.25,1.69,0.22,0.0,6.94,-0.84,0.5,1.0,22.4
1,ARS,LM,4,7.65,0.24,1.12,0.06,0.29,0.82,0.82,0.24,0.0,0.24,0.76,0.71,0.24,0.29,1.18,0.0,0.0,0.0,0.59,0.53,0.29,2.18,0.35,0.12,5.76,-0.88,0.53,1.0,19.85
22,TOT,DM,4,7.32,0.06,0.83,0.06,0.61,1.53,1.17,0.44,0.0,0.0,1.28,1.14,1.28,0.31,0.64,0.0,0.0,0.0,0.86,0.36,0.11,2.61,0.0,0.0,7.6,-1.47,0.44,1.0,22.82
0,ARS,CM,2,7.24,0.12,0.53,0.06,0.47,1.29,0.35,0.12,0.0,0.0,1.24,0.82,0.47,0.35,0.71,0.0,0.0,0.0,0.71,0.53,0.18,0.94,0.0,0.0,5.71,-0.41,0.53,1.0,17.92
15,MCI,RM,2,7.12,0.0,1.5,0.0,0.75,0.0,2.25,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,-1.12,0.0,1.0,5.5
6,CHE,LM,1,6.75,0.0,0.5,0.0,1.0,2.0,2.0,0.5,0.0,0.0,1.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.0,8.25,-2.0,0.0,1.0,16.0
