,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,ghost points,negative fpts,home,gp
35,CRY,RM,4,10.5,0.2,1.2,0.2,0.6,1.0,1.0,0.0,0.0,0.4,0.6,0.4,1.6,0.2,0.4,0.0,0.0,0.0,0.4,2,0.2,0.2,0.2,0.0,7.1,-0.5,3,5
36,EVE,CM,5,6.26,0.05,0.9,0.0,0.38,1.43,0.52,0.0,0.0,0.1,0.52,0.52,0.52,0.05,1.62,0.0,0.0,0.0,1.48,2,0.05,1.29,0.1,0.0,5.74,-0.26,13,21
37,EVE,DM,2,1.17,0.0,0.0,0.0,0.0,0.67,1.0,0.33,0.0,0.0,0.33,0.33,0.67,0.33,0.33,0.0,0.0,0.0,1.0,0,0.0,1.67,0.0,0.0,1.17,-1.17,2,3
38,EVE,LM,4,8.35,0.1,1.4,0.1,0.8,0.3,1.1,0.0,0.0,0.6,0.4,0.1,1.2,0.2,0.4,0.0,0.0,0.0,1.0,2,0.2,0.4,0.4,0.0,6.75,-0.55,6,10
39,EVE,RM,5,8.06,0.11,1.33,0.22,0.22,1.0,0.67,0.11,0.0,0.44,0.44,0.22,0.89,0.11,0.33,0.0,0.0,0.0,0.78,1,0.33,1.11,0.11,0.0,5.61,-0.56,5,9
40,FUL,CM,3,4.83,0.11,0.22,0.0,0.11,1.56,0.89,0.33,0.0,0.0,1.22,1.33,0.44,0.11,1.22,0.0,0.0,0.0,1.56,3,0.11,2.22,0.11,0.0,3.5,-1.11,5,9
41,FUL,LM,6,4.12,0.06,0.75,0.19,0.25,0.06,1.0,0.06,0.0,0.06,0.12,0.31,0.38,0.0,0.5,0.0,0.0,0.0,0.81,3,0.12,0.69,0.0,0.0,2.25,-0.62,8,16
42,FUL,RM,5,3.54,0.0,1.08,0.08,0.0,0.58,0.83,0.25,0.0,0.17,0.25,0.42,0.0,0.33,0.42,0.0,0.0,0.0,1.0,3,0.08,1.42,0.0,0.0,2.79,-0.92,7,12
43,LIV,CM,5,3.03,0.0,0.29,0.06,0.12,0.94,0.65,0.18,0.06,0.12,0.82,0.53,0.53,0.29,0.35,0.0,0.0,0.0,0.82,1,0.06,2.0,0.0,0.0,2.62,-1.09,6,17
44,LIV,LM,7,2.19,0.0,0.31,0.08,0.15,0.62,1.08,0.08,0.08,0.0,0.23,0.77,0.85,0.0,0.46,0.0,0.0,0.0,0.54,1,0.0,1.77,0.23,0.0,1.65,-1.23,5,13
45,LIV,RM,3,7.41,0.09,1.55,0.27,0.18,0.64,0.45,0.18,0.09,0.09,0.55,0.64,0.82,0.09,0.18,0.0,0.18,0.0,0.55,1,0.09,2.27,0.18,0.0,4.86,-1.23,5,11
46,LUT,AM,3,3.6,0.0,0.6,0.0,0.2,0.6,1.8,0.4,0.0,0.6,0.4,0.6,1.0,0.2,1.8,0.0,0.0,0.0,1.2,0,0.0,1.8,0.6,0.0,3.6,-1.7,3,5
47,LUT,CM,8,3.36,0.0,0.71,0.0,0.07,0.96,0.71,0.14,0.0,0.14,0.54,0.43,0.36,0.18,0.5,0.0,0.0,0.0,1.43,0,0.0,1.57,0.0,0.0,3.36,-0.64,13,28
48,LUT,LM,3,6.0,0.0,1.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0,0.0,0.5,0.0,0.0,6.0,-0.25,3,4
49,LUT,RM,5,1.7,0.0,0.0,0.2,0.0,0.4,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0.0,1.0,0.2,0.0,0.3,-0.7,3,5
50,MCI,AM,2,12.56,0.38,1.62,0.5,1.12,0.38,0.62,0.25,0.0,0.25,0.12,0.12,0.5,0.0,0.0,0.0,0.12,0.0,0.62,1,0.62,1.62,0.0,0.0,6.19,-0.81,4,8
