,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,ghost points,negative fpts,home,gp
0,AVL,FW,6,9.56,0.33,1.06,0.39,0.72,0.17,0.78,0.06,0.0,0.06,0.06,0.28,0.39,0.06,0.44,0.0,0.11,0.0,0.94,2,0.56,0.5,0.11,0.0,4.22,-0.5,6,1
1,AVL,LW,3,5.93,0.29,0.57,0.0,0.57,0.14,1.86,0.14,0.0,0.14,0.14,0.43,1.29,0.0,0.57,0.0,0.0,0.0,0.71,2,0.29,1.57,0.0,0.0,3.07,-1.21,4,1
2,AVL,RW,3,6.21,0.14,0.86,0.29,0.14,0.29,1.14,0.14,0.0,0.29,0.43,0.0,0.86,0.0,0.14,0.0,0.0,0.0,0.71,2,0.43,1.43,0.0,0.0,3.07,-0.86,3,1
3,BHA,FW,5,8.93,0.5,0.79,0.07,1.07,0.29,1.21,0.14,0.0,0.0,0.14,0.64,0.5,0.07,0.36,0.0,0.0,0.0,1.29,3,0.57,1.57,0.43,0.0,4.0,-0.89,7,1
4,BHA,LW,3,12.22,0.33,1.89,0.33,0.56,0.22,0.56,0.22,0.0,0.33,0.67,0.11,1.67,0.0,0.33,0.0,0.0,0.0,1.11,0,0.67,1.44,0.44,0.0,7.22,-0.72,6,1
5,BHA,RW,5,9.77,0.38,0.54,0.08,0.85,1.15,0.92,0.08,0.0,0.31,1.08,0.46,0.92,0.0,0.46,0.0,0.0,0.0,1.0,2,0.46,1.54,0.62,0.0,5.69,-0.77,9,1
6,BOU,FW,2,6.82,0.27,0.91,0.09,0.82,0.09,2.0,0.09,0.0,0.09,0.18,0.73,0.64,0.09,0.91,0.0,0.0,0.0,1.64,1,0.36,1.18,0.18,0.0,3.82,-1.18,5,1
7,BOU,LW,6,3.1,0.0,0.4,0.07,0.33,0.4,1.0,0.07,0.0,0.07,0.4,0.47,0.87,0.0,0.27,0.0,0.0,0.0,1.13,1,0.07,1.4,0.4,0.0,2.7,-0.63,8,1
8,BOU,RW,5,5.72,0.12,0.69,0.06,0.5,0.38,0.88,0.12,0.0,0.19,0.19,0.25,1.5,0.06,0.31,0.0,0.0,0.0,1.12,1,0.12,1.19,0.0,0.0,4.16,-0.69,8,1
9,BRF,FW,7,5.97,0.17,0.44,0.11,0.61,0.39,0.56,0.11,0.0,0.06,0.39,0.33,0.5,0.11,1.28,0.0,0.06,0.0,1.0,2,0.22,1.22,0.33,0.06,3.81,-0.5,8,1
10,BRF,LW,2,6.25,0.17,0.5,0.17,0.33,0.17,0.83,0.0,0.0,0.33,0.33,0.83,0.67,0.0,1.67,0.0,0.0,0.0,1.0,1,0.17,1.33,0.33,0.0,3.58,-0.42,4,1
11,BRF,RW,1,13.9,0.6,2.0,0.0,1.0,0.6,1.6,0.2,0.0,1.6,0.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,1.4,1,0.6,1.8,0.0,0.2,8.5,-1.2,3,1
12,CRY,FW,2,7.46,0.25,0.75,0.25,0.83,0.25,2.0,0.0,0.0,0.0,0.17,0.67,0.58,0.0,1.08,0.0,0.0,0.0,0.58,5,0.5,0.92,0.42,0.0,3.71,-1.0,7,1
13,CRY,LW,5,5.36,0.0,0.91,0.0,0.55,0.55,1.27,0.09,0.0,0.09,0.36,0.27,1.55,0.0,0.91,0.0,0.0,0.0,0.73,3,0.0,1.18,0.0,0.0,5.09,-0.82,5,1
14,CRY,RW,3,7.47,0.0,1.12,0.25,0.5,1.12,2.5,0.25,0.0,0.25,0.5,0.62,1.75,0.0,1.62,0.0,0.0,0.0,0.88,3,0.25,2.38,0.25,0.0,5.97,-1.75,3,1
15,EVE,FW,7,6.91,0.22,0.78,0.04,0.87,0.22,1.04,0.09,0.0,0.04,0.13,0.35,0.7,0.04,1.83,0.0,0.0,0.0,0.83,4,0.22,0.96,0.3,0.0,4.65,-0.7,15,1
16,EVE,LW,2,-0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,0.0,0.0,0.5,0.0,-0.25,-0.5,2,1
17,EVE,RW,1,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,4.0,0.0,1,1
18,FUL,FW,4,3.4,0.07,0.6,0.0,0.4,0.33,1.6,0.07,0.0,0.0,0.07,0.47,0.47,0.13,1.47,0.0,0.0,0.0,0.87,2,0.07,0.6,0.67,0.0,2.8,-0.93,8,1
19,FUL,LW,3,6.91,0.18,0.82,0.18,0.73,0.36,0.55,0.18,0.0,0.09,0.27,0.27,0.64,0.09,0.55,0.0,0.0,0.0,1.09,2,0.18,1.18,0.0,0.0,4.18,-0.64,5,1
20,FUL,RW,4,3.57,0.07,0.5,0.0,0.36,0.5,0.79,0.0,0.0,0.29,0.14,0.14,0.43,0.0,0.21,0.0,0.0,0.0,0.93,3,0.07,0.43,0.0,0.0,2.79,-0.39,7,1
21,NEW,FW,3,10.1,0.67,0.27,0.0,1.47,0.0,0.93,0.07,0.0,0.0,0.0,0.13,1.13,0.0,0.2,0.0,0.0,0.0,0.73,4,0.67,0.93,0.2,0.13,4.1,-0.6,7,1
22,NEW,LW,4,7.82,0.21,0.79,0.29,0.64,0.43,0.93,0.36,0.0,0.14,0.21,0.14,1.07,0.0,0.43,0.0,0.07,0.0,0.64,4,0.43,1.86,0.0,0.0,3.89,-1.18,6,1
23,NEW,RW,4,5.31,0.15,0.46,0.15,0.31,0.62,0.69,0.15,0.0,0.08,0.38,0.31,0.62,0.0,0.08,0.0,0.08,0.0,0.54,3,0.23,0.92,0.15,0.0,2.77,-0.65,7,1
24,NOT,FW,4,5.38,0.24,0.76,0.12,0.24,0.18,0.82,0.06,0.0,0.0,0.06,0.47,0.35,0.0,1.0,0.0,0.0,0.0,0.59,2,0.35,0.71,0.35,0.0,2.56,-0.53,6,1
25,NOT,LW,4,6.75,0.12,1.12,0.0,0.38,0.38,0.25,0.0,0.0,0.25,0.12,0.38,1.75,0.0,0.5,0.0,0.0,0.0,0.62,1,0.12,0.75,0.38,0.0,5.62,-0.12,5,1
26,NOT,RW,5,5.14,0.0,1.0,0.14,0.14,0.57,0.57,0.0,0.0,0.29,0.0,0.29,1.0,0.0,0.57,0.0,0.0,0.0,0.71,1,0.14,0.14,0.14,0.0,4.14,-0.29,4,1
27,WHU,FW,3,4.08,0.15,0.31,0.08,0.23,0.15,0.92,0.15,0.0,0.0,0.08,0.15,1.08,0.31,0.62,0.0,0.0,0.0,0.69,4,0.23,1.31,0.46,0.0,2.23,-0.77,5,1
28,WHU,LW,3,3.21,0.0,0.42,0.0,0.33,0.42,1.17,0.17,0.0,0.17,0.42,0.33,1.17,0.0,0.58,0.0,0.0,0.0,1.17,2,0.0,1.25,0.17,0.0,3.04,-0.92,7,1
29,WHU,RW,3,9.65,0.4,0.5,0.0,1.0,1.1,0.9,0.1,0.0,0.0,0.5,0.3,1.4,0.0,1.2,0.0,0.0,0.0,1.3,1,0.4,0.9,0.7,0.0,5.95,-0.65,7,1
30,WOL,FW,5,5.36,0.09,0.77,0.09,0.45,0.55,1.14,0.09,0.0,0.05,0.18,0.23,1.05,0.18,0.5,0.0,0.0,0.0,0.91,3,0.18,0.95,0.32,0.0,3.95,-0.75,9,1
31,WOL,LW,3,9.42,0.33,0.83,0.17,0.33,0.5,0.5,0.17,0.0,0.33,0.5,0.17,2.0,0.33,0.0,0.0,0.0,0.0,1.0,0,0.5,1.5,0.17,0.0,5.42,-0.58,4,1
32,WOL,RW,3,6.62,0.25,0.75,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0,0.5,1.5,0.25,0.0,1.38,-1.75,4,1
