,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
2,RB,46,5.27,0.02,0.76,0.12,0.1,1.1,0.38,0.2,0.02,0.46,0.75,1.64,0.61,0.32,0.72,0.0,0.0,0.01,1.16,0.2,0.13,1.57,0.06,0.0,3.85,-2.95,0.52,1,16.73
1,LB,59,4.9,0.02,0.73,0.09,0.14,0.97,0.46,0.21,0.01,0.37,0.87,1.82,0.46,0.28,0.88,0.0,0.01,0.02,1.19,0.19,0.1,1.64,0.08,0.0,3.76,-3.08,0.5,1,16.35
3,WB,32,4.67,0.07,0.82,0.09,0.22,0.71,0.51,0.2,0.0,0.47,0.47,1.31,0.51,0.18,0.78,0.0,0.0,0.0,1.2,0.07,0.15,1.38,0.16,0.0,3.58,-2.44,0.36,1,14.26
0,CB,93,4.58,0.04,0.27,0.03,0.13,0.74,0.16,0.15,0.01,0.04,0.92,3.34,0.24,0.78,1.85,0.0,0.0,0.01,1.35,0.17,0.06,1.18,0.04,0.0,3.51,-3.19,0.48,1,14.65
