,team,ftx_position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
3,AVL,D,5,6.09,0.06,0.64,0.08,0.29,0.91,0.33,0.18,0.0,0.36,0.88,2.23,0.47,0.38,0.94,0.0,0.02,0.02,1.18,0.26,0.11,1.32,0.06,0.0,6.38,-2.97,0.48,1,18.05
55,WHU,F,2,6.08,0.17,0.5,0.17,0.33,0.33,1.17,0.17,0.0,0.08,0.08,0.08,1.42,0.25,1.33,0.0,0.0,0.0,1.17,0.33,0.33,1.58,0.42,0.0,4.5,-0.92,0.42,1,16.7
21,CRY,D,6,6.06,0.04,0.37,0.04,0.12,1.13,0.19,0.16,0.0,0.25,0.81,3.96,0.42,0.58,1.67,0.0,0.0,0.01,1.42,0.3,0.09,1.25,0.01,0.0,6.84,-3.34,0.51,1,18.4
27,FUL,D,7,5.82,0.05,0.31,0.05,0.11,1.03,0.34,0.17,0.03,0.28,1.86,2.83,0.56,0.33,1.48,0.0,0.0,0.03,1.53,0.31,0.09,1.59,0.09,0.0,7.1,-3.95,0.5,1,14.88
35,LUT,M,8,5.81,0.02,0.93,0.1,0.15,1.0,0.83,0.19,0.0,0.41,0.69,1.14,0.86,0.25,0.78,0.0,0.0,0.0,1.78,0.05,0.1,1.54,0.03,0.0,5.78,-0.79,0.53,1,16.43
17,BUR,M,5,5.77,0.05,0.93,0.05,0.19,1.05,0.72,0.23,0.0,0.19,0.98,1.37,0.26,0.37,1.51,0.0,0.0,0.0,1.77,0.07,0.09,1.86,0.05,0.0,5.83,-0.83,0.44,1,17.82
59,WOL,M,7,5.76,0.05,0.76,0.07,0.22,1.32,0.98,0.32,0.05,0.27,1.0,0.8,1.1,0.17,0.73,0.0,0.0,0.0,1.44,0.17,0.1,2.63,0.22,0.0,6.17,-1.46,0.51,1,16.97
50,SHU,M,7,5.72,0.07,0.74,0.04,0.28,1.3,0.8,0.2,0.0,0.19,0.74,1.57,0.56,0.19,1.06,0.0,0.0,0.0,2.2,0.11,0.09,1.63,0.07,0.02,5.53,-0.81,0.56,1,16.41
18,CHE,D,8,5.61,0.05,0.58,0.09,0.18,1.0,0.36,0.17,0.03,0.12,0.82,2.7,0.39,0.55,1.97,0.0,0.0,0.0,1.48,0.2,0.14,1.52,0.14,0.0,7.04,-3.7,0.53,1,16.81
36,MCI,D,7,5.45,0.06,0.51,0.03,0.22,0.75,0.37,0.09,0.01,0.18,0.93,1.96,0.3,0.37,1.13,0.0,0.0,0.01,1.06,0.28,0.09,1.18,0.06,0.0,5.61,-2.66,0.42,1,14.48
49,SHU,F,5,5.18,0.12,0.8,0.08,0.52,0.28,1.64,0.2,0.04,0.04,0.12,0.56,0.96,0.12,1.92,0.0,0.0,0.0,1.84,0.04,0.16,1.84,0.56,0.04,5.12,-1.5,0.6,1,14.0
54,WHU,D,8,4.5,0.05,0.56,0.11,0.12,1.06,0.22,0.2,0.02,0.3,1.12,3.45,0.3,0.59,1.58,0.0,0.02,0.02,1.81,0.06,0.14,1.5,0.03,0.0,7.22,-4.33,0.44,1,14.2
57,WOL,D,8,4.41,0.0,0.47,0.03,0.14,1.15,0.68,0.22,0.0,0.15,0.88,3.15,0.75,0.65,1.74,0.0,0.0,0.0,1.54,0.12,0.03,1.68,0.08,0.0,7.33,-3.87,0.51,1,11.83
9,BOU,D,7,4.33,0.03,0.33,0.06,0.06,1.14,0.35,0.16,0.0,0.27,0.81,2.84,0.52,0.83,1.22,0.0,0.0,0.02,1.84,0.25,0.1,1.54,0.05,0.0,6.3,-4.25,0.51,1,10.57
33,LUT,D,7,4.31,0.07,0.37,0.07,0.17,1.18,0.25,0.18,0.0,0.17,1.32,3.88,0.35,0.8,1.6,0.0,0.0,0.02,1.85,0.0,0.12,1.63,0.02,0.0,7.45,-4.28,0.48,1,13.02
6,BHA,D,7,3.96,0.04,0.54,0.1,0.21,0.96,0.17,0.27,0.02,0.17,0.94,2.44,0.23,0.77,1.94,0.0,0.0,0.02,1.71,0.0,0.15,1.65,0.04,0.0,7.11,-4.29,0.56,1,9.78
15,BUR,D,8,2.27,0.02,0.36,0.08,0.08,0.86,0.38,0.25,0.02,0.11,0.89,3.19,0.27,0.64,1.69,0.0,0.0,0.02,2.03,0.06,0.09,1.66,0.02,0.0,6.12,-4.94,0.5,1,6.47
48,SHU,D,10,1.97,0.0,0.21,0.07,0.06,1.04,0.43,0.32,0.0,0.15,1.17,3.89,0.33,0.71,1.65,0.0,0.01,0.0,2.33,0.07,0.03,2.11,0.1,0.0,6.58,-5.52,0.57,1,2.75
