Player,Team,Position,RkOv_gw1,RkOv_gw2,RkOv_gw3,RkOv_gw4,RkOv_gw5,RkOv_gw6,RkOv_gw7,RkOv_gw8,RkOv_gw9,RkOv_gw10,RkOv_gw11,RkOv_gw12,RkOv_gw13
Callum Wilson,NEW,F,28.5,148.0,418.5,48.0,73.0,20.0,415.0,413.0,49.5,6.0,192.5,423.5,421.0
Ollie Watkins,AVL,F,30.0,42.0,36.0,198.0,40.5,35.5,1.0,54.0,10.0,58.0,162.0,48.5,53.0
Gabriel Martinelli,ARS,M,32.0,119.5,85.5,38.0,623.0,420.5,415.0,26.0,105.5,39.0,12.5,42.0,158.0
Alex Iwobi,FUL,M,32.0,148.0,418.5,416.0,213.5,198.0,165.0,103.5,154.5,71.0,74.0,149.0,16.0
Rico Henry,BRF,D,32.0,72.0,78.0,176.5,175.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Nathan Ake,MCI,D,34.0,413.5,159.5,24.0,426.0,138.5,616.0,215.5,418.5,419.0,17.5,423.5,40.0
Axel Disasi,CHE,D,35.0,635.0,25.5,95.0,73.0,153.0,69.5,180.0,418.5,621.5,620.5,654.0,421.0
Bryan Mbeumo,BRF,F,36.0,4.0,102.5,17.5,175.0,85.0,55.0,69.0,3.0,5.0,60.0,80.5,92.5
Evan Ferguson,BHA,F,37.5,157.5,85.5,2.0,213.5,147.5,608.0,180.0,418.5,48.5,177.0,423.5,53.0
Bobby De Cordova-Reid,FUL,F,37.5,206.0,168.0,87.0,175.0,167.5,415.0,29.0,154.5,213.5,419.0,423.5,421.0
Manuel Akanji,MCI,D,40.5,44.5,418.5,186.5,116.5,105.0,103.0,413.0,643.0,419.0,46.5,66.5,134.0
Eddie Nketiah,ARS,F,40.5,39.0,49.5,82.0,623.0,158.0,34.0,215.5,418.5,1.5,177.0,423.5,185.0
Kenny Tete,FUL,D,40.5,114.0,629.5,634.5,38.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Jefferson Lerma,CRY,M,40.5,77.5,63.0,87.0,426.0,420.5,415.0,413.0,113.0,198.5,202.5,9.5,105.5
