,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,ghost points,negative fpts,home,gp
0,AVL,CB,4,3.29,0.05,0.19,0.0,0.14,0.81,0.0,0.05,0.0,0.0,0.52,2.29,0.48,0.52,0.86,0.0,0.0,0.0,1.33,4,0.05,0.67,0.1,0.0,1.67,-2.76,7,1
1,AVL,LB,1,9.04,0.0,1.86,0.29,0.14,1.0,1.0,0.57,0.0,1.43,1.86,1.57,0.14,0.0,1.29,0.0,0.0,0.0,1.57,2,0.14,3.14,0.0,0.0,5.32,-4.79,3,1
2,AVL,RB,2,4.43,0.0,0.43,0.14,0.71,0.86,0.14,0.29,0.0,0.29,0.71,2.0,0.29,0.71,0.29,0.0,0.0,0.14,1.43,2,0.14,2.0,0.0,0.0,1.71,-4.21,3,1
3,AVL,WB,3,14.17,0.67,0.67,0.33,1.0,1.0,0.33,0.0,0.0,0.0,0.67,1.33,0.67,0.0,0.67,0.0,0.0,0.0,0.67,0,1.0,1.0,0.0,0.0,5.17,-1.5,0,1
4,BHA,CB,4,2.75,0.06,0.29,0.0,0.18,0.71,0.06,0.24,0.0,0.06,0.88,2.65,0.18,1.12,1.88,0.0,0.0,0.0,1.88,0,0.06,1.12,0.0,0.0,2.16,-4.26,11,1
5,BHA,LB,4,9.62,0.1,1.6,0.6,0.4,1.1,0.5,0.3,0.0,0.7,1.2,1.0,0.8,0.1,0.6,0.0,0.0,0.1,1.6,0,0.7,2.2,0.1,0.0,4.53,-4.15,5,1
6,BHA,RB,2,2.41,0.0,0.27,0.09,0.09,1.82,0.27,0.18,0.0,0.0,0.73,1.82,0.09,0.45,0.45,0.0,0.0,0.0,1.45,1,0.09,1.64,0.0,0.0,1.68,-2.86,7,1
7,BOU,CB,4,2.67,0.0,0.29,0.05,0.05,0.81,0.1,0.19,0.0,0.0,0.76,3.05,0.57,0.95,1.19,0.0,0.0,0.0,1.76,2,0.05,1.29,0.0,0.0,1.76,-3.95,10,1
8,BOU,LB,2,1.31,0.0,0.22,0.0,0.0,1.11,0.78,0.11,0.0,0.56,0.89,2.33,0.78,0.22,1.22,0.0,0.0,0.11,2.0,1,0.0,1.78,0.0,0.0,0.64,-5.17,5,1
9,BOU,RB,3,0.95,0.0,0.5,0.0,0.0,1.0,0.7,0.1,0.0,0.5,0.3,1.2,0.6,0.5,0.3,0.0,0.0,0.0,1.8,1,0.0,1.3,0.2,0.0,0.35,-4.15,5,1
10,BRF,CB,6,5.78,0.0,0.39,0.04,0.04,0.78,0.26,0.09,0.0,0.17,1.26,4.52,0.39,0.52,2.83,0.0,0.0,0.0,1.35,2,0.04,0.57,0.0,0.0,4.96,-3.0,12,1
11,BRF,LB,4,3.31,0.0,0.67,0.11,0.0,0.67,0.89,0.22,0.0,0.33,0.56,0.78,0.89,0.33,0.44,0.0,0.0,0.0,1.0,1,0.11,1.33,0.22,0.0,1.86,-2.89,4,1
12,BRF,RB,3,3.25,0.0,0.45,0.09,0.18,1.18,0.55,0.27,0.0,0.09,0.36,1.0,0.64,0.09,0.64,0.0,0.0,0.0,0.82,1,0.09,1.73,0.0,0.0,2.07,-2.45,6,1
13,BRF,WB,4,0.0,0.0,0.5,0.0,0.25,0.75,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0,0.0,2.0,0.25,0.0,0.0,-3.25,1,1
14,CRY,CB,4,10.85,0.12,0.65,0.0,0.24,0.88,0.12,0.0,0.0,0.29,0.71,5.06,0.59,1.06,2.0,0.0,0.0,0.0,0.82,8,0.12,0.71,0.0,0.0,6.85,-1.71,8,1
15,CRY,LB,1,7.16,0.0,0.62,0.12,0.0,1.0,0.75,0.12,0.0,0.75,0.62,2.62,0.5,0.5,0.38,0.0,0.0,0.0,0.88,4,0.12,1.0,0.0,0.0,3.28,-2.38,4,1
16,CRY,RB,3,4.86,0.0,0.11,0.0,0.0,1.11,0.11,0.33,0.0,0.0,0.44,2.56,0.33,0.33,1.44,0.0,0.0,0.0,0.78,4,0.0,1.89,0.0,0.0,2.19,-2.28,5,1
17,EVE,CB,4,7.16,0.06,0.47,0.06,0.24,0.88,0.24,0.24,0.0,0.12,1.53,3.47,0.18,1.06,2.82,0.0,0.0,0.0,1.41,2,0.12,1.94,0.06,0.0,5.46,-3.41,10,1
18,EVE,LB,2,6.5,0.0,1.38,0.0,0.25,2.38,0.5,0.0,0.0,0.5,0.62,2.5,0.62,0.12,0.88,0.0,0.0,0.0,1.5,1,0.0,1.0,0.0,0.0,5.75,-3.25,5,1
19,EVE,RB,2,2.75,0.0,0.6,0.1,0.0,1.3,0.4,0.4,0.0,0.4,0.8,1.0,0.4,0.2,0.3,0.0,0.0,0.0,1.2,1,0.1,1.9,0.0,0.0,1.45,-3.4,7,1
20,FUL,CB,4,3.12,0.05,0.0,0.0,0.11,0.84,0.32,0.16,0.11,0.0,0.79,3.63,0.11,0.26,1.42,0.0,0.0,0.0,1.32,6,0.05,1.84,0.0,0.0,0.7,-3.84,10,1
21,FUL,LB,2,6.44,0.0,0.75,0.0,0.0,1.62,0.75,0.25,0.0,0.62,1.88,2.25,0.88,0.12,1.75,0.0,0.0,0.12,1.62,3,0.0,2.0,0.0,0.0,4.19,-4.75,4,1
22,FUL,RB,3,3.95,0.0,0.3,0.0,0.1,0.7,0.4,0.2,0.0,0.5,0.9,2.0,0.8,0.2,0.8,0.0,0.0,0.0,1.3,3,0.0,1.6,0.0,0.0,2.15,-3.0,5,1
23,NEW,CB,4,6.24,0.06,0.18,0.06,0.12,0.71,0.12,0.18,0.0,0.0,0.59,2.82,0.18,0.59,2.18,0.0,0.0,0.0,1.0,6,0.12,1.71,0.06,0.0,3.12,-2.41,8,1
24,NEW,LB,3,5.82,0.1,0.4,0.0,0.2,0.7,0.5,0.1,0.0,0.2,0.7,1.9,0.1,0.5,1.6,0.0,0.0,0.0,1.0,3,0.1,0.5,0.1,0.0,3.02,-2.45,5,1
25,NEW,RB,2,16.03,0.0,3.0,0.56,0.0,1.0,0.33,0.11,0.0,1.56,0.67,0.78,0.78,0.56,1.78,0.0,0.0,0.0,1.0,3,0.56,1.22,0.11,0.0,10.14,-2.39,4,1
26,NOT,CB,6,6.84,0.05,0.41,0.0,0.32,0.91,0.09,0.05,0.05,0.0,0.86,4.73,0.18,1.05,2.64,0.0,0.0,0.0,1.23,5,0.05,1.23,0.05,0.0,5.25,-2.82,7,1
27,NOT,LB,4,4.0,0.0,0.5,0.17,0.17,0.5,0.0,0.17,0.17,0.5,0.33,2.0,0.33,0.33,0.5,0.0,0.0,0.0,0.5,1,0.17,2.33,0.0,0.0,1.83,-2.5,4,1
28,NOT,RB,3,2.33,0.0,0.33,0.0,0.17,1.0,0.5,0.33,0.0,0.17,0.83,1.67,0.33,0.0,0.83,0.0,0.0,0.0,0.67,0,0.0,2.0,0.17,0.0,2.33,-2.25,2,1
29,NOT,WB,6,2.84,0.0,0.25,0.0,0.25,0.88,0.38,0.5,0.0,0.0,0.38,1.62,0.5,0.12,0.75,0.0,0.0,0.0,0.75,2,0.0,2.5,0.25,0.0,1.34,-2.69,0,1
30,WHU,CB,5,5.08,0.11,0.11,0.0,0.21,0.32,0.05,0.11,0.05,0.0,1.26,4.63,0.05,1.26,1.95,0.0,0.0,0.0,1.32,2,0.11,1.21,0.0,0.0,3.39,-3.24,10,1
31,WHU,LB,1,4.44,0.08,0.54,0.15,0.08,0.92,0.23,0.31,0.0,0.15,1.0,2.23,0.54,0.15,0.46,0.0,0.08,0.0,1.15,1,0.15,1.77,0.0,0.0,2.13,-3.04,7,1
32,WHU,RB,2,8.69,0.0,1.22,0.44,0.0,1.78,0.33,0.0,0.0,0.67,1.0,2.11,0.11,0.33,0.89,0.0,0.0,0.0,1.33,1,0.44,0.44,0.11,0.0,4.92,-2.83,5,1
33,WOL,CB,3,3.48,0.0,0.35,0.0,0.15,0.55,0.25,0.2,0.0,0.0,0.7,4.0,0.2,1.1,1.95,0.0,0.0,0.0,1.55,2,0.0,1.45,0.1,0.0,2.88,-3.62,11,1
