Player,Team,Position,FPts_Total_gw1,FPts_Total_gw2,FPts_Total_gw3,FPts_Total_gw4,FPts_Total_gw5,FPts_Total_gw6,FPts_Total_gw7,FPts_Total_gw8,FPts_Total_gw9,FPts_Total_gw10,FPts_Total_gw11,FPts_Total_gw12,FPts_Total_gw13
Aaron Wan-Bissaka,MUN,D,29.0,30.25,31.5,33.75,34.75,34.75,34.75,34.75,34.75,34.75,46.75,46.75,49.25
Rodri,MCI,M,27.0,34.0,55.5,55.5,69.0,62.5,62.5,62.5,64.0,80.5,95.5,114.0,118.0
Pervis Estupinan,BHA,D,26.0,46.75,49.25,57.0,57.0,69.5,62.75,62.75,62.75,62.75,62.75,62.75,62.75
Erling Haaland,MCI,F,25.5,32.0,47.5,90.5,114.0,125.5,130.5,136.0,149.0,183.0,185.0,223.5,239.5
James Maddison,TOT,M,25.5,33.5,51.5,77.0,91.5,112.0,124.0,140.5,167.0,179.0,181.0,181.0,181.0
Alexander Isak,NEW,F,25.0,26.0,29.5,34.5,34.5,46.0,67.0,93.5,95.0,95.0,95.0,95.0,105.5
Bukayo Saka,ARS,M,23.5,30.5,58.5,77.5,89.5,122.5,138.5,138.5,156.5,166.5,170.5,187.0,206.5
Joachim Andersen,CRY,D,23.5,28.25,63.0,66.75,66.25,78.25,107.75,125.0,121.0,128.0,144.0,144.75,151.5
Odsonne Edouard,CRY,F,23.0,29.0,31.5,57.0,75.0,76.5,76.5,78.5,80.5,89.5,92.0,106.0,110.5
Jarrod Bowen,WHU,M,22.5,27.0,53.5,68.0,70.5,86.5,105.0,109.0,127.5,135.5,150.0,165.5,165.5
Julian Alvarez,MCI,F,22.0,38.0,53.5,79.5,100.5,105.5,123.0,122.5,137.0,145.0,154.0,165.0,173.0
Raphael Varane,MUN,D,20.75,25.0,21.25,21.25,21.25,22.75,30.25,30.25,30.75,30.75,30.75,32.0,32.0
Harvey Barnes,NEW,M,20.5,20.5,20.5,20.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
Eberechi Eze,CRY,M,20.0,28.5,38.0,65.0,73.5,88.0,104.0,104.0,104.0,104.0,113.5,134.0,141.5
Yoane Wissa,BRF,F,20.0,44.5,46.5,48.5,59.5,61.5,67.5,80.5,102.0,107.0,110.5,112.5,116.5
Solly March,BHA,M,19.5,56.0,62.5,68.5,68.5,68.5,73.0,91.0,93.0,93.0,93.0,93.0,93.0
Pascal Gross,BHA,M,19.5,23.0,56.0,64.5,78.5,78.5,78.5,81.0,82.0,96.0,98.5,104.5,133.0
Carlton Morris,LUT,F,18.5,18.5,22.0,35.5,35.0,52.0,66.0,71.0,71.5,71.5,77.0,82.0,90.5
Moussa Diaby,AVL,F,18.0,26.0,48.0,52.0,62.5,66.0,87.0,89.5,99.5,120.0,131.5,141.5,146.0
Pedro Neto,WOL,F,18.0,25.0,44.0,72.5,93.0,108.0,112.0,124.0,140.0,154.0,154.0,154.0,154.0
Joao Pedro,BHA,F,18.0,18.0,22.5,29.0,48.0,53.5,66.0,69.0,69.0,68.0,70.5,73.5,101.0
Kaoru Mitoma,BHA,M,16.5,45.5,51.0,67.0,70.0,93.0,97.0,103.0,111.0,117.0,129.5,132.5,132.5
Sandro Tonali,NEW,M,16.5,15.0,20.0,25.5,25.5,31.5,34.5,37.5,38.5,38.5,38.5,38.5,38.5
