,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
13,SHU,RM,2,9.25,0.25,1.25,0.25,0.25,1.5,1.5,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.25,0.0,0.0,0.0,1.5,0.25,0.25,0.75,0.0,0.0,6.5,-1.25,0.75,1,23.83
0,BUR,AM,2,8.17,0.33,0.33,0.0,1.0,0.33,0.67,0.0,0.0,0.0,1.0,0.0,0.67,0.67,0.33,0.0,0.0,0.0,1.67,0.0,0.33,1.67,0.0,0.0,5.5,-0.33,0.0,1,17.67
3,BUR,LM,4,8.08,0.17,1.0,0.17,0.33,1.0,0.58,0.08,0.0,0.08,0.5,1.08,1.25,0.08,0.58,0.0,0.08,0.0,2.0,0.17,0.25,1.17,0.5,0.0,6.04,-0.46,0.67,1,17.95
4,BUR,RM,5,7.92,0.08,1.92,0.08,0.33,0.5,1.0,0.08,0.0,0.5,0.67,0.67,0.42,0.0,1.33,0.0,0.0,0.0,1.33,0.17,0.17,1.0,0.08,0.0,7.25,-0.67,0.5,1,19.15
7,LUT,LM,4,7.25,0.0,1.5,0.0,0.25,0.75,1.0,0.0,0.0,1.25,0.5,0.75,1.5,0.0,0.5,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.0,0.0,7.75,-0.5,0.75,1,13.75
8,LUT,RM,4,6.62,0.25,0.5,0.25,0.25,1.0,1.0,0.25,0.0,0.0,0.5,1.5,0.75,0.0,0.75,0.0,0.0,0.0,1.5,0.0,0.25,2.0,0.25,0.0,4.12,-1.5,0.75,1,20.88
12,SHU,LM,4,6.0,0.0,1.25,0.0,0.25,1.5,0.5,0.0,0.0,0.0,0.5,2.25,0.75,0.25,1.0,0.0,0.0,0.0,1.5,0.25,0.0,1.25,0.5,0.0,6.75,-0.75,0.75,1,12.0
1,BUR,CM,3,5.95,0.1,0.62,0.05,0.24,1.1,0.52,0.29,0.0,0.1,1.05,1.19,0.29,0.48,1.67,0.0,0.0,0.0,1.9,0.1,0.14,2.19,0.0,0.0,5.55,-0.83,0.62,1,19.31
10,SHU,CM,6,5.94,0.06,0.69,0.03,0.33,1.42,0.67,0.22,0.0,0.22,0.92,2.0,0.39,0.31,1.25,0.0,0.0,0.0,2.17,0.11,0.08,1.64,0.03,0.03,6.0,-0.83,0.53,1,17.05
5,LUT,AM,4,4.97,0.0,0.53,0.13,0.27,0.93,1.33,0.2,0.0,0.27,0.4,0.8,1.2,0.07,1.27,0.0,0.0,0.0,1.47,0.2,0.13,1.27,0.27,0.0,5.1,-1.07,0.53,1,19.12
9,SHU,AM,4,4.82,0.09,0.82,0.0,0.27,0.82,1.27,0.18,0.0,0.09,0.36,0.27,1.45,0.0,0.18,0.0,0.0,0.0,2.55,0.0,0.09,1.82,0.27,0.0,5.0,-1.0,0.64,1,14.78
6,LUT,CM,5,4.14,0.03,0.56,0.03,0.14,0.92,0.94,0.22,0.0,0.08,0.69,1.08,0.75,0.39,0.78,0.0,0.0,0.0,1.83,0.03,0.03,1.89,0.0,0.0,4.61,-0.92,0.47,1,12.24
2,BUR,DM,3,3.33,0.0,0.5,0.0,0.0,1.0,0.83,0.5,0.0,0.0,1.0,2.5,0.17,0.67,1.83,0.0,0.0,0.0,1.83,0.0,0.0,2.67,0.0,0.0,4.75,-1.42,0.0,1,13.17
11,SHU,DM,1,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,-1.0,1.0,1,11.5
