,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
0,AM,42,10.82,0.2,1.87,0.26,0.7,0.68,1.45,0.14,0.0,0.38,0.5,0.55,1.1,0.15,0.65,0.0,0.03,0.0,1.27,0.26,0.4,1.34,0.18,0.03,8.3,-1.01,0.52,1,31.54
4,RM,46,9.19,0.15,1.41,0.26,0.43,0.94,1.02,0.2,0.0,0.36,0.57,0.77,0.8,0.13,0.68,0.0,0.03,0.0,1.15,0.33,0.33,1.45,0.14,0.02,7.0,-1.1,0.52,1,24.8
2,DM,49,7.68,0.09,0.98,0.12,0.39,1.32,0.82,0.27,0.01,0.1,0.99,1.32,0.81,0.42,0.98,0.0,0.01,0.0,1.27,0.24,0.18,2.16,0.06,0.01,6.9,-1.0,0.51,1,21.24
3,LM,51,7.16,0.06,1.16,0.12,0.41,1.05,1.1,0.14,0.01,0.33,0.64,0.86,1.06,0.13,0.72,0.0,0.0,0.0,1.24,0.29,0.17,1.5,0.24,0.01,6.76,-1.1,0.5,1,19.3
1,CM,59,5.79,0.06,0.8,0.03,0.27,1.3,0.75,0.26,0.01,0.12,0.94,1.04,0.57,0.29,0.87,0.0,0.0,0.0,1.5,0.21,0.09,2.1,0.03,0.01,5.8,-0.98,0.48,1,18.61
