,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
35,CHE,DM,4,6.02,0.1,0.52,0.05,0.48,0.95,0.76,0.19,0.0,0.0,1.0,1.05,0.71,0.33,0.9,0.0,0.05,0.0,1.71,0.14,0.1,2.24,0.05,0.05,5.55,-0.76,0.52,1,17.65
74,MUN,RM,2,6.0,0.0,1.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.5,0.0,0.0,6.5,-0.5,1.0,1,7.0
83,NEW,RM,3,6.0,0.19,0.56,0.12,0.31,1.12,1.19,0.38,0.0,0.31,0.38,0.81,0.38,0.31,0.44,0.0,0.0,0.0,1.0,0.44,0.25,1.69,0.12,0.0,4.47,-1.34,0.5,1,18.85
16,AVL,LW,2,6.0,0.2,0.8,0.0,0.6,0.2,2.2,0.2,0.0,0.2,0.0,0.6,1.8,0.0,0.6,0.0,0.0,0.0,1.0,0.4,0.2,2.0,0.0,0.0,5.3,-1.5,0.6,1,11.67
86,TOT,CB,6,5.94,0.1,0.19,0.0,0.13,1.35,0.13,0.23,0.0,0.03,0.94,3.61,0.26,0.68,2.0,0.0,0.0,0.03,1.35,0.26,0.1,1.23,0.06,0.0,6.81,-3.39,0.48,1,19.33
34,CHE,CM,3,5.85,0.0,1.2,0.0,0.3,1.0,0.3,0.4,0.0,0.2,0.9,0.6,1.0,0.5,0.6,0.1,0.0,0.0,1.0,0.3,0.0,2.5,0.0,0.0,6.9,-1.35,0.6,1,16.92
45,LIV,CM,4,5.78,0.06,0.89,0.06,0.22,1.33,1.17,0.28,0.06,0.17,1.17,1.22,0.61,0.28,0.89,0.0,0.0,0.0,0.89,0.28,0.11,2.67,0.0,0.0,6.31,-1.64,0.39,1,19.67
61,MCI,RB,1,5.77,0.0,0.93,0.07,0.07,0.73,0.27,0.07,0.0,0.47,0.87,1.2,0.6,0.13,1.13,0.0,0.0,0.0,1.13,0.27,0.07,1.07,0.27,0.0,6.23,-2.53,0.4,1,15.13
0,ARS,CB,4,5.69,0.03,0.22,0.03,0.06,0.47,0.16,0.09,0.0,0.03,0.72,2.06,0.09,0.69,1.97,0.0,0.0,0.0,0.94,0.38,0.06,0.81,0.03,0.0,5.05,-2.14,0.5,1,16.82
54,MCI,CB,4,5.64,0.07,0.46,0.0,0.25,0.79,0.32,0.04,0.04,0.07,0.93,2.64,0.07,0.43,1.14,0.0,0.0,0.04,0.93,0.32,0.07,1.04,0.0,0.0,5.52,-2.52,0.43,1,12.47
90,TOT,LB,2,5.6,0.07,0.67,0.13,0.13,1.33,0.8,0.33,0.07,0.0,1.33,2.67,0.73,0.33,0.87,0.0,0.0,0.0,1.27,0.2,0.2,3.2,0.2,0.0,6.87,-4.07,0.53,1,15.12
69,MUN,FW,3,5.29,0.06,0.94,0.06,0.76,0.06,1.59,0.0,0.0,0.06,0.0,0.71,1.18,0.0,0.76,0.0,0.06,0.0,1.06,0.29,0.06,0.41,0.47,0.0,5.21,-0.79,0.59,1,15.73
17,AVL,RB,2,5.27,0.0,0.47,0.07,0.47,1.07,0.2,0.2,0.0,0.2,1.0,1.73,0.4,0.47,0.47,0.0,0.0,0.07,1.13,0.33,0.07,1.27,0.0,0.0,5.9,-3.1,0.53,1,17.21
33,CHE,CB,4,4.65,0.06,0.29,0.03,0.14,0.6,0.31,0.14,0.0,0.0,0.83,3.57,0.2,0.69,2.49,0.0,0.0,0.0,1.63,0.17,0.09,0.94,0.14,0.0,6.55,-3.7,0.51,1,14.7
