Player,Team,Position
Aaron Wan-Bissaka,MUN,D
Rodri,MCI,M
Pervis Estupinan,BHA,D
Erling Haaland,MCI,F
James Maddison,TOT,M
Alexander Isak,NEW,F
Bukayo Saka,ARS,M
Joachim Andersen,CRY,D
Odsonne Edouard,CRY,F
Jarrod Bowen,WHU,M
Julian Alvarez,MCI,F
Raphael Varane,MUN,D
Harvey Barnes,NEW,M
Eberechi Eze,CRY,M
Yoane Wissa,BRF,F
Solly March,BHA,M
Pascal Gross,BHA,M
Carlton Morris,LUT,F
Moussa Diaby,AVL,F
Pedro Neto,WOL,F
Joao Pedro,BHA,F
Kaoru Mitoma,BHA,M
Sandro Tonali,NEW,M
Matheus Nunes,MCI,M
Marc Guehi,CRY,D
Dominic Solanke,BOU,F
Tomas Soucek,WHU,M
Luis Diaz,LIV,F
Callum Wilson,NEW,F
Ollie Watkins,AVL,F
Gabriel Martinelli,ARS,M
Alex Iwobi,FUL,M
Rico Henry,BRF,D
Nathan Ake,MCI,D
Axel Disasi,CHE,D
Bryan Mbeumo,BRF,F
Evan Ferguson,BHA,F
Bobby De Cordova-Reid,FUL,F
Manuel Akanji,MCI,D
Eddie Nketiah,ARS,F
Kenny Tete,FUL,D
Jefferson Lerma,CRY,M
Cristian Romero,TOT,D
Craig Dawson,WOL,D
Yves Bissouma,TOT,M
Jacob Murphy,NEW,M
Lucas Paqueta,WHU,M
Declan Rice,ARS,M
Ben Chilwell,CHE,D
Jordan Ayew,CRY,F
Issa Diop,FUL,D
Bruno Fernandes,MUN,M
Sven Botman,NEW,D
Taiwo Awoniyi,NOT,F
Luke Shaw,MUN,D
Simon Adingra,BHA,F
Emerson Royal,TOT,D
Anthony Gordon,NEW,M
Jeffrey Schlupp,CRY,M
Max Kilman,WOL,D
Jan-Paul van Hecke,BHA,D
Antonee Robinson,FUL,D
Tim Ream,FUL,D
Anthony Elanga,NOT,F
Cheick Doucoure,CRY,M
Joao Gomes,WOL,M
Joel Ward,CRY,D
Tyrick Mitchell,CRY,D
Antony,MUN,F
Matheus Cunha,WOL,F
Amadou Onana,EVE,M
Kieran Trippier,NEW,D
Kyle Walker,MCI,D
Oliver Norwood,SHU,M
Nelson Semedo,WOL,D
Casemiro,MUN,M
Mathias Jensen,BRF,M
Miguel Almiron,NEW,M
Abdoulaye Doucoure,EVE,M
Thomas Partey,ARS,M
Jacob Brown,LUT,F
Ryan Giles,LUT,M
William Saliba,ARS,D
Emerson,WHU,D
John Egan,SHU,D
Marcus Rashford,MUN,F
Mohamed Salah,LIV,F
Dominik Szoboszlai,LIV,M
Morgan Gibbs-White,NOT,M
Reece James,CHE,D
Harry Wilson,FUL,M
Max Lowe,SHU,D
Phil Foden,MCI,M
Thiago Silva,CHE,D
Vladimir Coufal,WHU,D
Willy Boly,NOT,D
Philip Billing,BOU,M
Rico Lewis,MCI,D
Fabio Silva,WOL,F
Milos Kerkez,BOU,D
