,ftx_position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
1,F,88,9.55,0.3,1.1,0.19,0.85,0.5,1.37,0.12,0.0,0.17,0.27,0.59,1.16,0.1,1.15,0.0,0.03,0.0,1.27,0.26,0.44,1.33,0.41,0.04,6.74,-0.98,0.5171339563862928,1,26.43
2,M,154,8.26,0.13,1.17,0.13,0.46,1.11,1.03,0.2,0.0,0.27,0.78,0.99,0.92,0.23,0.82,0.0,0.01,0.0,1.33,0.26,0.24,1.78,0.13,0.01,7.01,-0.97,0.5071609098567817,1,23.75
0,D,158,5.88,0.04,0.55,0.07,0.14,1.05,0.36,0.19,0.01,0.25,1.05,3.07,0.42,0.6,1.69,0.0,0.0,0.01,1.46,0.22,0.1,1.52,0.06,0.0,7.22,-3.6,0.4956521739130435,1,16.88
