,player,position,ghost points,negative fpts,fpts,gp,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,home,opponent,team
9,Aaron Ramsey,LW,-1.0,-2.0,-1.0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,False,vsNEW,BUR
10,Aaron Ramsey,FW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,vsAVL,BUR
12,Aaron Ramsey,LW,1.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,vsLUT,BUR
103,Anass Zaroury,FW,-5.0,-7.0,-5.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,True,vsMCI,BUR
105,Anass Zaroury,RW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,vsNOT,BUR
107,Andre Brooks,LW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,vsCRY,SHU
180,Antwoine Hackford,FW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,vsNOT,SHU
181,Antwoine Hackford,RW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,vsCRY,SHU
226,Ben Osborn,LW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,True,vsCRY,SHU
238,Benie Traore,FW,0.5,-0.5,0.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,vsEVE,SHU
239,Benie Traore,RW,4.5,-0.5,4.5,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,True,vsCRY,SHU
240,Benie Traore,FW,0.5,-0.5,0.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,True,vsMCI,SHU
241,Benie Traore,FW,5.0,-1.0,5.0,1,0,1,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,5,0,0,1,0,0,True,vsNEW,SHU
243,Benson Manuel,FW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,vsMCI,BUR
334,Cameron Archer,FW,2.5,-1.0,2.5,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,8,0,0,1,1,0,True,vsNEW,SHU
336,Cameron Archer,FW,0.5,-4.0,0.5,1,0,1,0,0,0,4,1,0,0,0,0,1,1,1,0,0,0,2,0,0,4,1,0,False,vsTOT,SHU
337,Cameron Archer,FW,4.0,-1.0,4.0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,False,vsWHU,SHU
338,Cameron Archer,FW,5.0,-2.0,5.0,1,0,2,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,False,vsFUL,SHU
339,Cameron Archer,FW,0.5,-2.5,15.5,1,1,0,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,True,vsEVE,SHU
347,Carlton Morris,FW,7.5,0.0,13.5,1,0,1,1,0,2,0,0,0,0,0,2,0,0,7,0,0,0,2,0,1,0,0,0,True,vsWHU,LUT
348,Carlton Morris,FW,9.5,-0.5,18.5,1,1,0,0,2,0,1,0,0,0,0,2,1,0,10,0,0,0,4,0,1,0,2,1,False,vsBHA,LUT
349,Carlton Morris,FW,5.0,-0.5,14.0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,7,0,0,0,1,0,1,3,1,0,False,vsEVE,LUT
350,Carlton Morris,FW,-0.5,-2.5,-0.5,1,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,False,vsFUL,LUT
351,Carlton Morris,FW,8.0,-1.5,17.0,1,1,1,0,2,0,3,0,0,0,0,0,2,0,3,0,0,0,1,0,1,1,0,1,True,vsWOL,LUT
352,Carlton Morris,FW,3.5,0.0,3.5,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,False,vsCHE,LUT
353,Carlton Morris,FW,11.5,-1.0,11.5,1,0,2,0,0,0,2,0,0,0,0,3,3,0,11,0,0,0,2,0,0,2,0,0,True,vsBUR,LUT
354,Carlton Morris,FW,5.0,-2.5,5.0,1,0,1,0,1,0,1,1,0,0,0,1,2,0,3,0,0,0,1,0,0,5,1,0,True,vsTOT,LUT
366,Cauley Woodrow,RW,1.5,-0.5,1.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,vsWOL,LUT
367,Cauley Woodrow,FW,4.0,0.0,4.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,vsTOT,LUT
370,Cauley Woodrow,FW,0.0,-0.5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,vsFUL,LUT
389,Chiedozie Ogbene,LW,9.5,-0.5,9.5,1,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,True,vsWOL,LUT
396,Chiedozie Ogbene,LW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,vsCHE,LUT
626,Elijah Adebayo,FW,4.0,0.0,4.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,False,vsBHA,LUT
627,Elijah Adebayo,LW,0.5,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,vsWOL,LUT
628,Elijah Adebayo,FW,4.0,0.0,4.0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,3,2,0,True,vsTOT,LUT
630,Elijah Adebayo,FW,3.0,0.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,False,vsFUL,LUT
631,Elijah Adebayo,FW,0.0,-0.5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,vsEVE,LUT
632,Elijah Adebayo,FW,3.0,-1.0,3.0,1,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,True,vsWHU,LUT
633,Elijah Adebayo,FW,2.5,-1.0,2.5,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,2,0,0,5,0,0,False,vsCHE,LUT
777,Hannes Delcroix,LW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,vsLUT,BUR
904,Jacob Brown,RW,-2.0,-2.5,-2.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,False,vsCHE,LUT
905,Jacob Brown,FW,11.0,-1.0,11.0,1,0,2,0,0,3,2,0,0,1,2,1,1,0,2,0,0,0,1,0,0,0,1,0,False,vsFUL,LUT
908,Jacob Brown,FW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,True,vsWHU,LUT
909,Jacob Brown,RW,4.5,-1.0,4.5,1,0,1,0,1,0,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,True,vsWOL,LUT
911,Jacob Brown,FW,2.5,0.0,8.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,False,vsBHA,LUT
