,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (max),gp (max)
88,WHU,RW,1,109.0,5.0,5.0,1.0,11.0,10.0,10.0,1.0,0.0,0.0,5.0,4.0,10.0,0.0,14.0,0.0,0.0,0.0,12.0,1,6.0,7.0,7.0,0.0,57.0,-7.0,4,8
40,CRY,LW,1,104.0,1.0,18.0,1.0,8.0,4.0,16.0,1.0,0.0,7.0,2.0,1.0,27.0,1.0,6.0,0.0,0.0,0.0,7.0,3,1.0,10.0,1.0,0.0,86.0,-10.0,3,7
85,WHU,LB,1,95.75,2.0,12.0,4.0,2.0,20.0,5.0,8.0,0.0,3.0,19.0,45.0,11.0,4.0,12.0,0.0,2.0,0.0,26.0,1,4.0,44.0,0.0,0.0,41.75,-70.5,11,23
4,AVL,FW,2,81.75,3.0,8.5,3.5,6.5,1.5,6.0,1.0,0.0,0.0,0.0,3.0,2.5,0.5,4.5,0.0,1.0,0.0,6.0,2,5.0,6.5,1.0,0.0,33.75,-5.0,3,8
79,NOT,RM,1,79.0,0.0,15.0,2.0,2.0,7.0,6.0,2.0,0.0,4.0,6.0,2.0,14.0,2.0,10.0,0.0,0.0,0.0,9.0,2,1.0,12.0,0.0,0.0,65.0,-7.0,3,8
87,WHU,RB,1,78.25,0.0,11.0,4.0,0.0,16.0,3.0,0.0,0.0,6.0,9.0,19.0,1.0,3.0,8.0,0.0,0.0,0.0,12.0,1,4.0,4.0,1.0,0.0,44.25,-25.5,4,8
97,WOL,RM,2,76.0,0.5,13.5,3.5,3.5,2.0,6.5,1.0,0.0,7.0,1.5,1.0,9.5,1.0,0.5,0.0,0.0,0.0,7.5,2,3.5,8.5,2.0,0.0,50.0,-5.25,4,8
64,NEW,FW,2,75.75,5.0,2.0,0.0,11.0,0.0,7.0,0.5,0.0,0.0,0.0,1.0,8.5,0.0,1.5,0.0,0.0,0.0,5.5,4,5.0,7.0,1.5,1.0,30.75,-4.5,3,7
68,NEW,RB,2,72.12,0.0,13.5,2.5,0.0,4.5,1.5,0.5,0.0,7.0,3.0,3.5,3.5,2.5,8.0,0.0,0.0,0.0,4.5,3,2.5,5.5,0.5,0.0,45.62,-10.75,4,8
21,BOU,FW,1,70.0,3.0,9.0,1.0,8.0,1.0,21.0,1.0,0.0,1.0,2.0,8.0,7.0,1.0,7.0,0.0,0.0,0.0,18.0,1,4.0,12.0,2.0,0.0,37.0,-12.5,4,8
