player,team,deadball agg,fpts,FKs,CKs,ghost points,negative fpts,gp,passes (dead),touches (att 3rd),prog passes,crosses,crosses (penalty),home
12,AVL,50.083333333333336,78.91666666666667,12.416666666666666,5.5,63.916666666666664,-18.083333333333332,115,35.666666666666664,119.0,33.666666666666664,15.166666666666666,2.0833333333333335,4.083333333333333
15,TOT,37.0,67.95,9.2,3.8666666666666667,56.21666666666667,-13.4,109,27.0,124.86666666666666,34.6,10.0,0.6666666666666666,3.1333333333333333
18,LIV,33.27777777777778,64.98611111111111,6.111111111111111,3.9444444444444446,50.40277777777778,-9.027777777777779,115,23.38888888888889,95.22222222222223,28.5,9.944444444444445,0.8888888888888888,2.7777777777777777
17,NEW,32.411764705882355,61.23529411764706,7.705882352941177,2.6470588235294117,46.55882352941177,-12.735294117647058,115,22.0,85.0,23.176470588235293,8.588235294117647,1.0,3.4705882352941178
15,BRF,30.0,61.516666666666666,6.266666666666667,3.2666666666666666,55.583333333333336,-14.8,117,23.533333333333335,84.4,25.066666666666666,10.4,0.8,3.8666666666666667
16,CRY,29.125,57.71875,7.0625,2.5,54.4375,-15.40625,120,23.5,80.375,19.25,9.375,0.875,3.125
15,MCI,28.066666666666666,81.88333333333334,6.333333333333333,4.866666666666666,57.016666666666666,-11.866666666666667,116,23.2,146.0,33.666666666666664,11.266666666666667,0.8666666666666667,3.1333333333333333
18,EVE,27.88888888888889,51.84722222222222,3.2777777777777777,2.9444444444444446,50.31944444444444,-12.25,120,20.5,79.61111111111111,17.27777777777778,10.666666666666666,1.0555555555555556,3.5
17,WHU,27.647058823529413,54.9264705882353,5.176470588235294,2.9411764705882355,52.661764705882355,-17.91176470588235,122,22.058823529411764,69.6470588235294,18.705882352941178,10.176470588235293,1.1764705882352942,2.9411764705882355
18,FUL,26.72222222222222,31.11111111111111,5.777777777777778,2.7222222222222223,36.30555555555556,-14.86111111111111,112,21.61111111111111,69.61111111111111,18.5,9.444444444444445,1.1111111111111112,2.6666666666666665
21,BHA,25.047619047619047,38.476190476190474,6.571428571428571,2.4761904761904763,36.214285714285715,-10.5,110,18.476190476190474,70.76190476190476,20.904761904761905,7.238095238095238,0.9523809523809523,2.761904761904762
19,BUR,24.842105263157894,22.57894736842105,5.105263157894737,2.526315789473684,33.71052631578947,-16.81578947368421,114,19.789473684210527,63.0,14.736842105263158,6.2631578947368425,0.42105263157894735,2.9473684210526314
19,BOU,24.789473684210527,30.486842105263158,4.368421052631579,2.263157894736842,37.48684210526316,-15.894736842105264,116,18.94736842105263,62.05263157894737,14.0,7.2631578947368425,0.8421052631578947,3.1052631578947367
18,CHE,24.5,52.09722222222222,6.333333333333333,2.8333333333333335,45.486111111111114,-13.666666666666666,116,20.555555555555557,105.33333333333333,25.27777777777778,9.277777777777779,0.7222222222222222,3.3333333333333335
19,LUT,23.842105263157894,33.39473684210526,4.421052631578948,2.6315789473684212,40.44736842105263,-12.157894736842104,119,18.473684210526315,63.63157894736842,15.0,11.473684210526315,1.263157894736842,2.6315789473684212
22,MUN,22.0,39.57954545454545,3.590909090909091,3.1818181818181817,36.76136363636363,-9.136363636363637,116,17.954545454545453,79.95454545454545,20.954545454545453,8.727272727272727,0.6363636363636364,2.5454545454545454
19,ARS,21.263157894736842,55.39473684210526,5.2105263157894735,4.157894736842105,41.28947368421053,-7.894736842105263,115,19.157894736842106,108.6842105263158,25.210526315789473,8.789473684210526,0.7894736842105263,2.9473684210526314
19,WOL,21.157894736842106,40.76315789473684,5.157894736842105,1.631578947368421,45.60526315789474,-15.421052631578947,115,17.894736842105264,62.73684210526316,15.105263157894736,7.2631578947368425,0.8421052631578947,2.6315789473684212
21,SHU,20.0,20.154761904761905,3.0,1.8095238095238095,32.654761904761905,-17.642857142857142,117,15.19047619047619,46.333333333333336,10.761904761904763,5.666666666666667,0.47619047619047616,2.761904761904762
21,NOT,17.571428571428573,38.76190476190476,3.380952380952381,1.6666666666666667,36.666666666666664,-10.666666666666666,119,13.333333333333334,47.095238095238095,12.285714285714286,5.714285714285714,0.5238095238095238,2.380952380952381
