player,team,ftx_position,position,deadball agg,fpts,FKs,CKs,ghost points,negative fpts,gp,passes (dead),touches (att 3rd),prog passes,crosses,crosses (penalty),home
Kieran Trippier,NEW,D,RB,569.0,219.0,75.0,65.0,190.5,-56.5,16,266.0,406.0,114.0,127.0,12.0,8
Trent Alexander-Arnold,LIV,D,RB,305.0,204.0,44.0,35.0,157.5,-30.5,14,182.0,272.0,103.0,70.0,5.0,6
Douglas Luiz,AVL,M,DM,305.0,170.5,61.0,46.0,124.5,-15.0,16,112.0,294.0,76.0,52.0,3.0,8
Pascal Gross,BHA,M,DM,293.0,194.0,46.0,51.0,145.0,-9.0,14,122.0,383.0,113.0,79.0,9.0,8
James Ward-Prowse,WHU,M,DM,273.0,195.5,36.0,67.0,145.5,-9.0,16,120.0,232.0,58.0,100.0,2.0,7
Alfie Doughty,LUT,M,WB,269.0,129.5,29.0,45.0,117.5,-6.0,12,159.0,263.0,40.0,105.0,7.0,8
Pedro Porro,TOT,D,RB,255.0,178.5,21.0,34.0,157.5,-51.0,16,177.0,362.0,81.0,81.0,5.0,8
Ashley Young,EVE,D,LB,254.0,59.0,21.0,18.0,90.0,-49.0,13,152.0,202.0,44.0,64.0,8.0,8
Bruno Fernandes,MUN,M,CM,237.0,212.5,24.0,71.0,182.5,-20.0,16,124.0,546.0,152.0,110.0,7.0,9
James Maddison,TOT,M,AM,212.0,179.0,30.0,41.0,122.5,-11.5,10,76.0,326.0,96.0,58.0,1.0,4
Lucas Digne,AVL,D,LB,206.0,141.0,26.0,24.0,151.5,-55.5,16,160.0,376.0,52.0,108.0,13.0,8
Andreas Pereira,FUL,M,LM,199.0,127.5,21.0,56.0,96.0,-13.5,14,93.0,261.0,46.0,69.0,1.0,8
Morgan Gibbs-White,NOT,M,LW,194.0,158.5,37.0,41.0,135.5,-13.0,15,88.0,337.0,54.0,87.0,6.0,6
Julian Alvarez,MCI,F,LM,184.0,210.0,21.0,67.0,136.5,-10.5,17,99.0,455.0,58.0,86.0,3.0,7
Andrew Robertson,LIV,D,LB,162.0,79.25,22.0,24.0,83.75,-20.5,8,91.0,143.0,49.0,45.0,3.0,3
Bryan Mbeumo,BRF,F,FW,162.0,184.0,21.0,42.0,117.0,-11.0,14,73.0,397.0,65.0,73.0,2.0,8
Oliver Norwood,SHU,M,CM,159.0,76.5,41.0,25.0,77.0,-9.5,12,67.0,129.0,56.0,38.0,2.0,7
Vladimir Coufal,WHU,D,RB,155.0,121.25,6.0,1.0,145.75,-71.5,17,154.0,249.0,64.0,49.0,10.0,7
Mathias Jensen,BRF,M,CM,153.0,132.0,22.0,20.0,90.0,-8.0,12,106.0,183.0,49.0,36.0,2.0,6
Tyrick Mitchell,CRY,D,LB,142.0,78.25,6.0,0.0,80.75,-49.5,15,142.0,208.0,40.0,27.0,5.0,6
Nelson Semedo,WOL,D,RB,137.0,63.25,13.0,0.0,115.25,-71.0,16,137.0,229.0,47.0,28.0,3.0,8
Eberechi Eze,CRY,M,AM,137.0,132.0,21.0,31.0,119.0,-14.0,9,64.0,256.0,33.0,48.0,1.0,4
Joel Ward,CRY,D,RB,133.0,62.75,15.0,0.0,89.75,-58.0,15,133.0,163.0,48.0,19.0,2.0,7
