,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
91,Manchester City Player Stats,WB,2,26.12,0.5,2.5,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,11.12,-1.5,1.0,1.0,45.88
13,Aston Villa Player Stats,WB,2,21.25,1.0,1.0,0.5,1.5,1.5,0.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,10.0,-2.25,0.0,1.0,34.5
6,AVL,WB,2,21.25,1.0,1.0,0.5,1.5,1.5,0.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,10.0,-2.25,0.0,1.0,34.5
97,NEW,RB,1,16.99,0.0,3.16,0.63,0.0,0.89,0.42,0.26,0.0,1.84,0.63,0.79,0.79,0.53,1.68,0.0,0.0,0.0,1.05,0.42,0.63,1.74,0.11,0.0,12.88,-2.84,0.53,1.0,55.88
104,Newcastle Utd Player Stats,RB,1,16.25,0.0,3.1,0.6,0.0,0.9,0.5,0.3,0.0,1.9,0.6,0.8,0.8,0.5,1.6,0.0,0.0,0.0,1.1,0.4,0.6,1.9,0.1,0.0,12.7,-3.05,0.5,1.0,54.81
15,BHA,LB,3,13.19,0.12,2.12,0.75,0.38,1.12,0.62,0.5,0.0,0.88,1.38,1.12,0.62,0.12,0.88,0.0,0.0,0.0,1.5,0.0,0.88,2.75,0.12,0.0,10.12,-3.31,0.62,1.0,31.2
36,Brighton Player Stats,LB,4,12.0,0.11,2.0,0.67,0.33,1.0,0.56,0.44,0.0,0.78,1.22,1.0,0.56,0.11,0.89,0.0,0.0,0.0,1.44,0.0,0.78,2.44,0.11,0.0,9.28,-2.94,0.56,1.0,28.92
2,ARS,RB,2,11.5,0.11,1.05,0.11,0.47,1.47,0.53,0.11,0.0,0.63,0.95,1.58,0.95,0.74,0.89,0.0,0.0,0.0,0.74,0.47,0.11,0.95,0.11,0.0,8.92,-1.53,0.58,1.0,36.07
9,Arsenal Player Stats,RB,2,10.86,0.09,1.0,0.09,0.45,1.36,0.55,0.09,0.0,0.64,1.0,1.45,0.91,0.73,0.82,0.0,0.0,0.0,0.73,0.45,0.09,0.82,0.09,0.0,8.59,-1.55,0.55,1.0,33.72
119,TOT,RB,2,10.7,0.11,1.05,0.21,0.11,2.11,0.21,0.11,0.0,0.32,0.63,2.37,0.74,0.53,0.53,0.0,0.0,0.0,0.89,0.42,0.21,1.21,0.0,0.0,7.75,-2.11,0.42,1.0,32.02
74,LUT,WB,3,10.5,0.0,2.83,0.17,0.0,1.5,0.0,0.33,0.0,1.17,1.0,2.33,0.17,0.17,1.67,0.0,0.0,0.0,1.67,0.0,0.17,2.0,0.17,0.0,11.17,-1.67,0.33,1.0,31.12
76,Liverpool Player Stats,LB,3,10.34,0.09,2.09,0.0,0.18,1.36,0.27,0.09,0.0,0.73,0.73,1.91,0.09,0.27,1.0,0.0,0.0,0.0,0.82,0.36,0.09,1.27,0.18,0.0,9.2,-1.95,0.45,1.0,29.06
69,LIV,LB,2,9.97,0.11,2.16,0.0,0.21,1.26,0.16,0.11,0.0,0.79,0.84,2.11,0.11,0.32,0.95,0.0,0.0,0.0,0.95,0.26,0.11,1.32,0.21,0.0,9.53,-2.18,0.47,1.0,31.75
53,Crystal Palace Player Stats,CB,3,9.62,0.09,0.55,0.05,0.23,0.86,0.09,0.14,0.0,0.23,0.91,5.41,0.5,1.05,1.91,0.0,0.0,0.0,1.18,0.45,0.14,1.18,0.05,0.0,8.35,-2.68,0.45,1.0,28.91
