player,ftx_position (first),position (first),deadball agg (sum),fpts (sum),ghost points (sum),negative fpts (sum),gp (sum),crosses (sum),opponent (first),team (first),home (sum)
Ben White,D,RB,65,88.0,47.0,-15.0,8,11,MUN,ARS,5
Max Aarons,D,RB,65,10.0,4.0,-34.5,8,6,CHE,BOU,4
Vladimir Coufal,D,RB,64,78.25,44.25,-25.5,8,20,LIV,WHU,4
Joel Ward,D,RB,64,32.5,14.5,-20.5,7,7,AVL,CRY,3
Diogo Dalot,D,LB,61,41.0,35.0,-25.5,7,20,NOT,MUN,4
Lewis Cook,M,DM,60,38.0,37.0,-1.5,6,14,BRF,BOU,3
Kyle Walker,D,RB,59,54.75,29.75,-15.5,8,16,NEW,MCI,3
Lewis Dunk,D,CB,58,23.5,13.5,-36.5,8,2,BOU,BHA,5
Emerson,D,LB,57,46.5,26.5,-33.0,8,6,CHE,WHU,4
Matty Cash,D,WB,57,60.25,21.25,-32.5,8,9,BUR,AVL,3
Levi Colwill,D,LB,56,66.0,41.0,-15.0,8,9,BOU,CHE,4
Antonee Robinson,D,LB,56,37.5,25.5,-35.5,7,24,EVE,FUL,3
Phil Foden,M,RW,55,100.5,70.5,-4.5,8,22,NEW,MCI,3
Ryan Giles,M,LM,54,22.5,22.5,0.0,4,38,WOL,LUT,2
Jack Robinson,D,CB,54,9.5,2.5,-48.0,8,2,MCI,SHU,4
Issa Kabore,D,RB,53,32.25,25.25,-21.0,7,20,WHU,LUT,3
Solly March,M,RW,53,91.0,56.0,-4.5,6,19,AVL,BHA,4
Timothy Castagne,D,RB,49,30.5,18.5,-11.0,5,17,CRY,FUL,3
Vitalii Mykolenko,D,LB,48,33.0,27.0,-9.0,4,8,BOU,EVE,3
Oleksandr Zinchenko,D,LB,48,41.25,23.25,-8.5,7,13,MUN,ARS,4
Joe Rothwell,M,CM,48,14.0,14.0,-1.0,5,9,EVE,BOU,3
James Garner,M,RM,47,68.5,52.5,-3.5,8,34,WOL,EVE,5
Billy Gilmour,M,DM,46,54.5,35.5,-3.0,7,14,WHU,BHA,4
Kenny Tete,D,RB,46,22.5,10.5,-21.5,5,12,LUT,FUL,2
Bukayo Saka,M,RW,45,138.5,81.5,-6.0,7,42,NOT,ARS,4
Nathan Patterson,D,RB,45,20.75,13.75,-19.5,7,17,SHU,EVE,5
Rayan Ait-Nouri,D,LM,44,17.75,17.75,-28.0,8,4,AVL,WOL,4
Charlie Taylor,D,LB,43,6.25,6.25,-22.5,5,10,NOT,BUR,2
