id,player_id,player_name,season,shotType,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
1025,8260,Erling Haaland,2023,LeftFoot,7.0,23.0,6.16448862478137,0.0,3.0,0.6107392329722643,6.0,4.642150949686766,5.25,26.0,0.30434782608695654,0.0
2560,1250,Mohamed Salah,2023,LeftFoot,7.0,27.0,6.771303452551365,3.0,5.0,1.890551958233118,4.0,3.7267023101449017,5.62,32.0,0.25925925925925924,0.6
552,6552,Bryan Mbeumo,2023,LeftFoot,5.0,16.0,3.7612753100693226,1.0,5.0,1.1790254786610603,3.0,2.238937634974718,3.42,21.0,0.3125,0.2
4860,453,Son Heung-Min,2023,LeftFoot,3.0,12.0,1.9342060685157776,0.0,8.0,1.0476341620087624,3.0,1.9342060685157776,2.98,20.0,0.25,0.0
439,5232,Alexander Isak,2023,LeftFoot,1.0,4.0,1.890188068151474,0.0,1.0,0.2680928409099579,1.0,1.890188068151474,2.16,5.0,0.25,0.0
3150,6049,Solly March,2023,LeftFoot,2.0,12.0,1.855039373971522,0.0,0.0,0.0,2.0,1.855039373971522,1.86,12.0,0.16666666666666666,
463,1776,Jarrod Bowen,2023,LeftFoot,4.0,15.0,1.7895344840362668,0.0,0.0,0.0,4.0,1.7895344840362668,1.79,15.0,0.26666666666666666,
2316,1726,Abdoulaye Doucoure,2023,LeftFoot,1.0,5.0,1.73864958435297,0.0,6.0,0.9548071641474962,1.0,1.73864958435297,2.69,11.0,0.2,0.0
1436,7967,Anssumane Fati,2023,LeftFoot,1.0,7.0,1.5341694839298723,0.0,1.0,0.2851905822753906,1.0,1.5341694839298723,1.82,8.0,0.14285714285714285,0.0
3914,10048,Nicolas Jackson,2023,LeftFoot,1.0,7.0,1.5049744695425034,0.0,1.0,0.20344902575016025,1.0,1.5049744695425034,1.71,8.0,0.14285714285714285,0.0
13,7322,Bukayo Saka,2023,LeftFoot,3.0,12.0,2.9738839864730835,1.0,9.0,1.1260957345366478,1.0,1.451546311378479,2.58,21.0,0.25,0.1111111111111111
158,7420,Miguel Almiron,2023,LeftFoot,2.0,15.0,1.3501833118498323,0.0,0.0,0.0,2.0,1.3501833118498323,1.35,15.0,0.13333333333333333,
4536,10846,Julian Alvarez,2023,LeftFoot,1.0,5.0,1.2867948934435844,2.0,6.0,0.8937204200774431,1.0,1.2867948934435844,2.18,11.0,0.2,0.3333333333333333
761,8865,Ollie Watkins,2023,LeftFoot,3.0,6.0,1.2467278614640236,1.0,8.0,1.1475782580673697,3.0,1.2467278614640236,2.39,14.0,0.5,0.125
3709,5786,Yoane Wissa,2023,LeftFoot,2.0,5.0,1.223745971918106,1.0,5.0,0.33253475837409496,2.0,1.223745971918106,1.56,10.0,0.4,0.2
1867,6820,David Brooks,2023,LeftFoot,1.0,7.0,1.1865451065823436,0.0,4.0,0.3178101386874914,1.0,1.1865451065823436,1.5,11.0,0.14285714285714285,0.0
323,11356,Enzo Fernandez,2023,LeftFoot,0.0,6.0,1.1808648519217968,0.0,4.0,0.576817087829113,0.0,1.1808648519217968,1.76,10.0,0.0,0.0
3632,5221,Leon Bailey,2023,LeftFoot,2.0,4.0,1.1709334887564182,0.0,0.0,0.0,2.0,1.1709334887564182,1.17,4.0,0.5,
3056,3697,Odsonne Edouard,2023,LeftFoot,2.0,6.0,1.1707150787115097,0.0,1.0,0.017356693744659424,2.0,1.1707150787115097,1.19,7.0,0.3333333333333333,0.0
3017,11296,Cody Gakpo,2023,LeftFoot,1.0,3.0,1.1342020258307457,0.0,3.0,0.14453017711639404,1.0,1.1342020258307457,1.28,6.0,0.3333333333333333,0.0
1462,6691,Dejan Kulusevski,2023,LeftFoot,1.0,15.0,1.129059422761202,0.0,6.0,1.2716867327690125,1.0,1.129059422761202,2.4,21.0,0.06666666666666667,0.0
