id,player_id,player_name,season,shotZone,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
3866,10716,Manor Solomon,2023,shotPenaltyArea,0.0,5.0,0.27642116881906986,2.0,5.0,0.7674217410385609,0.0,0.27642116881906986,1.04,10.0,0.0,0.4
1003,9788,Dominik Szoboszlai,2023,shotPenaltyArea,0.0,4.0,0.2738645263016224,0.0,16.0,1.1367283407598734,0.0,0.2738645263016224,1.41,20.0,0.0,0.0
2336,11807,Ian Maatsen,2023,shotPenaltyArea,0.0,2.0,0.2707434594631195,0.0,1.0,0.043704789131879807,0.0,0.2707434594631195,0.31,3.0,0.0,0.0
2835,592,Ross Barkley,2023,shotPenaltyArea,0.0,3.0,0.26958075165748596,0.0,4.0,0.5400264039635658,0.0,0.26958075165748596,0.81,7.0,0.0,0.0
2297,10822,Wilson Odobert,2023,shotPenaltyArea,1.0,4.0,0.26681094989180565,0.0,1.0,0.12102971971035004,1.0,0.26681094989180565,0.39,5.0,0.25,0.0
1012,10126,James McAtee,2023,shotPenaltyArea,0.0,3.0,0.2666427865624428,0.0,3.0,0.2107025384902954,0.0,0.2666427865624428,0.48,6.0,0.0,0.0
4279,7726,Ezri Konsa Ngoyo,2023,shotPenaltyArea,0.0,4.0,0.26160275749862194,0.0,0.0,0.0,0.0,0.26160275749862194,0.26,4.0,0.0,
3562,7931,Takehiro Tomiyasu,2023,shotPenaltyArea,1.0,4.0,0.2459771391004324,0.0,0.0,0.0,1.0,0.2459771391004324,0.25,4.0,0.25,
5105,1245,Emerson,2023,shotPenaltyArea,0.0,2.0,0.24215353280305865,0.0,3.0,0.15337398275732994,0.0,0.24215353280305865,0.4,5.0,0.0,0.0
5331,6935,Naif Aguerd,2023,shotPenaltyArea,0.0,5.0,0.23861475102603436,0.0,0.0,0.0,0.0,0.23861475102603436,0.24,5.0,0.0,
19,7703,John Egan,2023,shotPenaltyArea,0.0,3.0,0.2383595146238804,0.0,0.0,0.0,0.0,0.2383595146238804,0.24,3.0,0.0,
3631,9667,Amadou Onana,2023,shotPenaltyArea,0.0,5.0,0.23598437011241913,0.0,3.0,0.893612764775753,0.0,0.23598437011241913,1.13,8.0,0.0,0.0
3526,11998,Hannes Delcroix,2023,shotPenaltyArea,0.0,4.0,0.23279431834816933,0.0,0.0,0.0,0.0,0.23279431834816933,0.23,4.0,0.0,
4187,7395,Carlos Vinicius,2023,shotPenaltyArea,0.0,4.0,0.22890999354422092,0.0,2.0,0.4139238893985748,0.0,0.22890999354422092,0.64,6.0,0.0,0.0
1277,5609,Yves Bissouma,2023,shotPenaltyArea,0.0,3.0,0.2214142307639122,0.0,3.0,0.1588689088821411,0.0,0.2214142307639122,0.38,6.0,0.0,0.0
