id,player_id,player_name,season,situation,goals,shots,xG,assists,key_passes,xA,npg,npxG,time,npxG+xA,key_passes+shots,90s,goals_per_90,assists_per_90,xA_per_90,npxG_per_90,npxG+xA_per_90,shots_per_90,key_passes_per_90,key_passes+shots_per_90,goal_conversion_rate,assist_to_key_pass_ratio
5189,11317,Danilo,2023,OpenPlay,0.0,3.0,0.08356551360338926,0.0,2.0,0.07487189397215843,0.0,0.08356551360338926,298.0,0.16,5.0,3.31,0.0,0.0,0.02,0.03,0.05,0.91,0.6,1.51,0.0,0.0
483,6314,Joachim Andersen,2023,OpenPlay,1.0,2.0,0.08151078037917614,1.0,9.0,0.7418491505086422,1.0,0.08151078037917614,900.0,0.82,11.0,10.0,0.1,0.1,0.07,0.01,0.08,0.2,0.9,1.1,0.5,0.1111111111111111
627,9913,Aaron Ramsey,2023,OpenPlay,0.0,2.0,0.08126254752278328,0.0,1.0,0.39152228832244873,0.0,0.08126254752278328,202.0,0.47,3.0,2.24,0.0,0.0,0.17,0.04,0.21,0.89,0.45,1.34,0.0,0.0
3301,6665,Curtis Jones,2023,OpenPlay,0.0,3.0,0.08094411343336105,0.0,0.0,0.0,0.0,0.08094411343336105,282.0,0.08,3.0,3.13,0.0,0.0,0.0,0.03,0.03,0.96,0.0,0.96,0.0,
4682,1042,Tom Davies,2023,OpenPlay,0.0,2.0,0.08043981343507767,0.0,1.0,0.034635528922080994,0.0,0.08043981343507767,45.0,0.12,3.0,0.5,0.0,0.0,0.07,0.16,0.24,4.0,2.0,6.0,0.0,0.0
3287,10527,Carlos Baleba,2023,OpenPlay,0.0,3.0,0.08025589771568775,0.0,1.0,0.05960940569639206,0.0,0.08025589771568775,239.0,0.14,4.0,2.66,0.0,0.0,0.02,0.03,0.05,1.13,0.38,1.5,0.0,0.0
556,11926,Edson Alvarez,2023,OpenPlay,0.0,2.0,0.0792507017031312,1.0,2.0,0.06765288393944502,0.0,0.0792507017031312,594.0,0.15,4.0,6.6,0.0,0.15,0.01,0.01,0.02,0.3,0.3,0.61,0.0,0.5
218,12152,Matheus Franca,2023,OpenPlay,0.0,2.0,0.07806615019217134,0.0,1.0,0.12021023780107498,0.0,0.07806615019217134,24.0,0.2,3.0,0.27,0.0,0.0,0.45,0.29,0.74,7.41,3.7,11.11,0.0,0.0
5213,10746,Jaidon Anthony,2023,OpenPlay,0.0,2.0,0.07687148079276085,0.0,0.0,0.0,0.0,0.07687148079276085,153.0,0.08,2.0,1.7,0.0,0.0,0.0,0.05,0.05,1.18,0.0,1.18,0.0,
5542,6063,Jacob Murphy,2023,OpenPlay,1.0,2.0,0.07374494709074497,3.0,4.0,1.4644091427326202,1.0,0.07374494709074497,98.0,1.54,6.0,1.09,0.92,2.75,1.34,0.07,1.41,1.83,3.67,5.5,0.5,0.75
