minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
18,Josh Brownhill,Burnley,0.04,,Blocked,22,Right Foot,,Jacob Bruun Larsen,Pass (Live),Sander Berge,Pass (Live),15
20,Luca Koleosho,Burnley,0.05,,Blocked,17,Right Foot,,Luca Koleosho,Take-On,Charlie Taylor,Pass (Live),15
24,Zeki Amdouni,Burnley,0.04,,Blocked,9,Head,,Jacob Bruun Larsen,Pass (Dead),Sander Berge,Pass (Live),15
24,Charlie Taylor,Burnley,0.01,,Off Target,30,Left Foot,Volley,Zeki Amdouni,Shot,,,15
25,Pablo Sarabia,Wolves,0.02,0.04,Saved,18,Left Foot,Deflected,Hwang Hee-chan,Pass (Live),Joao Gomes,Pass (Live),15
27,Pablo Sarabia,Wolves,0.14,,Off Target,15,Left Foot,,Nelson Semedo,Pass (Live),Nelson Semedo,Take-On,15
32,Zeki Amdouni,Burnley,0.06,0.02,Saved,26,Left Foot,,Hjalmar Ekdal,Pass (Live),,,15
35,Jacob Bruun Larsen,Burnley,0.04,,Off Target,26,Left Foot,,Zeki Amdouni,Pass (Live),,,15
38,Jay Rodriguez,Burnley,0.43,0.17,Saved,9,Right Foot,,Johann Berg Gudmundsson,Pass (Live),,,15
38,Josh Brownhill,Burnley,0.06,0.15,Saved,17,Right Foot,"Deflected, Volley",Jay Rodriguez,Shot,,,15
42,Hwang Hee-chan,Wolves,0.19,0.45,Goal,12,Right Foot,,Matheus Cunha,Pass (Live),Pablo Sarabia,Pass (Live),15
51,Vitinho,Burnley,0.01,,Off Target,21,Left Foot,,Sander Berge,Pass (Live),Johann Berg Gudmundsson,Pass (Live),15
55,Mario Lemina,Wolves,0.31,,Off Target,3,Head,,Pablo Sarabia,Pass (Dead),Hugo Bueno,Fouled,15
59,Jacob Bruun Larsen,Burnley,0.03,,Off Target,30,Right Foot,Free kick,Sander Berge,Fouled,Josh Brownhill,Pass (Live),15
70,Pablo Sarabia,Wolves,0.05,0.19,Saved,26,Left Foot,Free kick,Pablo Sarabia,Fouled,Matheus Cunha,Pass (Live),15
70,Hwang Hee-chan,Wolves,0.10,,Off Target,5,Head,,Pablo Sarabia,Pass (Dead),Pablo Sarabia,Shot,15
