minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
13,Martin Odegaard,Arsenal,0.16,,Blocked,14,Left Foot,,Gabriel Jesus,Pass (Live),Ben White,Pass (Live),22
15,Bukayo Saka,Arsenal,0.02,,Blocked,29,Left Foot,,Declan Rice,Pass (Live),Martin Odegaard,Pass (Live),22
23,Gabriel Martinelli,Arsenal,0.03,,Blocked,28,Right Foot,,Gabriel Martinelli,Take-On,Oleksandr Zinchenko,Pass (Live),22
23,Chris Wood,Nott'ham Forest,0.02,,Blocked,23,Right Foot,,Morgan Gibbs-White,Pass (Live),Chris Wood,Pass (Live),22
30,Emile Smith Rowe,Arsenal,0.08,,Off Target,22,Right Foot,,Ben White,Pass (Live),Martin Odegaard,Pass (Live),22
35,Gabriel Jesus,Arsenal,0.04,,Blocked,17,Right Foot,,Oleksandr Zinchenko,Pass (Live),Bukayo Saka,Pass (Live),22
39,Martin Odegaard,Arsenal,0.10,,Blocked,14,Left Foot,,Ben White,Pass (Live),Bukayo Saka,Pass (Live),22
41,Danilo,Nott'ham Forest,0.02,,Off Target,32,Left Foot,,Danilo,Take-On,,,22
44,Bukayo Saka,Arsenal,0.12,,Blocked,11,Right Foot,,Emile Smith Rowe,Pass (Live),Bukayo Saka,Pass (Live),22
45+1,Gabriel Jesus,Arsenal,0.06,,Off Target,11,Head,,Oleksandr Zinchenko,Pass (Live),Declan Rice,Pass (Live),22
45+4,Gabriel Jesus,Arsenal,0.13,0.45,Saved,6,Head,Deflected,Martin Odegaard,Pass (Live),Bukayo Saka,Pass (Live),22
52,Neco Williams,Nott'ham Forest,0.04,0.10,Saved,12,Head,,Danilo,Pass (Dead),Taiwo Awoniyi,Fouled,22
57,Gabriel Jesus,Arsenal,0.09,,Woodwork,8,Right Foot,,Martin Odegaard,Pass (Live),Bukayo Saka,Pass (Live),22
58,Gabriel Jesus,Arsenal,0.03,,Off Target,10,Right Foot,Volley,Gabriel Jesus,Take-On,Bukayo Saka,Pass (Live),22
65,Gabriel Jesus,Arsenal,0.06,0.17,Goal,8,Left Foot,,Oleksandr Zinchenko,Pass (Dead),,,22
69,Bukayo Saka,Arsenal,0.03,,Blocked,18,Left Foot,,Martin Odegaard,Pass (Live),Gabriel Jesus,Pass (Live),22
