minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
4,Richarlison,Tottenham,0.58,0.70,Goal,9,Left Foot,Volley,Destiny Udogie,Pass (Live),Timo Werner,Pass (Live),23
5,Dominic Calvert-Lewin,Everton,0.08,,Off Target,10,Head,,Ashley Young,Pass (Live),Jack Harrison,Pass (Live),23
9,James Maddison,Tottenham,0.04,0.37,Saved,24,Left Foot,,Richarlison,Pass (Live),,,23
10,Pierre Hojbjerg,Tottenham,0.03,,Off Target,20,Right Foot,Volley,James Maddison,Shot,,,23
15,Idrissa Gana Gueye,Everton,0.03,,Blocked,25,Left Foot,,Ashley Young,Pass (Live),Dwight McNeil,Fouled,23
25,Dominic Calvert-Lewin,Everton,0.04,,Off Target,4,Head,,Dwight McNeil,Pass (Dead),Vitaliy Mykolenko,Pass (Live),23
30,Dominic Calvert-Lewin,Everton,0.65,,Blocked,3,Head,,James Tarkowski,Pass (Live),Jack Harrison,Pass (Live),23
30,Jack Harrison,Everton,0.87,0.96,Goal,1,Right Foot,,Dominic Calvert-Lewin,Shot,,,23
41,Richarlison,Tottenham,0.04,0.36,Goal,21,Right Foot,,James Maddison,Pass (Live),Timo Werner,Pass (Live),23
43,Dwight McNeil,Everton,0.03,,Off Target,29,Left Foot,,,,,,23
45,Idrissa Gana Gueye,Everton,0.04,,Blocked,22,Right Foot,,,,,,23
45+1,Ben Godfrey,Everton,0.16,0.08,Saved,5,Head,,James Garner,Pass (Dead),Idrissa Gana Gueye,Shot,23
45+2,Dominic Calvert-Lewin,Everton,0.10,,Blocked,15,Right Foot,,Dwight McNeil,Pass (Live),Vitaliy Mykolenko,Pass (Live),23
50,Jack Harrison,Everton,0.02,,Off Target,25,Left Foot,,James Tarkowski,Pass (Live),Jordan Pickford,Pass (Live),23
50,Pedro Porro,Tottenham,0.04,0.21,Saved,23,Right Foot,,Timo Werner,Pass (Live),James Maddison,Take-On,23
52,Pierre Hojbjerg,Tottenham,0.05,,Off Target,14,Left Foot,Volley,Richarlison,Pass (Live),Pedro Porro,Pass (Dead),23
58,James Maddison,Tottenham,0.07,0.14,Saved,22,Left Foot,,Pedro Porro,Take-On,James Maddison,Pass (Live),23
60,Richarlison,Tottenham,0.04,,Blocked,13,Left Foot,,Destiny Udogie,Pass (Live),Destiny Udogie,Take-On,23
65,Dominic Calvert-Lewin,Everton,0.03,,Off Target,21,Head,,James Garner,Pass (Dead),Ashley Young,Fouled,23
68,Ben Godfrey,Everton,0.01,,Off Target,28,Right Foot,,Jordan Pickford,Pass (Dead),Idrissa Gana Gueye,Fouled,23
70,Richarlison,Tottenham,0.08,0.03,Saved,13,Right Foot,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live),23
88,Youssef Chermiti,Everton,0.29,0.22,Saved,11,Right Foot,Volley,Lewis Dobbin,Pass (Live),Vitaliy Mykolenko,Pass (Live),23
90+4,Jarrad Branthwaite,Everton,0.86,0.97,Goal,2,Head,,James Garner,Fouled,James Garner,Interception,23
7,Sean Longstaff,Newcastle Utd,0.21,0.62,Goal,14,Right Foot,,Lewis Miley,Pass (Live),Sven Botman,Pass (Live),23
9,Ross Barkley,Luton Town,0.02,,Blocked,33,Right Foot,,Albert Sambi Lokonga,Pass (Live),Carlton Morris,Pass (Live),23
16,Carlton Morris,Luton Town,0.03,0.05,Saved,11,Head,,Alfie Doughty,Pass (Dead),,,23
