minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
7,Johann Berg Gudmundsson,Burnley,0.35,0.25,Saved,11,Right Foot,,Lyle Foster,Pass (Live),Josh Cullen,Pass (Live),21
8,Lyle Foster,Burnley,0.03,,Off Target,28,Left Foot,,Zeki Amdouni,Pass (Live),James Trafford,Pass (Dead),21
9,Ross Barkley,Luton Town,0.06,0.11,Saved,25,Right Foot,,Chiedozie Ogbene,Pass (Live),Ross Barkley,Pass (Live),21
12,Chiedozie Ogbene,Luton Town,0.02,0.10,Saved,13,Right Foot,,Ross Barkley,Pass (Live),Jordan Clark,Pass (Live),21
21,Ross Barkley,Luton Town,0.01,,Blocked,28,Right Foot,,Albert Sambi Lokonga,Pass (Live),Ross Barkley,Pass (Live),21
24,Johann Berg Gudmundsson,Burnley,0.04,,Off Target,25,Left Foot,Free kick,Lyle Foster,Fouled,Zeki Amdouni,Pass (Live),21
26,Ross Barkley,Luton Town,0.07,,Blocked,22,Right Foot,,Elijah Adebayo,Pass (Live),Andros Townsend,Pass (Live),21
28,Albert Sambi Lokonga,Luton Town,0.22,,Off Target,17,Right Foot,,Chiedozie Ogbene,Pass (Live),Ross Barkley,Pass (Live),21
34,Wilson Odobert,Burnley,0.01,,Off Target,27,Right Foot,,Wilson Odobert,Take-On,Ameen Al-Dakhil,Pass (Live),21
36,Zeki Amdouni,Burnley,0.33,0.41,Goal,9,Right Foot,,Lyle Foster,Pass (Live),Josh Brownhill,Pass (Live),21
40,Ameen Al-Dakhil,Burnley,0.11,,Off Target,9,Left Foot,,Wilson Odobert,Pass (Live),Josh Brownhill,Pass (Live),21
41,Jordan Clark,Luton Town,0.08,,Blocked,11,Right Foot,,Chiedozie Ogbene,Pass (Live),Chiedozie Ogbene,Take-On,21
41,Albert Sambi Lokonga,Luton Town,0.04,,Blocked,19,Right Foot,,Chiedozie Ogbene,Pass (Live),Jordan Clark,Shot,21
47,Vitinho,Burnley,0.01,0.02,Saved,22,Left Foot,,Lyle Foster,Pass (Live),,,21
50,Chiedozie Ogbene,Luton Town,0.05,0.06,Saved,15,Left Foot,,Chiedozie Ogbene,Take-On,Ross Barkley,Pass (Live),21
52,Vitinho,Burnley,0.07,,Off Target,19,Left Foot,,Vitinho,Take-On,Josh Cullen,Pass (Live),21
56,Chiedozie Ogbene,Luton Town,0.10,0.09,Saved,9,Head,,Andros Townsend,Pass (Live),Jordan Clark,Pass (Live),21
58,Chiedozie Ogbene,Luton Town,0.03,,Blocked,19,Left Foot,,Chiedozie Ogbene,Take-On,Ross Barkley,Pass (Live),21
58,Jordan Clark,Luton Town,0.04,,Off Target,21,Right Foot,Volley,Ross Barkley,Pass (Live),Chiedozie Ogbene,Pass (Live),21
62,Wilson Odobert,Burnley,0.04,0.18,Saved,21,Right Foot,Deflected,Wilson Odobert,Take-On,Zeki Amdouni,Pass (Live),21
63,Hjalmar Ekdal,Burnley,0.04,,Off Target,13,Head,,Johann Berg Gudmundsson,Pass (Dead),Wilson Odobert,Shot,21
66,Ross Barkley,Luton Town,0.05,,Blocked,26,Right Foot,,Tahith Chong,Pass (Live),Chiedozie Ogbene,Pass (Live),21
71,Ameen Al-Dakhil,Burnley,0.02,0.28,Saved,32,Right Foot,,Ameen Al-Dakhil,Take-On,Josh Cullen,Pass (Live),21
76,Lyle Foster,Burnley,0.03,0.11,Saved,16,Right Foot,Volley,Dara O'Shea,Pass (Live),Vitinho,Pass (Live),21
78,Carlton Morris,Luton Town,0.05,,Off Target,23,Left Foot,Volley,Elijah Adebayo,Pass (Live),Amari'i Bell,Pass (Live),21
