team_name,shots,goals,xG,against_shots,GA,xGA,GP,xG-G,xGA-GA,xG-xGA,xG_per_shot,xG_per_against_shot,shots_per_goal_against,shots_against_per_game,xG_diff,shots_per_game
BRF,257.0,26.0,36.53,248.0,31.0,26.67,20.0,10.53,-4.33,9.86,0.14,0.11,8.0,12.4,9.86,12.85
WHU,223.0,33.0,31.13,336.0,30.0,38.25,20.0,-1.87,8.25,-7.12,0.14,0.11,11.2,16.8,-7.12,11.15
ARS,326.0,37.0,41.9,172.0,20.0,20.13,20.0,4.9,0.13,21.77,0.13,0.12,8.6,8.6,21.77,16.3
BOU,255.0,28.0,30.91,291.0,35.0,36.33,20.0,2.91,1.33,-5.42,0.12,0.12,8.31,14.55,-5.42,12.75
NOT,219.0,24.0,24.63,273.0,35.0,32.34,20.0,0.63,-2.66,-7.71,0.11,0.12,7.8,13.65,-7.71,10.95
CHE,270.0,34.0,43.12,251.0,31.0,31.29,20.0,9.12,0.29,11.83,0.16,0.12,8.1,12.55,11.83,13.5
MUN,283.0,22.0,29.73,301.0,27.0,36.73,20.0,7.73,9.73,-7.0,0.11,0.12,11.15,15.05,-7.0,14.15
EVE,276.0,24.0,35.93,263.0,28.0,32.54,20.0,11.93,4.54,3.39,0.13,0.12,9.39,13.15,3.39,13.8
LIV,383.0,43.0,50.79,226.0,18.0,26.07,20.0,7.79,8.07,24.72,0.13,0.12,12.56,11.3,24.72,19.15
TOT,322.0,42.0,40.82,288.0,29.0,38.81,20.0,-1.18,9.81,2.01,0.13,0.13,9.93,14.4,2.01,16.1
NEW,281.0,39.0,45.19,277.0,29.0,34.69,20.0,6.19,5.69,10.5,0.16,0.13,9.55,13.85,10.5,14.05
MCI,313.0,45.0,44.12,149.0,21.0,20.04,20.0,-0.88,-0.96,24.08,0.14,0.13,7.1,7.45,24.08,15.65
WOL,230.0,30.0,29.92,281.0,31.0,37.3,20.0,-0.08,6.3,-7.38,0.13,0.13,9.06,14.05,-7.38,11.5
CRY,235.0,22.0,27.22,250.0,29.0,32.6,20.0,5.22,3.6,-5.38,0.12,0.13,8.62,12.5,-5.38,11.75
BUR,209.0,20.0,19.91,302.0,41.0,41.14,20.0,-0.09,0.14,-21.23,0.1,0.14,7.37,15.1,-21.23,10.45
BHA,312.0,38.0,38.9,248.0,33.0,34.12,20.0,0.9,1.12,4.78,0.12,0.14,7.52,12.4,4.78,15.6
SHU,174.0,15.0,20.98,350.0,49.0,49.45,20.0,5.98,0.45,-28.47,0.12,0.14,7.14,17.5,-28.47,8.7
AVL,294.0,43.0,42.4,202.0,27.0,29.87,20.0,-0.6,2.87,12.53,0.14,0.15,7.48,10.1,12.53,14.7
LUT,211.0,23.0,26.63,331.0,37.0,50.11,20.0,3.63,13.11,-23.48,0.13,0.15,8.95,16.55,-23.48,10.55
FUL,230.0,28.0,27.43,264.0,35.0,39.74,20.0,-0.57,4.74,-12.31,0.12,0.15,7.54,13.2,-12.31,11.5
