minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
3,Idrissa Gana Gueye,Everton,0.08,,Blocked,16,Left Foot,,Ashley Young,Pass (Live),,,15
3,Ashley Young,Everton,0.05,,Blocked,20,Right Foot,Volley,Idrissa Gana Gueye,Shot,,,15
6,Idrissa Gana Gueye,Everton,0.05,,Blocked,26,Left Foot,,Seamus Coleman,Take-On,Ashley Young,Pass (Live),15
7,Ashley Young,Everton,0.07,,Blocked,13,Right Foot,,Idrissa Gana Gueye,Shot,,,15
7,Jarrad Branthwaite,Everton,0.20,,Off Target,6,Head,,Dwight McNeil,Pass (Dead),Ashley Young,Shot,15
8,Jack Harrison,Everton,0.10,,Blocked,7,Right Foot,Volley,Dominic Calvert-Lewin,Pass (Live),,,15
8,James Tarkowski,Everton,0.02,,Off Target,31,Right Foot,,Abdoulaye Doucoure,Pass (Live),Idrissa Gana Gueye,Pass (Live),15
14,Kieran Trippier,Newcastle Utd,0.06,0.35,Saved,27,Right Foot,Free kick,Valentino Livramento,Fouled,Anthony Gordon,Pass (Live),15
17,Miguel Almiron,Newcastle Utd,0.18,0.20,Saved,13,Left Foot,,Joelinton,Pass (Live),Joelinton,Pass (Live),15
18,Dominic Calvert-Lewin,Everton,0.25,,Off Target,8,Head,,Jack Harrison,Pass (Live),Ashley Young,Pass (Live),15
19,Abdoulaye Doucoure,Everton,0.08,,Off Target,10,Head,,Ashley Young,Pass (Live),Abdoulaye Doucoure,Pass (Live),15
19,Dominic Calvert-Lewin,Everton,0.19,0.31,Saved,5,Head,,Dwight McNeil,Pass (Live),Abdoulaye Doucoure,Shot,15
20,Dominic Calvert-Lewin,Everton,0.09,0.22,Saved,13,Right Foot,,Jack Harrison,Pass (Live),Jack Harrison,Take-On,15
29,Miguel Almiron,Newcastle Utd,0.02,,Off Target,20,Left Foot,Volley,Anthony Gordon,Fouled,Kieran Trippier,Pass (Live),15
31,Dwight McNeil,Everton,0.14,,Off Target,14,Left Foot,,Jack Harrison,Pass (Live),Dwight McNeil,Interception,15
31,Bruno Guimaraes,Newcastle Utd,0.08,,Blocked,15,Right Foot,,Anthony Gordon,Pass (Live),Lewis Miley,Pass (Live),15
36,Alexander Isak,Newcastle Utd,0.20,,Off Target,10,Head,,Kieran Trippier,Pass (Live),Joelinton,Pass (Live),15
39,Dominic Calvert-Lewin,Everton,0.82,,Off Target,5,Left Foot,Volley,Jarrad Branthwaite,Pass (Live),Jordan Pickford,Pass (Dead),15
50,Dominic Calvert-Lewin,Everton,0.15,0.05,Saved,6,Head,Deflected,Dwight McNeil,Pass (Dead),,,15
55,Anthony Gordon,Newcastle Utd,0.02,,Off Target,26,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On,15
58,Lewis Miley,Newcastle Utd,0.03,,Off Target,26,Right Foot,,Anthony Gordon,Pass (Live),Bruno Guimaraes,Tackle,15
62,Anthony Gordon,Newcastle Utd,0.23,0.09,Saved,18,Right Foot,,Anthony Gordon,Tackle,,,15
63,Dominic Calvert-Lewin,Everton,0.07,,Off Target,5,Head,,Dominic Calvert-Lewin,Pass (Live),Idrissa Gana Gueye,Pass (Live),15
65,Anthony Gordon,Newcastle Utd,0.07,,Off Target,29,Right Foot,,Alexander Isak,Pass (Live),Alexander Isak,Take-On,15
67,Idrissa Gana Gueye,Everton,0.07,,Off Target,24,Left Foot,,Abdoulaye Doucoure,Pass (Live),Dominic Calvert-Lewin,Pass (Live),15
69,Fabian Schar,Newcastle Utd,0.01,,Blocked,33,Right Foot,,Kieran Trippier,Pass (Live),Anthony Gordon,Pass (Live),15
75,Abdoulaye Doucoure,Everton,0.09,,Blocked,10,Head,,Ashley Young,Pass (Live),Idrissa Gana Gueye,Pass (Live),15
79,Dwight McNeil,Everton,0.08,0.10,Goal,16,Left Foot,Deflected,,,,,15
82,Lewis Miley,Newcastle Utd,0.09,,Blocked,14,Right Foot,Volley,Valentino Livramento,Pass (Live),Bruno Guimaraes,Pass (Live),15
82,Miguel Almiron,Newcastle Utd,0.34,,Off Target,6,Head,,Lewis Miley,Shot,,,15
85,Jack Harrison,Everton,0.06,,Blocked,21,Right Foot,,James Tarkowski,Pass (Live),Jordan Pickford,Pass (Dead),15
86,Abdoulaye Doucoure,Everton,0.37,0.57,Goal,14,Right Foot,,Jack Harrison,Pass (Live),,,15
90+1,Alexander Isak,Newcastle Utd,0.26,,Off Target,16,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On,15
90+6,Beto,Everton,0.33,0.56,Goal,9,Right Foot,,Nathan Patterson,Pass (Live),James Tarkowski,Pass (Live),15
11,Cristian Romero,Tottenham,0.05,0.55,Goal,11,Head,,Pedro Porro,Pass (Dead),,,15
15,Brennan Johnson,Tottenham,0.19,,Blocked,15,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Live),15
16,Pedro Porro,Tottenham,0.04,,Blocked,20,Left Foot,,Cristian Romero,Pass (Live),Dejan Kulusevski,Pass (Live),15
17,Son Heung-min,Tottenham,0.10,0.03,Saved,23,Right Foot,,Dejan Kulusevski,Pass (Live),Ben Davies,Pass (Live),15
18,Emerson Palmieri,West Ham,0.01,,Blocked,27,Left Foot,,Lucas Paqueta,Pass (Live),Emerson Palmieri,Pass (Live),15
19,Kurt Zouma,West Ham,0.21,,Off Target,3,Head,,Kudus Mohammed,Pass (Live),Kudus Mohammed,Take-On,15
21,Giovani Lo Celso,Tottenham,0.05,,Off Target,25,Left Foot,,Brennan Johnson,Pass (Live),Pierre Hojbjerg,Pass (Live),15
22,Giovani Lo Celso,Tottenham,0.04,,Blocked,22,Left Foot,,Son Heung-min,Pass (Live),,,15
25,Kudus Mohammed,West Ham,0.02,0.19,Saved,29,Right Foot,Deflected,,,,,15
26,Pedro Porro,Tottenham,0.02,,Off Target,27,Right Foot,,Brennan Johnson,Pass (Live),Brennan Johnson,Take-On,15
35,Giovani Lo Celso,Tottenham,0.09,0.07,Saved,17,Left Foot,Volley,Pedro Porro,Pass (Live),Pedro Porro,Pass (Dead),15
37,Brennan Johnson,Tottenham,0.13,0.04,Saved,12,Left Foot,,Giovani Lo Celso,Pass (Live),Ben Davies,Pass (Live),15
40,Dejan Kulusevski,Tottenham,0.05,,Blocked,17,Left Foot,,Cristian Romero,Pass (Live),Yves Bissouma,Pass (Live),15
40,Yves Bissouma,Tottenham,0.18,,Off Target,18,Left Foot,,Dejan Kulusevski,Shot,,,15
44,Lucas Paqueta,West Ham,0.09,,Off Target,9,Head,,Kudus Mohammed,Pass (Live),Vladimir Coufal,Pass (Live),15
45+1,Brennan Johnson,Tottenham,0.04,0.03,Saved,17,Right Foot,,Pedro Porro,Pass (Live),Pierre Hojbjerg,Pass (Live),15
45+3,Cristian Romero,Tottenham,0.22,,Off Target,5,Head,,Pedro Porro,Pass (Dead),,,15
48,Pedro Porro,Tottenham,0.02,,Off Target,21,Right Foot,,Giovani Lo Celso,Pass (Live),Pedro Porro,Pass (Live),15
52,Kudus Mohammed,West Ham,0.02,,Blocked,31,Left Foot,,Jarrod Bowen,Pass (Live),Lucas Paqueta,Pass (Live),15
52,Jarrod Bowen,West Ham,0.49,0.88,Goal,9,Right Foot,,Kudus Mohammed,Shot,,,15
56,Lucas Paqueta,West Ham,0.05,0.30,Saved,16,Left Foot,,James Ward-Prowse,Pass (Live),Jarrod Bowen,Pass (Live),15
58,Yves Bissouma,Tottenham,0.04,,Blocked,21,Right Foot,,Giovani Lo Celso,Pass (Dead),Pedro Porro,Fouled,15
61,Nayef Aguerd,West Ham,0.03,,Off Target,10,Head,,Emerson Palmieri,Pass (Live),James Ward-Prowse,Pass (Dead),15
70,Richarlison,Tottenham,0.25,,Off Target,8,Head,,Pedro Porro,Pass (Live),Yves Bissouma,Pass (Live),15
73,Pedro Porro,Tottenham,0.04,0.29,Saved,15,Right Foot,,Yves Bissouma,Pass (Live),Son Heung-min,Pass (Live),15
73,Brennan Johnson,Tottenham,0.03,,Off Target,9,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Dead),15
74,James Ward-Prowse,West Ham,0.18,,Woodwork,21,Left Foot,,,,,,15
74,James Ward-Prowse,West Ham,0.93,0.87,Goal,8,Left Foot,,James Ward-Prowse,Shot,,,15
77,Brennan Johnson,Tottenham,0.05,,Off Target,12,Right Foot,Volley,Ben Davies,Pass (Live),Yves Bissouma,Pass (Live),15
87,Nayef Aguerd,West Ham,0.37,0.80,Saved,3,Head,,,,,,15
87,Pape Matar Sarr,Tottenham,0.06,,Off Target,18,Right Foot,,Son Heung-min,Pass (Live),Dejan Kulusevski,Pass (Live),15
90+1,Pape Matar Sarr,Tottenham,0.04,,Blocked,25,Right Foot,,Bryan Gil,Pass (Live),Dejan Kulusevski,Pass (Live),15
90+4,Pedro Porro,Tottenham,0.05,,Blocked,24,Right Foot,Free kick,Pedro Porro,Fouled,Pape Matar Sarr,Pass (Live),15
90+5,Richarlison,Tottenham,0.04,,Off Target,11,Head,,Pedro Porro,Pass (Dead),Pedro Porro,Shot,15
3,Kostas Tsimikas,Liverpool,0.02,,Off Target,30,Left Foot,,,,,,16
15,Luis Diaz,Liverpool,0.02,,Blocked,26,Right Foot,,Kostas Tsimikas,Pass (Live),Darwin Nunez,Pass (Live),16
16,Dominik Szoboszlai,Liverpool,0.01,,Off Target,31,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),16
16,Ryan Gravenberch,Liverpool,0.02,,Blocked,18,Right Foot,,Luis Diaz,Pass (Live),Kostas Tsimikas,Pass (Live),16
27,Jefferson Lerma,Crystal Palace,0.50,0.47,Saved,11,Right Foot,,Jordan Ayew,Pass (Live),Jeffrey Schlupp,Pass (Live),16
