minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
11,Armando Broja,Chelsea,0.15,,Off Target,11,Right Foot,,Malo Gusto,Pass (Live),Raheem Sterling,Pass (Live),18
12,Nicolas Jackson,Chelsea,0.02,,Blocked,24,Right Foot,,Cole Palmer,Pass (Live),Lesley Ugochukwu,Pass (Live),18
21,Conor Gallagher,Chelsea,0.04,,Blocked,23,Right Foot,,Conor Gallagher,Take-On,Nicolas Jackson,Pass (Live),18
29,Raheem Sterling,Chelsea,0.09,,Off Target,21,Right Foot,Free kick,Raheem Sterling,Fouled,Raheem Sterling,Interception,18
31,Pablo Sarabia,Wolves,0.10,,Blocked,27,Left Foot,Free kick,Rayan Ait Nouri,Fouled,Toti Gomes,Pass (Live),18
32,Raheem Sterling,Chelsea,0.59,0.42,Saved,14,Right Foot,,Raheem Sterling,Tackle,,,18
32,Conor Gallagher,Chelsea,0.05,0.05,Saved,22,Right Foot,,Raheem Sterling,Shot,,,18
34,Cole Palmer,Chelsea,0.02,,Off Target,29,Left Foot,,Malo Gusto,Pass (Live),Cole Palmer,Pass (Live),18
39,Mario Lemina,Wolves,0.05,,Blocked,20,Left Foot,Volley,,,,,18
41,Craig Dawson,Wolves,0.06,,Off Target,6,Head,,Pablo Sarabia,Pass (Dead),,,18
42,Pablo Sarabia,Wolves,0.11,,Blocked,17,Left Foot,,Pablo Sarabia,Pass (Live),Max Kilman,Pass (Live),18
44,Hwang Hee-chan,Wolves,0.15,,Off Target,13,Right Foot,,Pablo Sarabia,Pass (Live),,,18
45+2,Cole Palmer,Chelsea,0.04,,Blocked,21,Left Foot,,Cole Palmer,Tackle,,,18
47,Joao Gomes,Wolves,0.05,,Blocked,26,Right Foot,,Hwang Hee-chan,Interception,,,18
48,Toti Gomes,Wolves,0.23,0.09,Saved,6,Head,,Joao Gomes,Pass (Live),Pablo Sarabia,Pass (Dead),18
48,Pablo Sarabia,Wolves,0.04,,Blocked,10,Left Foot,,Toti Gomes,Shot,,,18
50,Conor Gallagher,Chelsea,0.09,,Blocked,18,Left Foot,,Nicolas Jackson,Pass (Live),Malo Gusto,Pass (Live),18
51,Mario Lemina,Wolves,0.08,0.38,Goal,9,Head,,Pablo Sarabia,Pass (Dead),,,18
55,Mario Lemina,Wolves,0.01,0.06,Saved,25,Right Foot,,Pablo Sarabia,Pass (Dead),Matheus Cunha,Pass (Live),18
63,Joao Gomes,Wolves,0.03,0.05,Saved,24,Right Foot,,Joao Gomes,Interception,,,18
63,Christopher Nkunku,Chelsea,0.09,,Blocked,10,Right Foot,Deflected,Mykhailo Mudryk,Pass (Live),Cole Palmer,Pass (Live),18
66,Raheem Sterling,Chelsea,0.13,,Blocked,12,Right Foot,,Cole Palmer,Pass (Live),Christopher Nkunku,Pass (Live),18
72,Malo Gusto,Chelsea,0.02,,Blocked,25,Left Foot,,Cole Palmer,Pass (Live),Mykhailo Mudryk,Pass (Dead),18
76,Matheus Cunha,Wolves,0.04,,Off Target,14,Right Foot,,Rayan Ait Nouri,Pass (Live),,,18
82,Tommy Doyle,Wolves,0.04,0.19,Saved,26,Right Foot,,Matheus Cunha,Pass (Live),Joao Gomes,Pass (Live),18
83,Christopher Nkunku,Chelsea,0.05,,Blocked,10,Head,,Cole Palmer,Pass (Live),Mykhailo Mudryk,Pass (Live),18
84,Christopher Nkunku,Chelsea,0.15,0.04,Saved,8,Head,,Noni Madueke,Pass (Live),Cole Palmer,Pass (Live),18
90+2,Noni Madueke,Chelsea,0.01,,Off Target,25,Left Foot,,Raheem Sterling,Pass (Live),Thiago Silva,Pass (Live),18
90+3,Matt Doherty,Wolves,0.30,0.88,Goal,10,Right Foot,,Joao Gomes,Pass (Live),Hugo Bueno,Pass (Live),18
90+6,Christopher Nkunku,Chelsea,0.53,0.96,Goal,5,Head,,Raheem Sterling,Pass (Live),Noni Madueke,Pass (Live),18
3,Anthony Elanga,Nott'ham Forest,0.03,,Blocked,23,Left Foot,,Morgan Gibbs-White,Pass (Live),Ola Aina,Pass (Live),19
3,Morgan Gibbs-White,Nott'ham Forest,0.12,,Off Target,16,Right Foot,,,,,,19
17,Ola Aina,Nott'ham Forest,0.02,,Off Target,25,Left Foot,,Ola Aina,Pass (Dead),,,19
23,Alexander Isak (pen),Newcastle Utd,0.79,0.95,Goal,13,Right Foot,,Alexander Isak,Fouled,Lewis Miley,Pass (Live),19
27,Anthony Gordon,Newcastle Utd,0.06,,Blocked,18,Right Foot,,Lewis Miley,Pass (Live),Fabian Schar,Pass (Live),19
30,Anthony Elanga,Nott'ham Forest,0.20,,Off Target,7,Left Foot,Volley,,,,,19
33,Anthony Elanga,Nott'ham Forest,0.15,0.42,Saved,12,Left Foot,,Gonzalo Montiel,Pass (Live),Matt Turner,Pass (Live),19
34,Alexander Isak,Newcastle Utd,0.03,0.21,Saved,9,Right Foot,,Anthony Gordon,Pass (Live),Dan Burn,Pass (Live),19
35,Lewis Miley,Newcastle Utd,0.04,,Blocked,16,Left Foot,,Bruno Guimaraes,Pass (Live),Kieran Trippier,Pass (Live),19
35,Lewis Miley,Newcastle Utd,0.04,0.09,Saved,14,Head,,Alexander Isak,Pass (Live),Lewis Miley,Shot,19
41,Morgan Gibbs-White,Nott'ham Forest,0.03,,Off Target,27,Left Foot,,Ibrahim Sangare,Pass (Live),Ibrahim Sangare,Tackle,19
43,Miguel Almiron,Newcastle Utd,0.06,,Off Target,22,Left Foot,,Alexander Isak,Pass (Live),Sven Botman,Pass (Live),19
45+1,Chris Wood,Nott'ham Forest,0.98,0.98,Goal,4,Left Foot,,Anthony Elanga,Pass (Live),Morgan Gibbs-White,Pass (Live),19
45+4,Alexander Isak,Newcastle Utd,0.14,0.25,Saved,8,Head,,Miguel Almiron,Pass (Live),Kieran Trippier,Pass (Live),19
45+4,Callum Hudson-Odoi,Nott'ham Forest,0.07,0.31,Saved,18,Right Foot,,Morgan Gibbs-White,Pass (Live),Chris Wood,Pass (Live),19
46,Morgan Gibbs-White,Nott'ham Forest,0.19,,Off Target,10,Head,,Anthony Elanga,Pass (Live),Ibrahim Sangare,Pass (Live),19
