minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
84,Pedro Porro,Tottenham,0.02,,Blocked,22.0,Right Foot,,Dejan Kulusevski,Pass (Live),Son Heung-min,Pass (Live)
85,Lewis Cook,Bournemouth,0.03,,Off Target,23.0,Right Foot,Volley,Jaidon Anthony,Pass (Live),Milos Kerkez,Pass (Live)
86,Son Heung-min,Tottenham,0.03,,Off Target,24.0,Left Foot,,Giovani Lo Celso,Pass (Live),Dejan Kulusevski,Pass (Live)
87,Dominic Solanke,Bournemouth,0.07,,Off Target,12.0,Head,,Max Aarons,Pass (Live),Jaidon Anthony,Pass (Live)
90+1,Pedro Porro,Tottenham,0.05,,Blocked,30.0,Right Foot,Free kick,Son Heung-min,Fouled,Ben Davies,Pass (Live)
90+1,Pedro Porro,Tottenham,0.01,,Off Target,30.0,Right Foot,,Pedro Porro,Shot,,
90+5,Ben Davies,Tottenham,0.13,,Off Target,17.0,Left Foot,,Son Heung-min,Pass (Live),Dejan Kulusevski,Pass (Live)
90+6,Ivan Perisic,Tottenham,0.04,,Off Target,14.0,Left Foot,,Ivan Perišić,Take-On,Son Heung-min,Pass (Live)
90+7,Jaidon Anthony,Bournemouth,0.03,,Off Target,28.0,Right Foot,,Dominic Solanke,Pass (Live),Kieffer Moore,Pass (Live)
9,Odsonne Edouard,Crystal Palace,0.03,,Blocked,15.0,Left Foot,,Odsonne Édouard,Take-On,Jordan Ayew,Pass (Live)
13,Eberechi Eze,Crystal Palace,0.07,0.07,Saved,27.0,Left Foot,,,,,
14,Yoane Wissa,Brentford,0.03,,Off Target,13.0,Head,,Christian Nørgaard,Pass (Live),Aaron Hickey,Pass (Live)
18,Kevin Schade,Brentford,0.05,0.56,Goal,12.0,Right Foot,,Christian Nørgaard,Pass (Live),Nathan Collins,Pass (Live)
22,Jordan Ayew,Crystal Palace,0.03,,Off Target,16.0,Head,,Joachim Andersen,Pass (Live),,
25,Eberechi Eze,Crystal Palace,0.21,,Blocked,20.0,Right Foot,,Eberechi Eze,Take-On,Eberechi Eze,Take-On
25,Jeffrey Schlupp,Crystal Palace,0.03,,Off Target,14.0,Head,,Joachim Andersen,Pass (Live),Joel Ward,Pass (Dead)
39,Yoane Wissa,Brentford,0.24,,Off Target,5.0,Head,,Kevin Schade,Pass (Live),Bryan Mbeumo,Pass (Dead)
44,Bryan Mbeumo,Brentford,0.04,,Blocked,18.0,Left Foot,,Mathias Jensen,Pass (Live),Christian Nørgaard,Pass (Live)
45,Nathan Collins,Brentford,0.05,,Off Target,10.0,Head,,Mathias Jensen,Pass (Dead),Kevin Schade,Pass (Live)
46,Kevin Schade,Brentford,0.06,,Blocked,22.0,Right Foot,,Christian Nørgaard,Pass (Live),Christian Nørgaard,Pass (Live)
48,Rico Henry,Brentford,0.06,,Off Target,8.0,Head,,Bryan Mbeumo,Pass (Dead),Bryan Mbeumo,Pass (Dead)
52,Jordan Ayew,Crystal Palace,0.02,,Blocked,17.0,Right Foot,,Joachim Andersen,Pass (Live),Cheick Doucouré,Pass (Live)
55,Eberechi Eze,Crystal Palace,0.03,,Off Target,27.0,Right Foot,,Jeffrey Schlupp,Pass (Live),Jeffrey Schlupp,Take-On
59,Jefferson Lerma,Crystal Palace,0.03,,Blocked,16.0,Right Foot,Volley,Jordan Ayew,Pass (Live),Joachim Andersen,Pass (Live)
68,Odsonne Edouard,Crystal Palace,0.05,0.29,Saved,26.0,Right Foot,Free kick,Jordan Ayew,Fouled,,
69,Jordan Ayew,Crystal Palace,0.01,,Blocked,23.0,Right Foot,,Jefferson Lerma,Pass (Live),Joachim Andersen,Pass (Live)
70,Jefferson Lerma,Crystal Palace,0.06,0.13,Saved,12.0,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Shot
70,Jordan Ayew,Crystal Palace,0.08,0.2,Saved,5.0,Right Foot,,Jefferson Lerma,Shot,,
74,Ethan Pinnock,Brentford,0.18,,Blocked,4.0,Right Foot,,Bryan Mbeumo,Pass (Dead),,
76,Joachim Andersen,Crystal Palace,0.05,0.06,Goal,8.0,Right Foot,,Jordan Ayew,Pass (Live),Joachim Andersen,Pass (Live)
80,Jordan Ayew,Crystal Palace,0.06,,Off Target,10.0,Right Foot,,Joachim Andersen,Pass (Live),Naouirou Ahamada,Pass (Live)
85,Frank Onyeka,Brentford,0.12,,Blocked,15.0,Right Foot,,Rico Henry,Pass (Live),Christian Nørgaard,Pass (Live)
85,Vitaly Janelt,Brentford,0.04,,Blocked,12.0,Left Foot,Volley,Frank Onyeka,Pass (Live),Bryan Mbeumo,Pass (Live)
89,Eberechi Eze,Crystal Palace,0.04,,Blocked,19.0,Right Foot,,Jordan Ayew,Pass (Live),Eberechi Eze,Pass (Live)
90+5,Frank Onyeka,Brentford,0.09,,Blocked,16.0,Right Foot,Volley,Rico Henry,Pass (Live),Rico Henry,Take-On
90+5,Christian Norgaard,Brentford,0.01,,Blocked,29.0,Right Foot,Volley,Frank Onyeka,Shot,,
2,Lucas Paqueta,West Ham,0.31,,Off Target,4.0,Left Foot,,Vladimír Coufal,Pass (Dead),Tomáš Souček,Interception
6,Michail Antonio,West Ham,0.16,0.06,Saved,14.0,Left Foot,,Lucas Paquetá,Pass (Live),James Ward-Prowse,Pass (Live)
15,Billy Gilmour,Brighton,0.04,,Off Target,24.0,Right Foot,,Pervis Estupiñán,Pass (Live),Pascal Groß,Pass (Live)
19,James Ward-Prowse,West Ham,0.3,,Blocked,7.0,Left Foot,,Michail Antonio,Pass (Live),,
19,James Ward-Prowse,West Ham,0.64,0.97,Goal,3.0,Right Foot,,James Ward-Prowse,Shot,,
21,Evan Ferguson,Brighton,0.1,0.15,Saved,14.0,Right Foot,,Danny Welbeck,Pass (Live),Billy Gilmour,Pass (Live)
22,Kaoru Mitoma,Brighton,0.02,,Off Target,14.0,Right Foot,Volley,Pervis Estupiñán,Pass (Live),Billy Gilmour,Pass (Live)
27,Lewis Dunk,Brighton,0.04,,Blocked,15.0,Right Foot,,Pascal Groß,Pass (Live),Solly March,Pass (Live)
27,Solly March,Brighton,0.03,,Blocked,25.0,Left Foot,,Lewis Dunk,Shot,,
29,Billy Gilmour,Brighton,0.16,,Blocked,16.0,Right Foot,,Adam Webster,Pass (Live),Lewis Dunk,Pass (Live)
29,Evan Ferguson,Brighton,0.11,,Off Target,11.0,Right Foot,Volley,Billy Gilmour,Pass (Live),Solly March,Pass (Live)
41,Pascal Gross,Brighton,0.02,0.04,Saved,27.0,Right Foot,,Billy Gilmour,Pass (Live),Pervis Estupiñán,Pass (Live)
45+2,Solly March,Brighton,0.12,,Blocked,25.0,Left Foot,Free kick,Danny Welbeck,Fouled,Billy Gilmour,Pass (Live)
46,Evan Ferguson,Brighton,0.13,0.7,Saved,9.0,Head,,Kaoru Mitoma,Pass (Live),Lewis Dunk,Pass (Live)
48,Danny Welbeck,Brighton,0.04,,Blocked,26.0,Right Foot,,Pascal Groß,Pass (Live),Billy Gilmour,Pass (Live)
49,Kaoru Mitoma,Brighton,0.04,,Off Target,10.0,Right Foot,Volley,Pascal Groß,Pass (Dead),Danny Welbeck,Shot
52,Pascal Gross,Brighton,0.03,,Blocked,25.0,Left Foot,,Danny Welbeck,Pass (Live),Evan Ferguson,Pass (Live)
53,Jarrod Bowen,West Ham,0.09,,Off Target,14.0,Left Foot,,Saïd Benrahma,Pass (Live),Kurt Zouma,Pass (Live)
56,Emerson Palmieri,West Ham,0.03,,Woodwork,14.0,Left Foot,,Saïd Benrahma,Pass (Live),James Ward-Prowse,Pass (Dead)
57,Lucas Paqueta,West Ham,0.04,0.02,Saved,22.0,Left Foot,Volley,Saïd Benrahma,Pass (Live),Saïd Benrahma,Take-On
58,Jarrod Bowen,West Ham,0.58,0.98,Goal,7.0,Left Foot,,Saïd Benrahma,Pass (Live),Michail Antonio,Pass (Live)
62,Evan Ferguson,Brighton,0.02,,Blocked,26.0,Right Foot,,Solly March,Pass (Live),Pascal Groß,Pass (Live)
63,Michail Antonio,West Ham,0.08,0.58,Goal,12.0,Right Foot,,Michail Antonio,Take-On,Jarrod Bowen,Pass (Live)
66,Pascal Gross,Brighton,0.03,0.25,Saved,26.0,Left Foot,,Adam Lallana,Pass (Live),Solly March,Pass (Live)
66,Lewis Dunk,Brighton,0.03,0.09,Saved,9.0,Head,,Solly March,Pass (Dead),Pascal Groß,Shot
68,James Ward-Prowse,West Ham,0.05,0.11,Saved,27.0,Right Foot,,Saïd Benrahma,Pass (Live),,
71,Michail Antonio,West Ham,0.41,,Off Target,9.0,Left Foot,,Lucas Paquetá,Pass (Live),James Ward-Prowse,Pass (Live)
79,Pascal Gross,Brighton,0.07,0.04,Saved,23.0,Right Foot,,Simon Adingra,Pass (Live),Pascal Groß,Pass (Live)
80,Evan Ferguson,Brighton,0.03,0.06,Saved,30.0,Left Foot,,Kaoru Mitoma,Pass (Live),Bart Verbruggen,Pass (Live)
81,Pascal Gross,Brighton,0.02,0.25,Goal,25.0,Right Foot,,Pascal Groß,Take-On,Joël Veltman,Pass (Live)
83,Joao Pedro,Brighton,0.03,,Blocked,16.0,Right Foot,,Pascal Groß,Pass (Live),Pervis Estupiñán,Pass (Live)
87,Joel Veltman,Brighton,0.07,0.1,Saved,16.0,Right Foot,Volley,João Pedro,Pass (Live),Adam Lallana,Pass (Live)
90,Joao Pedro,Brighton,0.02,,Blocked,13.0,Head,,Pascal Groß,Pass (Live),Adam Webster,Pass (Live)
90+2,Evan Ferguson,Brighton,0.22,0.27,Saved,16.0,Right Foot,,,,,
90+3,Lewis Dunk,Brighton,0.03,,Blocked,10.0,Head,,Pascal Groß,Pass (Dead),Evan Ferguson,Shot
90+4,Lewis Dunk,Brighton,0.02,,Off Target,37.0,Right Foot,,Adam Lallana,Pass (Live),Pascal Groß,Pass (Live)
90+7,Jarrod Bowen,West Ham,0.53,0.2,Saved,15.0,Left Foot,,Emerson Palmieri,Pass (Live),Saïd Benrahma,Pass (Live)
3,Mario Lemina,Wolves,0.01,,Off Target,16.0,Head,,Pedro Neto,Pass (Dead),Fábio Silva,Fouled
5,Arnaut Danjuma,Everton,0.03,,Off Target,30.0,Right Foot,,,,,
6,Mario Lemina,Wolves,0.01,,Off Target,29.0,Right Foot,,Hugo Bueno,Pass (Live),João Gomes,Pass (Live)
8,Amadou Onana,Everton,0.05,,Blocked,22.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Idrissa Gana Gueye,Pass (Live)
14,Arnaut Danjuma,Everton,0.23,0.37,Saved,22.0,Right Foot,,Amadou Onana,Pass (Live),Jordan Pickford,Pass (Live)
28,James Garner,Everton,0.01,,Off Target,23.0,Right Foot,Volley,,,,
28,Lewis Dobbin,Everton,0.07,0.22,Saved,9.0,Other,,James Garner,Shot,,
28,James Tarkowski,Everton,0.18,,Off Target,8.0,Right Foot,Volley,Lewis Dobbin,Shot,,
30,Jarrad Branthwaite,Everton,0.1,,Off Target,9.0,Head,,Ashley Young,Pass (Dead),Arnaut Danjuma,Fouled
35,Joao Gomes,Wolves,0.05,,Blocked,20.0,Right Foot,,Pedro Neto,Pass (Live),Hugo Bueno,Pass (Live)
35,Pedro Neto,Wolves,0.04,,Off Target,15.0,Right Foot,,João Gomes,Shot,,
36,Arnaut Danjuma,Everton,0.13,,Off Target,11.0,Left Foot,,Nathan Patterson,Pass (Live),Amadou Onana,Pass (Live)
43,Matheus Cunha,Wolves,0.03,,Blocked,30.0,Right Foot,,Fábio Silva,Pass (Live),João Gomes,Pass (Live)
43,Matheus Cunha,Wolves,0.13,,Off Target,10.0,Head,,Pedro Neto,Pass (Live),Hugo Bueno,Pass (Live)
52,Arnaut Danjuma,Everton,0.08,0.51,Saved,10.0,Right Foot,,Ashley Young,Pass (Dead),Idrissa Gana Gueye,Fouled
53,James Garner,Everton,0.04,0.03,Saved,16.0,Right Foot,Volley,Arnaut Danjuma,Shot,,
53,Jarrad Branthwaite,Everton,0.06,0.02,Saved,11.0,Head,,James Garner,Shot,,
60,Fabio Silva,Wolves,0.3,,Off Target,16.0,Right Foot,,Max Kilman,Pass (Live),José Sá,Pass (Live)
64,Arnaut Danjuma,Everton,0.05,0.05,Saved,13.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),James Garner,Pass (Live)
67,Abdoulaye Doucoure,Everton,0.21,0.32,Saved,4.0,Head,,James Garner,Pass (Live),Idrissa Gana Gueye,Pass (Live)
68,Youssef Chermiti,Everton,0.05,,Blocked,11.0,Right Foot,,Ashley Young,Pass (Dead),Abdoulaye Doucouré,Shot
73,Mario Lemina,Wolves,0.03,,Blocked,13.0,Left Foot,,Rayan Aït Nouri,Pass (Live),Pedro Neto,Pass (Live)
86,Jarrad Branthwaite,Everton,0.06,,Off Target,7.0,Left Foot,Volley,Ashley Young,Pass (Dead),,
87,Sasa Kalajdzic,Wolves,0.26,0.93,Goal,6.0,Other,,Pedro Neto,Pass (Live),Mario Lemina,Pass (Live)
90+4,Pablo Sarabia,Wolves,0.16,,Blocked,16.0,Right Foot,,,,,
90+6,Pablo Sarabia,Wolves,0.06,0.21,Saved,26.0,Left Foot,Free kick,Pablo Sarabia,Fouled,Sasa Kalajdzic,Pass (Live)
1,Antony,Manchester Utd,0.04,0.19,Saved,25.0,Left Foot,,Bruno Fernandes,Pass (Live),Diogo Dalot,Pass (Live)
2,Taiwo Awoniyi,Nott'ham Forest,0.56,0.98,Goal,10.0,Right Foot,,Taiwo Awoniyi,Take-On,Morgan Gibbs-White,Pass (Live)
4,Willy Boly,Nott'ham Forest,0.17,0.55,Goal,7.0,Head,,Brennan Johnson,Fouled,Brennan Johnson,Take-On
6,Casemiro,Manchester Utd,0.03,,Off Target,27.0,Right Foot,,Antony,Pass (Live),Aaron Wan-Bissaka,Pass (Live)
11,Bruno Fernandes,Manchester Utd,0.02,0.03,Saved,33.0,Right Foot,,Christian Eriksen,Pass (Live),Casemiro,Pass (Live)
17,Bruno Fernandes,Manchester Utd,0.02,0.17,Saved,32.0,Right Foot,,Lisandro Martínez,Pass (Live),Raphaël Varane,Pass (Live)
17,Christian Eriksen,Manchester Utd,0.28,0.95,Goal,3.0,Right Foot,,Marcus Rashford,Pass (Live),Marcus Rashford,Take-On
20,Casemiro,Manchester Utd,0.04,0.17,Saved,25.0,Left Foot,,Antony,Pass (Live),Aaron Wan-Bissaka,Pass (Dead)
26,Casemiro,Manchester Utd,0.63,,Off Target,4.0,Head,,Bruno Fernandes,Pass (Dead),Antony,Pass (Live)
30,Anthony Martial,Manchester Utd,0.04,,Blocked,11.0,Right Foot,,Antony,Pass (Live),Bruno Fernandes,Pass (Live)
39,Bruno Fernandes,Manchester Utd,0.04,,Blocked,23.0,Right Foot,,Antony,Pass (Live),Marcus Rashford,Pass (Live)
45+2,Morgan Gibbs-White,Nott'ham Forest,0.21,,Blocked,16.0,Right Foot,,Brennan Johnson,Pass (Live),Brennan Johnson,Take-On
48,Bruno Fernandes,Manchester Utd,0.02,,Off Target,30.0,Right Foot,,Anthony Martial,Pass (Live),Christian Eriksen,Pass (Live)
52,Casemiro,Manchester Utd,0.3,0.93,Goal,5.0,Right Foot,Volley,Bruno Fernandes,Pass (Live),Marcus Rashford,Pass (Live)
53,Danilo,Nott'ham Forest,0.03,0.01,Saved,29.0,Left Foot,,Serge Aurier,Pass (Live),Danilo,Pass (Live)
53,Antony,Manchester Utd,0.03,0.41,Saved,21.0,Left Foot,,Antony,Take-On,Victor Lindelöf,Pass (Live)
55,Antony,Manchester Utd,0.04,,Blocked,23.0,Left Foot,,Victor Lindelöf,Pass (Live),Christian Eriksen,Pass (Live)
59,Bruno Fernandes,Manchester Utd,0.32,,Off Target,5.0,Right Foot,,Antony,Pass (Live),Aaron Wan-Bissaka,Pass (Live)
61,Taiwo Awoniyi,Nott'ham Forest,0.05,,Off Target,12.0,Head,,Morgan Gibbs-White,Pass (Live),Serge Aurier,Pass (Live)
65,Antony,Manchester Utd,0.07,,Off Target,21.0,Left Foot,,Christian Eriksen,Pass (Live),Christian Eriksen,Pass (Live)
76,Bruno Fernandes (pen),Manchester Utd,0.79,0.98,Goal,13.0,Right Foot,,Marcus Rashford,Fouled,Jadon Sancho,Pass (Dead)
80,Taiwo Awoniyi,Nott'ham Forest,0.06,,Off Target,11.0,Head,,Morgan Gibbs-White,Pass (Dead),Morgan Gibbs-White,Fouled
83,Morgan Gibbs-White,Nott'ham Forest,0.06,,Blocked,22.0,Right Foot,Volley,Ola Aina,Pass (Dead),,
84,Willy Boly,Nott'ham Forest,0.05,0.46,Saved,14.0,Right Foot,,Chris Wood,Pass (Live),Cheikhou Kouyaté,Pass (Live)
89,Anthony Elanga,Nott'ham Forest,0.02,,Off Target,12.0,Left Foot,Volley,Morgan Gibbs-White,Pass (Dead),,
90+4,Marcus Rashford,Manchester Utd,0.08,0.2,Saved,13.0,Right Foot,,Casemiro,Pass (Dead),Jadon Sancho,Fouled
90+4,Marcus Rashford,Manchester Utd,0.04,,Blocked,29.0,Right Foot,,Marcus Rashford,Take-On,Scott McTominay,Pass (Live)
6.0,Moussa Diaby,Aston Villa,0.09,,Blocked,15.0,Left Foot,,Boubacar Kamara,Pass (Live),,
8.0,Ollie Watkins,Aston Villa,0.21,,Off Target,9.0,Left Foot,,John McGinn,Pass (Live),Ollie Watkins,Pass (Live)
8.0,Matty Cash,Aston Villa,0.9,0.99,Goal,2.0,Right Foot,,Ollie Watkins,Shot,,
10.0,Luca Koleosho,Burnley,0.01,,Off Target,27.0,Right Foot,,Luca Koleosho,Take-On,Sander Berge,Pass (Live)
20.0,Matty Cash,Aston Villa,0.29,0.65,Goal,11.0,Right Foot,,Moussa Diaby,Pass (Live),Matty Cash,Pass (Live)
24.0,Diego Carlos,Aston Villa,0.1,,Off Target,8.0,Head,,Douglas Luiz,Pass (Dead),,
35.0,Matty Cash,Aston Villa,0.04,0.06,Saved,18.0,Left Foot,"Deflected, Volley",Lucas Digne,Pass (Live),Douglas Luiz,Pass (Dead)
36.0,Ollie Watkins,Aston Villa,0.1,,Off Target,4.0,Head,,John McGinn,Pass (Dead),Matty Cash,Shot
37.0,Ollie Watkins,Aston Villa,0.17,0.87,Saved,5.0,Right Foot,,Matty Cash,Pass (Live),,
43.0,Zeki Amdouni,Burnley,0.03,,Off Target,27.0,Right Foot,,Zeki Amdouni,Take-On,Hannes Delcroix,Pass (Live)
47.0,Zeki Amdouni,Burnley,0.03,,Blocked,18.0,Right Foot,,Luca Koleosho,Pass (Live),,
47.0,Lyle Foster,Burnley,0.13,0.38,Goal,10.0,Left Foot,Volley,Jóhann Berg Guðmundsson,Pass (Live),Connor Roberts,Pass (Live)
50.0,Hannes Delcroix,Burnley,0.04,,Off Target,13.0,Left Foot,Volley,Jóhann Berg Guðmundsson,Pass (Dead),Luca Koleosho,Take-On
59.0,Hannes Delcroix,Burnley,0.02,0.08,Saved,15.0,Head,,Jóhann Berg Guðmundsson,Pass (Dead),,
60.0,Matty Cash,Aston Villa,0.02,,Blocked,24.0,Right Foot,,Ollie Watkins,Pass (Live),Pau Torres,Pass (Live)
61.0,Moussa Diaby,Aston Villa,0.08,0.42,Goal,20.0,Left Foot,,Lucas Digne,Pass (Live),John McGinn,Pass (Live)
67.0,Ollie Watkins,Aston Villa,0.37,0.86,Saved,7.0,Right Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live)
68.0,Luca Koleosho,Burnley,0.02,,Off Target,21.0,Right Foot,,Dara O'Shea,Pass (Live),Hannes Delcroix,Pass (Live)
75.0,Nicolo Zaniolo,Aston Villa,0.19,,Blocked,12.0,Left Foot,,Boubacar Kamara,Pass (Live),Matty Cash,Pass (Live)
76.0,Matty Cash,Aston Villa,0.01,,Blocked,16.0,Left Foot,,,,,
79.0,Ollie Watkins,Aston Villa,0.07,,Blocked,21.0,Right Foot,,Douglas Luiz,Pass (Live),Nicolò Zaniolo,Pass (Live)
80.0,Matty Cash,Aston Villa,0.03,,Blocked,15.0,Right Foot,,Nicolò Zaniolo,Pass (Live),Ollie Watkins,Pass (Live)
82.0,Nicolo Zaniolo,Aston Villa,0.03,,Off Target,26.0,Left Foot,,,,,
85.0,Jay Rodriguez,Burnley,0.12,,Off Target,20.0,Right Foot,,Hannes Delcroix,Pass (Live),Josh Cullen,Pass (Live)
88.0,Jay Rodriguez,Burnley,0.33,,Off Target,9.0,Head,,Josh Cullen,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
1,Joel Matip,Liverpool,0.11,,Off Target,8.0,Head,,Trent Alexander-Arnold,Pass (Dead),Trent Alexander-Arnold,Pass (Live)
16,Joelinton,Newcastle Utd,0.06,0.02,Saved,18.0,Right Foot,,Alexander Isak,Pass (Live),,
16,Anthony Gordon,Newcastle Utd,0.02,0.26,Saved,28.0,Right Foot,Deflected,Joelinton,Pass (Live),Anthony Gordon,Pass (Live)
17,Luis Diaz,Liverpool,0.08,0.2,Saved,10.0,Right Foot,,Luis Díaz,Take-On,Dominik Szoboszlai,Pass (Live)
24,Mohamed Salah,Liverpool,0.03,0.03,Saved,22.0,Left Foot,,Cody Gakpo,Pass (Live),Dominik Szoboszlai,Pass (Live)
25,Anthony Gordon,Newcastle Utd,0.51,0.25,Goal,16.0,Right Foot,,,,,
31,Fabian Schar,Newcastle Utd,0.1,,Blocked,23.0,Right Foot,Free kick,Alexander Isak,Fouled,Joelinton,Pass (Live)
31,Sandro Tonali,Newcastle Utd,0.02,,Blocked,28.0,Right Foot,,Fabian Schär,Shot,,
36,Miguel Almiron,Newcastle Utd,0.1,0.17,Saved,16.0,Left Foot,Volley,Miguel Almirón,Pass (Live),Kieran Trippier,Pass (Dead)
36,Miguel Almiron,Newcastle Utd,0.03,,Off Target,25.0,Left Foot,Volley,Miguel Almirón,Shot,,
38,Miguel Almiron,Newcastle Utd,0.08,,Off Target,21.0,Left Foot,,Kieran Trippier,Pass (Live),Anthony Gordon,Pass (Live)
45+1,Dominik Szoboszlai,Liverpool,0.03,,Off Target,35.0,Right Foot,Free kick,Alexis Mac Allister,Fouled,Wataru Endo,Pass (Live)
47,Alexander Isak,Newcastle Utd,0.16,0.43,Saved,8.0,Left Foot,Deflected,Anthony Gordon,Pass (Live),Anthony Gordon,Take-On
50,Miguel Almiron,Newcastle Utd,0.13,,Off Target,12.0,Left Foot,,Joelinton,Pass (Live),Sandro Tonali,Pass (Live)
54,Anthony Gordon,Newcastle Utd,0.03,0.02,Saved,23.0,Right Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Take-On
58,Bruno Guimaraes,Newcastle Utd,0.02,,Off Target,30.0,Right Foot,,Anthony Gordon,Pass (Live),Dan Burn,Pass (Live)
62,Joe Gomez,Liverpool,0.01,,Off Target,16.0,Head,,Andrew Robertson,Pass (Dead),Joe Gomez,Fouled
64,Anthony Gordon,Newcastle Utd,0.09,,Off Target,21.0,Right Foot,,Dan Burn,Pass (Live),Sven Botman,Pass (Live)
66,Sven Botman,Newcastle Utd,0.07,,Off Target,10.0,Head,,Kieran Trippier,Pass (Dead),Kieran Trippier,Fouled
67,Mohamed Salah,Liverpool,0.14,,Blocked,9.0,Left Foot,,Diogo Jota,Pass (Live),Mohamed Salah,Pass (Live)
74,Callum Wilson,Newcastle Utd,0.03,,Off Target,13.0,Head,,Sean Longstaff,Pass (Live),Miguel Almirón,Pass (Live)
76,Miguel Almiron,Newcastle Utd,0.16,,Woodwork,16.0,Left Foot,,Kieran Trippier,Pass (Live),Nick Pope,Pass (Live)
79,Harvey Barnes,Newcastle Utd,0.08,,Blocked,14.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On
81,Darwin Nunez,Liverpool,0.07,0.68,Goal,18.0,Right Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live)
84,Dominik Szoboszlai,Liverpool,0.04,,Blocked,22.0,Right Foot,,Mohamed Salah,Tackle,,
85,Sven Botman,Newcastle Utd,0.01,,Off Target,15.0,Head,,Kieran Trippier,Pass (Live),Bruno Guimarães,Pass (Dead)
89,Miguel Almiron,Newcastle Utd,0.05,,Blocked,18.0,Left Foot,,Harvey Barnes,Pass (Live),Matt Targett,Pass (Live)
89,Sean Longstaff,Newcastle Utd,0.05,0.09,Saved,28.0,Right Foot,,Bruno Guimarães,Pass (Live),Matt Targett,Pass (Live)
90,Callum Wilson,Newcastle Utd,0.07,,Off Target,14.0,Right Foot,,Kieran Trippier,Pass (Live),Fabian Schär,Pass (Live)
90+3,Sean Longstaff,Newcastle Utd,0.12,0.1,Saved,10.0,Right Foot,,Elliot Anderson,Pass (Live),Matt Targett,Pass (Live)
90+3,Darwin Nunez,Liverpool,0.36,0.84,Goal,14.0,Right Foot,,Mohamed Salah,Pass (Live),,
90+7,Nick Pope,Newcastle Utd,0.03,,Off Target,14.0,Head,,Sean Longstaff,Fouled,Kieran Trippier,Pass (Live)
7,Erling Haaland,Manchester City,0.03,,Off Target,13.0,Head,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live)
12,Erling Haaland,Manchester City,0.07,0.04,Saved,11.0,Head,,Julián Álvarez,Pass (Live),Rúben Dias,Pass (Live)
13,Erling Haaland,Manchester City,0.03,,Blocked,9.0,Left Foot,Volley,Julián Álvarez,Pass (Dead),Rodri,Pass (Live)
13,Nathan Ake,Manchester City,0.06,,Off Target,6.0,Left Foot,,Erling Haaland,Shot,,
15,Kyle Walker,Manchester City,0.02,,Blocked,34.0,Right Foot,,Joško Gvardiol,Pass (Live),Nathan Aké,Pass (Live)
26,Mateo Kovacic,Manchester City,0.03,,Blocked,14.0,Right Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live)
27,Julian Alvarez,Manchester City,0.17,0.85,Saved,8.0,Left Foot,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live)
31,Julian Alvarez,Manchester City,0.03,,Off Target,30.0,Right Foot,Free kick,Bernardo Silva,Fouled,Kyle Walker,Pass (Live)
37,Erling Haaland (pen),Manchester City,0.79,,Woodwork,13.0,Left Foot,,,Fouled,Jack Grealish,Pass (Live)
43,Rodri,Manchester City,0.03,0.03,Saved,27.0,Right Foot,,Jack Grealish,Pass (Live),Joško Gvardiol,Pass (Live)
45+1,Jack Grealish,Manchester City,0.26,,Blocked,4.0,Right Foot,Volley,Bernardo Silva,Pass (Live),Kyle Walker,Pass (Live)
45+3,Julian Alvarez,Manchester City,0.06,,Blocked,16.0,Right Foot,,Rúben Dias,Pass (Live),Bernardo Silva,Pass (Live)
47,Rodri,Manchester City,0.02,,Off Target,32.0,Left Foot,,Kyle Walker,Pass (Live),Bernardo Silva,Pass (Live)
48,Rodri,Manchester City,0.07,,Off Target,17.0,Right Foot,,Bernardo Silva,Pass (Live),Rúben Dias,Pass (Live)
51,Erling Haaland,Manchester City,0.22,,Off Target,10.0,Right Foot,,Kyle Walker,Pass (Live),Rodri,Pass (Live)
55,Jack Grealish,Manchester City,0.02,,Blocked,16.0,Right Foot,,Joško Gvardiol,Pass (Live),Mateo Kovačić,Pass (Live)
55,Julian Alvarez,Manchester City,0.06,,Off Target,12.0,Head,,Kyle Walker,Pass (Live),Rodri,Pass (Live)
57,Ruben Dias,Manchester City,0.04,,Blocked,27.0,Left Foot,,Rodri,Pass (Live),Bernardo Silva,Pass (Live)
58,Rodri,Manchester City,0.07,,Off Target,16.0,Left Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live)
61,Erling Haaland,Manchester City,0.36,0.35,Saved,8.0,Left Foot,,Mateo Kovačić,Pass (Live),Rodri,Pass (Live)
62,Julian Alvarez,Manchester City,0.08,0.18,Saved,12.0,Left Foot,,Jack Grealish,Pass (Live),Mateo Kovačić,Pass (Live)
