minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
29.0,Pablo Fornals,West Ham,0.04,,Off Target,27.0,Left Foot,,Saïd Benrahma,Pass (Live),Michail Antonio,Pass (Live)
35.0,Lucas Paqueta,West Ham,0.09,,Blocked,5.0,Head,,Jarrod Bowen,Pass (Dead),Tomáš Souček,Pass (Live)
35.0,Said Benrahma,West Ham,0.02,,Off Target,30.0,Right Foot,,Lucas Paquetá,Pass (Live),Pablo Fornals,Pass (Live)
37.0,Jarrod Bowen,West Ham,0.02,,Off Target,14.0,Other,,Vladimír Coufal,Pass (Live),Saïd Benrahma,Pass (Live)
37.0,Said Benrahma,West Ham,0.06,0.19,Saved,12.0,Left Foot,,Pablo Fornals,Pass (Live),Jarrod Bowen,Shot
41.0,David Brooks,Bournemouth,0.02,0.17,Saved,31.0,Left Foot,,Dominic Solanke,Pass (Live),Joe Rothwell,Pass (Live)
50.0,David Brooks,Bournemouth,0.07,0.07,Saved,21.0,Left Foot,Volley,Dominic Solanke,Pass (Live),Max Aarons,Pass (Live)
51.0,Jarrod Bowen,West Ham,0.04,0.51,Goal,27.0,Left Foot,,Tomáš Souček,Pass (Live),Pablo Fornals,Tackle
55.0,Dominic Solanke,Bournemouth,0.07,0.16,Saved,10.0,Right Foot,,Max Aarons,Pass (Live),Illia Zabarnyi,Pass (Live)
56.0,Lucas Paqueta,West Ham,0.03,,Off Target,16.0,Left Foot,Volley,Emerson Palmieri,Pass (Live),Saïd Benrahma,Pass (Live)
56.0,Jarrod Bowen,West Ham,0.04,,Blocked,13.0,Head,,Emerson Palmieri,Pass (Live),Pablo Fornals,Pass (Live)
61.0,Philip Billing,Bournemouth,0.04,,Blocked,24.0,Left Foot,Free kick,Max Aarons,Fouled,Max Aarons,Pass (Dead)
65.0,Joe Rothwell,Bournemouth,0.03,,Woodwork,24.0,Right Foot,,Joe Rothwell,Take-On,Ryan Christie,Pass (Live)
70.0,Jarrod Bowen,West Ham,0.04,,Blocked,11.0,Left Foot,,Vladimír Coufal,Pass (Dead),,
71.0,David Brooks,Bournemouth,0.03,,Off Target,22.0,Left Foot,,Philip Billing,Pass (Live),David Brooks,Pass (Live)
75.0,Philip Billing,Bournemouth,0.02,,Off Target,18.0,Head,,Joe Rothwell,Pass (Dead),Joe Rothwell,Fouled
77.0,Kieffer Moore,Bournemouth,0.04,,Blocked,13.0,Head,,Dominic Solanke,Pass (Live),Illia Zabarnyi,Pass (Live)
78.0,Dominic Solanke,Bournemouth,0.05,,Off Target,13.0,Head,,Milos Kerkez,Pass (Live),Chris Mepham,Pass (Live)
82.0,Antoine Semenyo,Bournemouth,0.05,,Off Target,24.0,Right Foot,,,,,
82.0,Dominic Solanke,Bournemouth,0.87,0.97,Goal,4.0,Right Foot,,Dominic Solanke,Take-On,Antoine Semenyo,Shot
84.0,Danny Ings,West Ham,0.12,,Blocked,14.0,Right Foot,,Lucas Paquetá,Pass (Live),,
85.0,Lucas Paqueta,West Ham,0.06,,Woodwork,16.0,Left Foot,,,,,
89.0,Antoine Semenyo,Bournemouth,0.02,,Blocked,31.0,Left Foot,,Chris Mepham,Interception,,
2,Lewis Dunk,Brighton,0.02,,Off Target,14.0,Head,,Pascal Groß,Pass (Dead),James Milner,Pass (Dead)
3,Lewis Dunk,Brighton,0.1,,Off Target,6.0,Head,,Mahmoud Dahoud,Pass (Live),Lewis Dunk,Shot
5,Joao Pedro,Brighton,0.35,,Off Target,10.0,Right Foot,,Pascal Groß,Pass (Live),,
8,Danny Welbeck,Brighton,0.01,,Off Target,30.0,Right Foot,,João Pedro,Pass (Live),Pervis Estupiñán,Pass (Live)
14,Pascal Gross,Brighton,0.14,,Off Target,9.0,Head,,Pervis Estupiñán,Pass (Live),Kaoru Mitoma,Pass (Live)
18,Solly March,Brighton,0.01,,Blocked,29.0,Left Foot,,Pascal Groß,Pass (Dead),Solly March,Fouled
18,Pervis Estupinan,Brighton,0.04,,Blocked,20.0,Left Foot,,Kaoru Mitoma,Pass (Live),Pervis Estupiñán,Pass (Live)
20,Danny Welbeck,Brighton,0.04,0.12,Saved,17.0,Right Foot,,Solly March,Pass (Dead),Danny Welbeck,Pass (Live)
