minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
4,Pascal Gross,Brighton,0.02,,Off Target,26,Left Foot,,Carlos Baleba,Pass (Live),,,18
19,Simon Adingra,Brighton,0.05,0.05,Saved,14,Right Foot,,Igor,Pass (Live),Billy Gilmour,Pass (Live),18
19,Carlos Baleba,Brighton,0.08,,Off Target,21,Left Foot,,Simon Adingra,Shot,,,18
23,Michael Olise,Crystal Palace,0.04,,Blocked,12,Left Foot,,Jean-Philippe Mateta,Pass (Live),Michael Olise,Pass (Live),18
27,Jean-Philippe Mateta,Crystal Palace,0.02,0.06,Saved,30,Right Foot,,Tyrick Mitchell,Pass (Live),,,18
33,Jordan Ayew,Crystal Palace,0.24,0.36,Saved,6,Right Foot,,Michael Olise,Pass (Dead),Tyrick Mitchell,Pass (Live),18
34,Jean-Philippe Mateta,Crystal Palace,0.07,,Blocked,12,Right Foot,,Michael Olise,Pass (Live),Michael Olise,Take-On,18
36,Jean-Philippe Mateta,Crystal Palace,0.07,,Blocked,12,Right Foot,,Jean-Philippe Mateta,Pass (Live),,,18
36,Michael Olise,Crystal Palace,0.09,,Blocked,14,Left Foot,Volley,Jean-Philippe Mateta,Pass (Live),Jean-Philippe Mateta,Shot,18
40,Pascal Gross,Brighton,0.02,0.10,Saved,24,Right Foot,,Pascal Gross,Pass (Live),Carlos Baleba,Pass (Live),18
45+1,Jordan Ayew,Crystal Palace,0.50,0.80,Goal,5,Head,,Michael Olise,Pass (Live),Will Hughes,Pass (Live),18
51,Danny Welbeck,Brighton,0.11,,Blocked,7,Head,,Pascal Gross,Pass (Dead),,,18
52,Joao Pedro,Brighton,0.03,,Off Target,29,Right Foot,,Jan Paul van Hecke,Pass (Live),Bart Verbruggen,Pass (Live),18
54,Lewis Dunk,Brighton,0.12,,Off Target,8,Head,,Pascal Gross,Pass (Dead),Facundo Buonanotte,Fouled,18
55,Jack Hinshelwood,Brighton,0.08,,Off Target,14,Right Foot,,Danny Welbeck,Pass (Live),Jack Hinshelwood,Pass (Live),18
58,Kaoru Mitoma,Brighton,0.03,0.05,Saved,20,Right Foot,,Facundo Buonanotte,Pass (Live),Facundo Buonanotte,Take-On,18
65,Facundo Buonanotte,Brighton,0.07,,Blocked,22,Left Foot,,Pascal Gross,Pass (Live),Igor,Pass (Live),18
65,Billy Gilmour,Brighton,0.03,0.29,Saved,25,Right Foot,,Facundo Buonanotte,Shot,,,18
66,Jack Hinshelwood,Brighton,0.15,,Off Target,9,Right Foot,,Pascal Gross,Pass (Live),Kaoru Mitoma,Pass (Live),18
69,Jan Paul van Hecke,Brighton,0.13,,Blocked,11,Right Foot,,Billy Gilmour,Pass (Live),Lewis Dunk,Pass (Live),18
72,Pascal Gross,Brighton,0.06,,Blocked,22,Right Foot,,Danny Welbeck,Pass (Live),Joao Pedro,Pass (Live),18
78,Eberechi Eze,Crystal Palace,0.20,,Blocked,16,Left Foot,,Jean-Philippe Mateta,Pass (Live),Jean-Philippe Mateta,Take-On,18
79,Jefferson Lerma,Crystal Palace,0.01,,Off Target,10,Head,,Michael Olise,Pass (Dead),Eberechi Eze,Pass (Live),18
79,Eberechi Eze,Crystal Palace,0.06,,Off Target,14,Right Foot,Volley,Jefferson Lerma,Shot,,,18
79,Jean-Philippe Mateta,Crystal Palace,0.05,,Off Target,17,Right Foot,,Joachim Andersen,Pass (Live),,,18
81,Kaoru Mitoma,Brighton,0.06,0.02,Saved,16,Right Foot,Volley,Pascal Gross,Pass (Live),Igor,Take-On,18
82,Danny Welbeck,Brighton,0.03,0.54,Goal,14,Head,,Pascal Gross,Pass (Live),Jan Paul van Hecke,Pass (Live),18
88,Joao Pedro,Brighton,0.06,,Blocked,24,Right Foot,,Danny Welbeck,Pass (Live),Lewis Dunk,Pass (Live),18
90,Danny Welbeck,Brighton,0.04,,Off Target,11,Right Foot,,Jan Paul van Hecke,Pass (Live),Pascal Gross,Pass (Live),18
3,Lucas Digne,Aston Villa,0.01,,Off Target,24,Left Foot,,Douglas Luiz,Pass (Dead),Moussa Diaby,Fouled,18
11,Ollie Watkins,Aston Villa,0.04,,Blocked,12,Head,,John McGinn,Pass (Live),Douglas Luiz,Pass (Live),18
17,Moussa Diaby,Aston Villa,0.10,0.13,Saved,9,Right Foot,,Leon Bailey,Pass (Live),Matty Cash,Pass (Live),18
22,Ezri Konsa,Aston Villa,0.13,,Off Target,3,Head,,John McGinn,Pass (Dead),Leon Bailey,Pass (Live),18
29,Ollie Watkins,Aston Villa,0.06,,Off Target,11,Left Foot,Volley,,,,,18
32,Douglas Luiz,Aston Villa,0.04,,Blocked,30,Right Foot,,Ollie Watkins,Pass (Live),Jacob Ramsey,Pass (Live),18
33,Clement Lenglet,Aston Villa,0.02,,Blocked,32,Left Foot,,Leon Bailey,Pass (Live),Matty Cash,Pass (Dead),18
